311 Toronto,311 Service Delivery,311 Service Delivery,Inter-Divisional Recoveries,750A,Revenues,"(5,293,589)"
311 Toronto,TO-311 Development,311 PMO,Transfers From Capital,920A,Revenues,"(2,550,477)"
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,Contribution From Reserves/Reserve Funds,930A,Revenues,"(133,000)"
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,Provincial Subsidies,805A,Revenues,"(348,131)"
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,Contribution From Reserves/Reserve Funds,930A,Revenues,"(133,000)"
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,Provincial Subsidies,805A,Revenues,"(349,158)"
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,Contribution From Reserves/Reserve Funds,930A,Revenues,"(133,000)"
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,Inter-Divisional Recoveries,750A,Revenues,"(125,076)"
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,Provincial Subsidies,805A,Revenues,"(348,131)"
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,Sundry and Other Revenues,940A,Revenues,"(1,024,225)"
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,User Fees & Donations,850A,Revenues,"(7,382,943)"
Association of Community Centres,Public Space - Community Access,Public Space - Community Access,Contribution From Reserves/Reserve Funds,930A,Revenues,"(25,000)"
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,Contribution From Reserves/Reserve Funds,930A,Revenues,"(144,000)"
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,Sundry and Other Revenues,940A,Revenues,"(1,500)"
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,User Fees & Donations,850A,Revenues,"(252,713)"
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,Contribution From Reserves/Reserve Funds,930A,Revenues,"(51,873,000)"
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,Inter-Divisional Recoveries,750A,Revenues,"(2,777,457)"
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,Provincial Subsidies,805A,Revenues,"(1,431,000)"
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,Sundry and Other Revenues,940A,Revenues,"(2,324,441)"
Children's Services,Child Care Delivery,Child Care Delivery,Contribution From Reserves/Reserve Funds,930A,Revenues,"(12,920,931)"
Children's Services,Child Care Delivery,Child Care Delivery,Inter-Divisional Recoveries,750A,Revenues,"(9,475,000)"
Children's Services,Child Care Delivery,Child Care Delivery,Provincial Subsidies,805A,Revenues,"(253,533,514)"
Children's Services,Child Care Delivery,Child Care Delivery,Transfers From Capital,920A,Revenues,"(1,371,181)"
Children's Services,Child Care Delivery,Child Care Delivery,User Fees & Donations,850A,Revenues,"(19,143,532)"
Children's Services,Child Care System Management,Child Care System Management,Contribution From Reserves/Reserve Funds,930A,Revenues,"(2,718,515)"
Children's Services,Child Care System Management,Child Care System Management,Provincial Subsidies,805A,Revenues,"(76,136,256)"
Children's Services,Child Care System Management,Child Care System Management,Transfers From Capital,920A,Revenues,"(393,181)"
Children's Services,Child Care System Management,Child Care System Management,User Fees & Donations,850A,Revenues,"(26,068)"
City Clerk's Office,GV-Elect Government,Elections,Contribution From Reserves/Reserve Funds,930A,Revenues,"(4,890,510)"
City Clerk's Office,GV-Elect Government,Elections,Transfers From Capital,920A,Revenues,"(379,000)"
City Clerk's Office,GV-Make Government Work,Government & Official Services,Contribution From Reserves/Reserve Funds,930A,Revenues,"(889,000)"
City Clerk's Office,GV-Make Government Work,Government & Official Services,Inter-Divisional Recoveries,750A,Revenues,"(76,249)"
City Clerk's Office,GV-Make Government Work,Government & Official Services,Transfers From Capital,920A,Revenues,"(714,000)"
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,Inter-Divisional Recoveries,750A,Revenues,"(87,500)"
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,Sundry and Other Revenues,940A,Revenues,"(32,556)"
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,Transfers From Capital,920A,Revenues,"(100,000)"
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,User Fees & Donations,850A,Revenues,"(348,938)"
City Clerk's Office,GV-Open Government,Corporate Information Production Services,Inter-Divisional Recoveries,750A,Revenues,"(8,130,133)"
City Clerk's Office,GV-Open Government,Corporate Information Production Services,Sundry and Other Revenues,940A,Revenues,"(625,302)"
City Clerk's Office,GV-Open Government,Corporate Information Production Services,User Fees & Donations,850A,Revenues,"(220,010)"
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Inter-Divisional Recoveries,750A,Revenues,"(472,618)"
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Sundry and Other Revenues,940A,Revenues,"(280,063)"
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Transfers From Capital,920A,Revenues,"(158,000)"
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,User Fees & Donations,850A,Revenues,"(11,340)"
City Council,City Council,City Council,Contribution From Reserves/Reserve Funds,930A,Revenues,"(130,000)"
City Manager's Office,"CM-Equity, Diversity & Human Rights",Equity & Accessibility,Inter-Divisional Recoveries,750A,Revenues,"(2,500)"
City Manager's Office,CM-Internal Auditing,Audit Reporting,Inter-Divisional Recoveries,750A,Revenues,"(568,900)"
