311 Toronto,311 Service Delivery,311 Service Delivery,Inter-Divisional Recoveries,750A,Revenues,5293589,
311 Toronto,TO-311 Development,311 PMO,Transfers From Capital,920A,Revenues,2550477,
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,Contribution From Reserves/Reserve Funds,930A,Revenues,133000,
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,Provincial Subsidies,805A,Revenues,348131,
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,Contribution From Reserves/Reserve Funds,930A,Revenues,133000,
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,Provincial Subsidies,805A,Revenues,349158,
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,Contribution From Reserves/Reserve Funds,930A,Revenues,133000,
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,Inter-Divisional Recoveries,750A,Revenues,125076,
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,Provincial Subsidies,805A,Revenues,348131,
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,Sundry and Other Revenues,940A,Revenues,1024225,
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,User Fees & Donations,850A,Revenues,7382943,
Association of Community Centres,Public Space - Community Access,Public Space - Community Access,Contribution From Reserves/Reserve Funds,930A,Revenues,25000,
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,Contribution From Reserves/Reserve Funds,930A,Revenues,144000,
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,Sundry and Other Revenues,940A,Revenues,1500,
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,User Fees & Donations,850A,Revenues,252713,
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,Contribution From Reserves/Reserve Funds,930A,Revenues,51873000,
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,Inter-Divisional Recoveries,750A,Revenues,2777457,
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,Provincial Subsidies,805A,Revenues,1431000,
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,Sundry and Other Revenues,940A,Revenues,2324441,
Children's Services,Child Care Delivery,Child Care Delivery,Contribution From Reserves/Reserve Funds,930A,Revenues,12920931,
Children's Services,Child Care Delivery,Child Care Delivery,Inter-Divisional Recoveries,750A,Revenues,9475000,
Children's Services,Child Care Delivery,Child Care Delivery,Provincial Subsidies,805A,Revenues,253533514,
Children's Services,Child Care Delivery,Child Care Delivery,Transfers From Capital,920A,Revenues,1371181,
Children's Services,Child Care Delivery,Child Care Delivery,User Fees & Donations,850A,Revenues,19143532,
Children's Services,Child Care System Management,Child Care System Management,Contribution From Reserves/Reserve Funds,930A,Revenues,2718515,
Children's Services,Child Care System Management,Child Care System Management,Provincial Subsidies,805A,Revenues,76136256,
Children's Services,Child Care System Management,Child Care System Management,Transfers From Capital,920A,Revenues,393181,
Children's Services,Child Care System Management,Child Care System Management,User Fees & Donations,850A,Revenues,26068,
City Clerk's Office,GV-Elect Government,Elections,Contribution From Reserves/Reserve Funds,930A,Revenues,4890510,
City Clerk's Office,GV-Elect Government,Elections,Transfers From Capital,920A,Revenues,379000,
City Clerk's Office,GV-Make Government Work,Government & Official Services,Contribution From Reserves/Reserve Funds,930A,Revenues,889000,
City Clerk's Office,GV-Make Government Work,Government & Official Services,Inter-Divisional Recoveries,750A,Revenues,76249,
City Clerk's Office,GV-Make Government Work,Government & Official Services,Transfers From Capital,920A,Revenues,714000,
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,Inter-Divisional Recoveries,750A,Revenues,87500,
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,Sundry and Other Revenues,940A,Revenues,32556,
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,Transfers From Capital,920A,Revenues,100000,
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,User Fees & Donations,850A,Revenues,348938,
City Clerk's Office,GV-Open Government,Corporate Information Production Services,Inter-Divisional Recoveries,750A,Revenues,8130133,
City Clerk's Office,GV-Open Government,Corporate Information Production Services,Sundry and Other Revenues,940A,Revenues,625302,
City Clerk's Office,GV-Open Government,Corporate Information Production Services,User Fees & Donations,850A,Revenues,220010,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Inter-Divisional Recoveries,750A,Revenues,472618,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Sundry and Other Revenues,940A,Revenues,280063,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Transfers From Capital,920A,Revenues,158000,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,User Fees & Donations,850A,Revenues,11340,
City Council,City Council,City Council,Contribution From Reserves/Reserve Funds,930A,Revenues,130000,
City Manager's Office,"CM-Equity, Diversity & Human Rights",Equity & Accessibility,Inter-Divisional Recoveries,750A,Revenues,2500,
City Manager's Office,CM-Internal Auditing,Audit Reporting,Inter-Divisional Recoveries,750A,Revenues,568900,
City Manager's Office,CM-Internal Auditing,Audit Reporting,Sundry and Other Revenues,940A,Revenues,35789,
City Manager's Office,CM-Internal Auditing,Business Risk & Consulting,Sundry and Other Revenues,940A,Revenues,6316,
City Manager's Office,CM-Strategic & Corporate Policy,Intergovernmental & Agency Relations,Inter-Divisional Recoveries,750A,Revenues,475192,
