311 Toronto,311 Service Delivery,311 Service Delivery,Inter-Divisional Recoveries,750A,5293589,
311 Toronto,TO-311 Development,311 PMO,Transfers From Capital,920A,2550477,
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,Contribution From Reserves/Reserve Funds,930A,133000,
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,Provincial Subsidies,805A,348131,
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,Contribution From Reserves/Reserve Funds,930A,133000,
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,Provincial Subsidies,805A,349158,
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,Contribution From Reserves/Reserve Funds,930A,133000,
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,Inter-Divisional Recoveries,750A,125076,
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,Provincial Subsidies,805A,348131,
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,Sundry and Other Revenues,940A,1024225,
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,User Fees & Donations,850A,7382943,
Association of Community Centres,Public Space - Community Access,Public Space - Community Access,Contribution From Reserves/Reserve Funds,930A,25000,
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,Contribution From Reserves/Reserve Funds,930A,144000,
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,Sundry and Other Revenues,940A,1500,
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,User Fees & Donations,850A,252713,
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,Contribution From Reserves/Reserve Funds,930A,51873000,
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,Inter-Divisional Recoveries,750A,2777457,
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,Provincial Subsidies,805A,1431000,
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,Sundry and Other Revenues,940A,2324441,
Children's Services,Child Care Delivery,Child Care Delivery,Contribution From Reserves/Reserve Funds,930A,12920931,
Children's Services,Child Care Delivery,Child Care Delivery,Inter-Divisional Recoveries,750A,9475000,
Children's Services,Child Care Delivery,Child Care Delivery,Provincial Subsidies,805A,253533514,
Children's Services,Child Care Delivery,Child Care Delivery,Transfers From Capital,920A,1371181,
Children's Services,Child Care Delivery,Child Care Delivery,User Fees & Donations,850A,19143532,
Children's Services,Child Care System Management,Child Care System Management,Contribution From Reserves/Reserve Funds,930A,2718515,
Children's Services,Child Care System Management,Child Care System Management,Provincial Subsidies,805A,76136256,
Children's Services,Child Care System Management,Child Care System Management,Transfers From Capital,920A,393181,
Children's Services,Child Care System Management,Child Care System Management,User Fees & Donations,850A,26068,
City Clerk's Office,GV-Elect Government,Elections,Contribution From Reserves/Reserve Funds,930A,4890510,
City Clerk's Office,GV-Elect Government,Elections,Transfers From Capital,920A,379000,
City Clerk's Office,GV-Make Government Work,Government & Official Services,Contribution From Reserves/Reserve Funds,930A,889000,
City Clerk's Office,GV-Make Government Work,Government & Official Services,Inter-Divisional Recoveries,750A,76249,
City Clerk's Office,GV-Make Government Work,Government & Official Services,Transfers From Capital,920A,714000,
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,Inter-Divisional Recoveries,750A,87500,
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,Sundry and Other Revenues,940A,32556,
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,Transfers From Capital,920A,100000,
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,User Fees & Donations,850A,348938,
City Clerk's Office,GV-Open Government,Corporate Information Production Services,Inter-Divisional Recoveries,750A,8130133,
City Clerk's Office,GV-Open Government,Corporate Information Production Services,Sundry and Other Revenues,940A,625302,
City Clerk's Office,GV-Open Government,Corporate Information Production Services,User Fees & Donations,850A,220010,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Inter-Divisional Recoveries,750A,472618,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Sundry and Other Revenues,940A,280063,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,Transfers From Capital,920A,158000,
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,User Fees & Donations,850A,11340,
