Program,Service,Activity,Category,Category Name,Expense/Revenue,Sum - 2016
311 Toronto,311 Service Delivery,311 Service Delivery,750A,Inter-Divisional Recoveries,Revenues,"(5,693,589)"
311 Toronto,TO-311 Development,311 PMO,920A,Transfers From Capital,Revenues,"(2,624,870)"
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,805A,Provincial Subsidies,Revenues,"(382,806)"
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,930A,Contribution From Reserves/Reserve Funds,Revenues,"(166,333)"
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,805A,Provincial Subsidies,Revenues,"(383,833)"
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,930A,Contribution From Reserves/Reserve Funds,Revenues,"(166,333)"
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,750A,Inter-Divisional Recoveries,Revenues,"(128,520)"
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,805A,Provincial Subsidies,Revenues,"(382,806)"
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,930A,Contribution From Reserves/Reserve Funds,Revenues,"(166,333)"
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,850A,User Fees & Donations,Revenues,"(7,658,122)"
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,940A,Sundry and Other Revenues,Revenues,"(993,598)"
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,850A,User Fees & Donations,Revenues,"(271,930)"
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,940A,Sundry and Other Revenues,Revenues,"(1,500)"
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,750A,Inter-Divisional Recoveries,Revenues,"(2,777,457)"
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,805A,Provincial Subsidies,Revenues,"(2,440,580)"
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,930A,Contribution From Reserves/Reserve Funds,Revenues,"(16,273,000)"
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,940A,Sundry and Other Revenues,Revenues,"(1,815,045)"
Children's Services,Child Care Delivery,Child Care Delivery,750A,Inter-Divisional Recoveries,Revenues,"(10,200,000)"
Children's Services,Child Care Delivery,Child Care Delivery,805A,Provincial Subsidies,Revenues,"(257,667,349)"
Children's Services,Child Care Delivery,Child Care Delivery,850A,User Fees & Donations,Revenues,"(25,595,668)"
Children's Services,Child Care Delivery,Child Care Delivery,920A,Transfers From Capital,Revenues,"(984,195)"
Children's Services,Child Care Delivery,Child Care Delivery,930A,Contribution From Reserves/Reserve Funds,Revenues,"(2,716,919)"
Children's Services,Child Care System Management,Child Care System Management,805A,Provincial Subsidies,Revenues,"(76,136,256)"
Children's Services,Child Care System Management,Child Care System Management,850A,User Fees & Donations,Revenues,"26,068"
Children's Services,Child Care System Management,Child Care System Management,920A,Transfers From Capital,Revenues,"(296,435)"
Children's Services,Child Care System Management,Child Care System Management,930A,Contribution From Reserves/Reserve Funds,Revenues,"(1,400,001)"
City Clerk's Office,GV-Elect Government,Elections,930A,Contribution From Reserves/Reserve Funds,Revenues,"(5,580,013)"
City Clerk's Office,GV-Elect Government,Elections,940A,Sundry and Other Revenues,Revenues,(150)
City Clerk's Office,GV-Make Government Work,Government & Official Services,750A,Inter-Divisional Recoveries,Revenues,"(80,479)"
