311 Toronto,311 Service Delivery,311 Service Delivery,750A,Inter-Divisional Recoveries,Revenues,5693589
311 Toronto,TO-311 Development,311 PMO,920A,Transfers From Capital,Revenues,2624870
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,805A,Provincial Subsidies,Revenues,382806
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,930A,Contribution From Reserves/Reserve Funds,Revenues,166333
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,805A,Provincial Subsidies,Revenues,383833
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,930A,Contribution From Reserves/Reserve Funds,Revenues,166333
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,750A,Inter-Divisional Recoveries,Revenues,128520
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,805A,Provincial Subsidies,Revenues,382806
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,930A,Contribution From Reserves/Reserve Funds,Revenues,166333
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,850A,User Fees & Donations,Revenues,7658122
Arena Boards of Management,Community Ice & Facility Booking,Community Ice & Facility Booking,940A,Sundry and Other Revenues,Revenues,993598
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,850A,User Fees & Donations,Revenues,271930
Association of Community Centres,Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,940A,Sundry and Other Revenues,Revenues,1500
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,750A,Inter-Divisional Recoveries,Revenues,2777457
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,805A,Provincial Subsidies,Revenues,2440580
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,930A,Contribution From Reserves/Reserve Funds,Revenues,16273000
Capital & Corporate Financing,Corporate Accounts,Corporate Accounts,940A,Sundry and Other Revenues,Revenues,1815045
Children's Services,Child Care Delivery,Child Care Delivery,750A,Inter-Divisional Recoveries,Revenues,10200000
Children's Services,Child Care Delivery,Child Care Delivery,805A,Provincial Subsidies,Revenues,257667349
Children's Services,Child Care Delivery,Child Care Delivery,850A,User Fees & Donations,Revenues,25595668
Children's Services,Child Care Delivery,Child Care Delivery,920A,Transfers From Capital,Revenues,984195
Children's Services,Child Care Delivery,Child Care Delivery,930A,Contribution From Reserves/Reserve Funds,Revenues,2716919
Children's Services,Child Care System Management,Child Care System Management,805A,Provincial Subsidies,Revenues,76136256
Children's Services,Child Care System Management,Child Care System Management,850A,User Fees & Donations,Revenues,-26068
Children's Services,Child Care System Management,Child Care System Management,920A,Transfers From Capital,Revenues,296435
Children's Services,Child Care System Management,Child Care System Management,930A,Contribution From Reserves/Reserve Funds,Revenues,1400001
City Clerk's Office,GV-Elect Government,Elections,930A,Contribution From Reserves/Reserve Funds,Revenues,5580013
City Clerk's Office,GV-Elect Government,Elections,940A,Sundry and Other Revenues,Revenues,150
City Clerk's Office,GV-Make Government Work,Government & Official Services,750A,Inter-Divisional Recoveries,Revenues,80479
City Clerk's Office,GV-Make Government Work,Government & Official Services,920A,Transfers From Capital,Revenues,1099515
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,750A,Inter-Divisional Recoveries,Revenues,87500
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,850A,User Fees & Donations,Revenues,351786
City Clerk's Office,GV-Make Government Work,Government Decision Making Processes,940A,Sundry and Other Revenues,Revenues,32556
City Clerk's Office,GV-Open Government,Corporate Information Production Services,750A,Inter-Divisional Recoveries,Revenues,8764304
City Clerk's Office,GV-Open Government,Corporate Information Production Services,850A,User Fees & Donations,Revenues,187400
City Clerk's Office,GV-Open Government,Corporate Information Production Services,940A,Sundry and Other Revenues,Revenues,625302
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,750A,Inter-Divisional Recoveries,Revenues,484664
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,850A,User Fees & Donations,Revenues,14900
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,920A,Transfers From Capital,Revenues,135000
City Clerk's Office,GV-Open Government,Lifecycle Management of City Information,940A,Sundry and Other Revenues,Revenues,147620
City Council,City Council,City Council,930A,Contribution From Reserves/Reserve Funds,Revenues,40000
City Manager's Office,"CM-Equity, Diversity & Human Rights",Human Rights Education & Complaints Management,750A,Inter-Divisional Recoveries,Revenues,2500
City Manager's Office,CM-Internal Auditing,Audit Reporting,750A,Inter-Divisional Recoveries,Revenues,609900
City Manager's Office,CM-Internal Auditing,Audit Reporting,940A,Sundry and Other Revenues,Revenues,35789
City Manager's Office,CM-Internal Auditing,Business Risk & Consulting,940A,Sundry and Other Revenues,Revenues,6316
City Manager's Office,CM-Strategic & Corporate Policy,Governance & Organizational Structures,930A,Contribution From Reserves/Reserve Funds,Revenues,-320260
City Manager's Office,CM-Strategic & Corporate Policy,Intergovernmental & Agency Relations,750A,Inter-Divisional Recoveries,Revenues,65135
City Manager's Office,CM-Strategic & Corporate Policy,Strategic Planning & Policy Development,930A,Contribution From Reserves/Reserve Funds,Revenues,376342
City Manager's Office,CM-Strategic Communications,Advertising / Corporate Identity Management,930A,Contribution From Reserves/Reserve Funds,Revenues,49500
City Manager's Office,CM-Strategic Communications,Internal Communications,930A,Contribution From Reserves/Reserve Funds,Revenues,49500
City Manager's Office,CM-Strategic Communications,Media Relations,930A,Contribution From Reserves/Reserve Funds,Revenues,82500
City Manager's Office,CM-Strategic Communications,Public Communications,750A,Inter-Divisional Recoveries,Revenues,1143428
City Manager's Office,CM-Strategic Communications,Public Communications,930A,Contribution From Reserves/Reserve Funds,Revenues,-181500
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,750A,Inter-Divisional Recoveries,Revenues,1127496
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,920A,Transfers From Capital,Revenues,416367
City Manager's Office,HR Employee & Labour Relations,HR Employee & Labour Relations,940A,Sundry and Other Revenues,Revenues,159170
City Manager's Office,HR Employment Services,HR Employment Services,750A,Inter-Divisional Recoveries,Revenues,1577719
City Manager's Office,HR Employment Services,HR Employment Services,920A,Transfers From Capital,Revenues,416366
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,750A,Inter-Divisional Recoveries,Revenues,293177
City Manager's Office,HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,920A,Transfers From Capital,Revenues,1249726
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,750A,Inter-Divisional Recoveries,Revenues,313537
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,920A,Transfers From Capital,Revenues,416367
City Planning,City Building & Policy Development,City Building & Policy Development,850A,User Fees & Donations,Revenues,127640
City Planning,City Building & Policy Development,City Building & Policy Development,920A,Transfers From Capital,Revenues,2037893
City Planning,City Building & Policy Development,City Building & Policy Development,940A,Sundry and Other Revenues,Revenues,849981
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",850A,User Fees & Donations,Revenues,24827204
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",930A,Contribution From Reserves/Reserve Funds,Revenues,11857
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",940A,Sundry and Other Revenues,Revenues,127731
Court Services,Court Case Management,Court Case Management,750A,Inter-Divisional Recoveries,Revenues,5699444
Court Services,Court Case Management,Court Case Management,850A,User Fees & Donations,Revenues,203350
Court Services,Court Case Management,Court Case Management,940A,Sundry and Other Revenues,Revenues,33486980
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,750A,Inter-Divisional Recoveries,Revenues,904573
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,850A,User Fees & Donations,Revenues,12250
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,940A,Sundry and Other Revenues,Revenues,78800
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,750A,Inter-Divisional Recoveries,Revenues,137336
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,850A,User Fees & Donations,Revenues,4900
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,940A,Sundry and Other Revenues,Revenues,31520
Court Services,Default Fine Collection Management,Default Fine Collection Management,750A,Inter-Divisional Recoveries,Revenues,686680
Court Services,Default Fine Collection Management,Default Fine Collection Management,850A,User Fees & Donations,Revenues,24500
Court Services,Default Fine Collection Management,Default Fine Collection Management,940A,Sundry and Other Revenues,Revenues,157600
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,750A,Inter-Divisional Recoveries,Revenues,1890293
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,805A,Provincial Subsidies,Revenues,1049000
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,850A,User Fees & Donations,Revenues,5000
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,940A,Sundry and Other Revenues,Revenues,861600
Economic Development & Culture,EC-Business Services,Filming Activity,860A,Licences & Permits Revenue,Revenues,547000
Economic Development & Culture,EC-Cultural Services,Arts Programming,850A,User Fees & Donations,Revenues,242049
Economic Development & Culture,EC-Cultural Services,Arts Programming,860A,Licences & Permits Revenue,Revenues,148640
Economic Development & Culture,EC-Cultural Services,Arts Programming,930A,Contribution From Reserves/Reserve Funds,Revenues,200000
Economic Development & Culture,EC-Cultural Services,Arts Programming,940A,Sundry and Other Revenues,Revenues,20900
Economic Development & Culture,EC-Cultural Services,Cultural Development,810A,Federal Subsidies,Revenues,75000
Economic Development & Culture,EC-Cultural Services,Cultural Development,850A,User Fees & Donations,Revenues,193830
Economic Development & Culture,EC-Cultural Services,Cultural Development,940A,Sundry and Other Revenues,Revenues,82900
Economic Development & Culture,EC-Cultural Services,Cultural Grants,930A,Contribution From Reserves/Reserve Funds,Revenues,3200000
Economic Development & Culture,EC-Cultural Services,Events Programming,940A,Sundry and Other Revenues,Revenues,2263031
Economic Development & Culture,EC-Cultural Services,Heritage Programming,805A,Provincial Subsidies,Revenues,242700
Economic Development & Culture,EC-Cultural Services,Heritage Programming,810A,Federal Subsidies,Revenues,79172
Economic Development & Culture,EC-Cultural Services,Heritage Programming,820A,Other Subsidies,Revenues,37000
Economic Development & Culture,EC-Cultural Services,Heritage Programming,850A,User Fees & Donations,Revenues,1636736
Economic Development & Culture,EC-Cultural Services,Heritage Programming,860A,Licences & Permits Revenue,Revenues,179766
Economic Development & Culture,EC-Cultural Services,Heritage Programming,920A,Transfers From Capital,Revenues,657000
Economic Development & Culture,EC-Cultural Services,Heritage Programming,940A,Sundry and Other Revenues,Revenues,521250
Economic Development & Culture,EC-Economic Competitiveness Services,BIA Support & Governance,920A,Transfers From Capital,Revenues,379000
