Program,Permanent,Temporary
Affordable Housing Office,15,4
Children's Services,729.9,237.7
Court Services,282,0
Economic Development & Culture,231,69.6
Toronto Paramedic Services,1376.5,14.8
Long Term Care Homes & Services,2225.9,0
"Parks, Forestry & Recreation",1876.2,2559.6
"Shelter, Support & Housing Administration",568,139.2
"Social Development, Finance & Administratio",120.5,7
Toronto Employment & Social Services,2024,58
City Planning,347,13
Fire Services,3149.5,5.3
Municipal Licensing and Standards,459,1
"Policy, Planning, Finance and Administration",192,7.4
Engineering & Construction Services,127.5,5.5
Toronto Building,433,7
Transportation Services,1001.1,32.7
Office of the Chief Financial Officer,101,1
Office of the Treasurer,662,31
"Facilities, Real Estate, Environment & Energy",891.2,34.3
Fleet Services,175,1
Information & Technology,584,3
311 Toronto,137,20
City Manager,415.5,9
City Clerk's Office,396.3,7.6
Legal Services,268.4,33
Mayor's Office,1,19
City Council,44,132
Auditor General's Office,29.5,0
Lobbyist Registrar,8,0.3
Integrity Commissioner's Office,4,0
Office of the Ombudsman,17,0
Toronto Public Health,1794,44.6
Toronto Public Library,1736.3,0
Association of Community Centres,77.9,0
Exhibition Place,379,11
Heritage Toronto,7,0
Theatres,85.9,77.2
Toronto Zoo,278,124.5
Arena Boards of Management,43.2,23.4
Yonge-Dundas Square,6,0.5
Parking Tag Enforcement & Operations,394,0
Toronto Atmospheric Fund,8,0
Toronto Transit Commission - Conventional,11747,9
Toronto Transit Commission - Wheel-Trans,562,0
Toronto Police Service,7672,211
Toronto Police Services Board,7,0
Solid Waste Management Services,964,117.7
Toronto Water,1640,70.3
Toronto Parking Authority,246.1,53.3
