_COLUMNS_,"Category:CODE,Category:NAME,Start:VALUE,End:Value,AllocateTo:CODE,AllocateTo:NAME,Note:DESCRIPTION",,,,,
BENEFITS,Employee Benefits (Note 13),2009,,,,
BUILDINGCODE,Building Code Act Service Improvement,2009,,,,
COMMINITIATIVES,Community Initiatives,2009,,,,
COMMSERVICES,Community Services,2009,,,,
CORPORATE,Corporate,2009,,,,
DEVCHARGES,Development Charges,2009,,,,
DONATIONS,Donations,2009,,,,
GASTAX,Provincial Gas Tax,2009,,,,
PARKING,Parking Authority,2009,,,,
RECLAND,Recreational Land (Planning Act),2009,,,,
SOGR,State of Good Repair,2009,,,,
SOGR-OBLIG,State of Good Repair – Obligatory,2011,,,,
STABILIZATION,Stabilization,2009,,,,
SUBDIVIDERS,Subdividers’ Deposits,2009,2013,,,
THIRDPARTY,Third Party Agreements,2009,,,,
TRANSITFUNDS,Public Transit Funds,2009,,,,
WATER,Water and Wastewater,2009,,,,
