_META_START_,
SOURCE_DOCUMENT_LINK_ORIGINAL,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=1AJ3kl4GghwwokQ8AbFlNT6q7ZG4EPIfv
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=1vI0cN2OCkZZ7V6x0FxXhiKYWTdOJyr7T
SOURCE_DOCUMENT_TITLE,2010 Consolidated Financial Statements
SOURCE_DOCUMENT_TABLE_LOCATION,
SOURCE_DOCUMENT_TABLE_TITLE,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=1dsd8BInT0r_1qJ8QWcdv1hHB9X-vHpJy
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik
YEAR,2010
VERSION,Actual
ASPECT,"Liabilities, Surplus"
NOTES_CONTENT,Dollar
NOTES_SEVERITY,
UNITS_NAME,Dollar
UNITS_CODE,DOLLAR
UNITS_MULTIPLIER,1000
TOTAL_AMOUNT,
INTAKE_DATETIME,
INTAKE_OPERATOR_ID,Henrik
COLUMNS_CATEGORIES,Reserve:NAME
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE"
_META_END_,
Development Charges,273942
Recreational Land (Planning Act),204200
Subdividers’ Deposits,13724
Building Code Act Service Improvement,11168
Provincial Gas Tax,
Public Transit Funds,485136
Water and Wastewater – obligatory,2674
Community Services,67129
Third Party Agreements,25424
State of Good Repair – Obligatory,9966
Parking Authority,2423
Corporate – reserve,319724
Stabilization,151914
Water and Wastewater,56564
Donations,2045
Community Initiatives – reserve,23
Employee Benefits (Note 15),182586
Corporate – fund,414402
Community Initiatives,91277
State of Good Repair,136557
