_COLUMNS_,"Category:CODE,Category:NAME,AlternateNames:LIST,Notes:LIST",,
BENEFITS,Employee Benefits,Employee Benefits;#Employee Benefits (Note 15),
BUILDINGCODE,Building Code Act Service Improvement,,
COMMINITIATIVES,Community Initiatives,,
COMMINITIATIVESRESERVE,Community Initiatives – Reserve,Community Initiatives – Reserve;#Community Initiatives – reserve,
COMMSERVICES,Community Services,,
CORPFUND,Corporate – Fund,Corporate – Fund;#Corporate – fund,
CORPRESERVE,Corporate – Reserve,Corporate – Reserve;#Corporate – reserve,
DEVCHARGES,Development Charges,,
DONATIONS,Donations,,
GASTAX,Provincial Gas Tax,,
PARKING,Parking Authority,,
RECLAND,Recreational Land (Planning Act),,
SOGR,State of Good Repair,,
SOGROBLIG,State of Good Repair,State of Good Repair;#State of Good Repair – Obligatory,
STABILIZATION,Stabilization,,
SUBDIVIDERS,Subdividers’ Deposits,,
THIRDPARTY,Third Party Agreements,,
TRANSITFUNDS,Public Transit Funds,,
WATER,Water and Wastewater,,
WATEROBLIG,Water and Wastewater – Obligatory,Water and Wastewater – Obligatory;#Water and Wastewater – obligatory,
