_META_START_,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=1qJ57BYNxeOh_3KyT_UlveDzrE7meJRXb,,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=1vI0cN2OCkZZ7V6x0FxXhiKYWTdOJyr7T,,,,
SOURCE_DOCUMENT_TITLE,2011 Consolidated Financial Statements,,,,
SOURCE_DOCUMENT_TABLE_LOCATION,Note: deferred liabilities; Note: Accumulated Surplus,,,,
SOURCE_DOCUMENT_TABLE_TITLE,,,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=1w417DnaHrQmbWBch9TunDrk1uOqngqu8,,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,,
YEAR,2011,,,,
VERSION,Actual,,,,
ASPECT,"Liabilities, Surplus",,,,
NOTES_CONTENT,Dollar,,,,
NOTES_SEVERITY,,,,,
UNITS_NAME,Dollar,,,,
UNITS_CODE,DOLLAR,,,,
UNITS_MULTIPLIER,1000,,,,
TOTAL_AMOUNT,2438604,,,,
INTAKE_DATETIME,2018-01-30-00-12-14,,,,
INTAKE_OPERATOR_ID,Henrik,,,,
COLUMNS_CATEGORIES,"Reserve:CODE,Reserve:NAME",,,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE,Allocations:DESCRIPTION",,,,
_META_END_,,,,,
BUILDINGCODE,Building Code Act Service Improvement,15370,,,
COMMINITIATIVES,Community Initiatives,78950,,,
COMMSERVICES,Community Services,70738,,,
CORPFUND,Corporate – Fund,439475,,,
CORPRESERVE,Corporate – Reserve,288761,,,
DEVCHARGES,Development Charges,317368,,,
DONATIONS,Donations,2014,,,
GASTAX,Provincial Gas Tax,5009,,,
PARKING,Parking Authority,2858,,,
RECLAND,Recreational Land (Planning Act),261055,,,
SOGR,State of Good Repair,138217,,,
SOGROBLIG,State of Good Repair – Obligatory,10765,,,
STABILIZATION,Stabilization,162244,,,
SUBDIVIDERS,Subdividers’ Deposits,13741,,,
THIRDPARTY,Third Party Agreements,21476,,,
TRANSITFUNDS,Public Transit Funds,383520,,,
WATER,Water and Wastewater,31516,,,
WATEROBLIG,Water and Wastewater – Obligatory,30900,,,
BENEFITS,Employee Benefits,164627,,,
