_META_START_,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=1gRHm9WBmraFZX_JMXgavTTv2i9Wr_GZA,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=1vI0cN2OCkZZ7V6x0FxXhiKYWTdOJyr7T,
SOURCE_DOCUMENT_TITLE,2015 Consolidated Financial Statements,
SOURCE_DOCUMENT_TABLE_LOCATION,Note: deferred liabilities; Note: Accumulated Surplus,
SOURCE_DOCUMENT_TABLE_TITLE,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=1HA_OvZYUUctW-Kh-2RkW2qMC9BWP2ccG,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,
YEAR,2015,
VERSION,Actual,
ASPECT,"Liabilities, Surplus",
NOTES_CONTENT,Dollar,
NOTES_SEVERITY,,
UNITS_NAME,Dollar,
UNITS_CODE,DOLLAR,
UNITS_MULTIPLIER,1000,
TOTAL_AMOUNT,3759510,
INTAKE_DATETIME,2018-01-30-00-12-14,
INTAKE_OPERATOR_ID,Henrik,
COLUMNS_CATEGORIES,"Reserve:CODE,Reserve:NAME",
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE,Allocations:DESCRIPTION",
_META_END_,,
DEVCHARGES,Development Charges,634749
RECLAND,Recreational Land (Planning Act),580654
BUILDINGCODE,Building Code Act Service Improvement,52433
TRANSITFUNDS,Public Transit Funds,102336
WATEROBLIG,Water and Wastewater – Obligatory,464852
COMMSERVICES,Community Services,81393
THIRDPARTY,Third Party Agreements,11115
SOGROBLIG,State of Good Repair – Obligatory,2402
PARKING,Parking Authority,3345
CORPRESERVE,Corporate – Reserve,520809
STABILIZATION,Stabilization,209299
WATER,Water and Wastewater,77861
DONATIONS,Donations,1186
BENEFITS,Employee Benefits,239206
CORPFUND,Corporate – Fund,451809
COMMINITIATIVES,Community Initiatives,102815
SOGR,State of Good Repair,223246
