_META_START_,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=1AJ3kl4GghwwokQ8AbFlNT6q7ZG4EPIfv,,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=1vI0cN2OCkZZ7V6x0FxXhiKYWTdOJyr7T,,,,
SOURCE_DOCUMENT_TITLE,2010 Consolidated Financial Statements,,,,
SOURCE_DOCUMENT_TABLE_LOCATION,,,,,
SOURCE_DOCUMENT_TABLE_TITLE,,,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=1dsd8BInT0r_1qJ8QWcdv1hHB9X-vHpJy,,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,,
YEAR,2010,,,,
VERSION,Actual,,,,
ASPECT,"Liabilities, Surplus",,,,
NOTES_CONTENT,Dollar,,,,
NOTES_SEVERITY,,,,,
UNITS_NAME,Dollar,,,,
UNITS_CODE,DOLLAR,,,,
UNITS_MULTIPLIER,1000,,,,
TOTAL_AMOUNT,2450878,,,,
INTAKE_DATETIME,2018-01-29-23-45-23,,,,
INTAKE_OPERATOR_ID,Henrik,,,,
COLUMNS_CATEGORIES,"Reserve:CODE,Reserve:NAME",,,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE,Allocations:DESCRIPTION",,,,
_META_END_,,,,,
BUILDINGCODE,Building Code Act Service Improvement,11168,,,
COMMINITIATIVES,Community Initiatives,91300,,,
COMMSERVICES,Community Services,67129,,,
CORPFUND,Corporate – Fund,414402,,,
CORPRESERVE,Corporate – Reserve,319724,,,
DEVCHARGES,Development Charges,273942,,,
DONATIONS,Donations,2045,,,
GASTAX,Provincial Gas Tax,,,,
PARKING,Parking Authority,2423,,,
RECLAND,Recreational Land (Planning Act),204200,,,
SOGROBLIG,State of Good Repair – Obligatory,146523,,,
STABILIZATION,Stabilization,151914,,,
SUBDIVIDERS,Subdividers’ Deposits,13724,,,
THIRDPARTY,Third Party Agreements,25424,,,
TRANSITFUNDS,Public Transit Funds,485136,,,
WATER,Water and Wastewater,56564,,,
WATEROBLIG,Water and Wastewater – Obligatory,2674,,,
BENEFITS,Employee Benefits,182586,,,
