_META_START_,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=1qJ57BYNxeOh_3KyT_UlveDzrE7meJRXb,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=1vI0cN2OCkZZ7V6x0FxXhiKYWTdOJyr7T,
SOURCE_DOCUMENT_TITLE,2011 Consolidated Financial Statements,
SOURCE_DOCUMENT_TABLE_LOCATION,Note: deferred liabilities; Note: Accumulated Surplus,
SOURCE_DOCUMENT_TABLE_TITLE,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=1w417DnaHrQmbWBch9TunDrk1uOqngqu8,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,
YEAR,2011,
VERSION,Actual,
ASPECT,"Liabilities, Surplus",
NOTES_CONTENT,Dollar,
NOTES_SEVERITY,,
UNITS_NAME,Dollar,
UNITS_CODE,DOLLAR,
UNITS_MULTIPLIER,1000,
TOTAL_AMOUNT,2438604,
INTAKE_DATETIME,2018-01-30-00-08-55,
INTAKE_OPERATOR_ID,Henrik,
COLUMNS_CATEGORIES,"Reserve:CODE,Reserve:NAME",
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",
_META_END_,,
DEVCHARGES,Development Charges,317368
RECLAND,Recreational Land (Planning Act),261055
SUBDIVIDERS,Subdividers’ Deposits,13741
BUILDINGCODE,Building Code Act Service Improvement,15370
GASTAX,Provincial Gas Tax,5009
TRANSITFUNDS,Public Transit Funds,383520
WATEROBLIG,Water and Wastewater – obligatory,30900
COMMSERVICES,Community Services,70738
THIRDPARTY,Third Party Agreements,21476
SOGROBLIG,State of Good Repair – obligatory,10765
PARKING,Parking Authority,2858
CORPRESERVE,Corporate – reserve,288761
STABILIZATION,Stabilization,162244
WATER,Water and Wastewater,31516
DONATIONS,Donations,2014
COMMINITIATIVESRESERVE,Community Initiatives – reserve,23
BENEFITS,Employee Benefits (Note 13),164627
CORPFUND,Corporate – fund,439475
COMMINITIATIVES,Community Initiatives,78927
SOGR,State of Good Repair,138217
