_META_START_,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuX3NMSlJCYWZuVW8,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuWTRDakxKYk42bFk,
SOURCE_DOCUMENT_TITLE,2016 Budget Committee Recommended Tax Supported Operating Budget,
SOURCE_DOCUMENT_TABLE_LOCATION,CITY OF TORONTO 2017 PRELIMINARY OPERATING BUDGET SUMMARY,
SOURCE_DOCUMENT_TABLE_TITLE,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuOUhYVlB2NlBuS2s,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,
YEAR,2017,
VERSION,Summary,
ASPECT,Staffing,
NOTES_CONTENT,,
NOTES_SEVERITY,,
UNITS_NAME,Full Time Equivalent,
UNITS_CODE,FTE,
UNITS_MULTIPLIER,1,
TOTAL_AMOUNT,54966.1,
INTAKE_DATETIME,,
INTAKE_OPERATOR_ID,Henrik,
COLUMNS_CATEGORIES,Program:NAME,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",
_META_END_,,
Affordable Housing Office,19,
Children's Services,973.5,
Court Services,252,
Economic Development & Culture,284.5,
Toronto Paramedic Services,1445.8,
Long Term Care Homes & Services,2373.9,
"Parks, Forestry & Recreation",4267.6,
"Shelter, Support & Housing Administration",739.1,
"Social Development, Finance & Administration",147,
Toronto Employment & Social Services,2012,
City Planning,367.5,
Fire Services,3175.3,
Municipal Licensing & Standards,470.5,
"Policy, Planning, Finance & Administration",188.4,
Engineering & Construction Services,124.9,
Toronto Building,467,
Transportation Services,1013.1,
Office of the Chief Financial Officer,104,
Office of the Treasurer,646.2,
"Facilities, Real Estate, Environment & Energy",917,
Fleet Services,178,
Information & Technology,628,
311 Toronto,160,
City Manager's Office,408,
City Clerk's Office,386.3,
Legal Services,349.4,
Mayor's Office,20,
City Council,180,
Auditor General's Office,32,
Office of the Lobbyist Registrar,8.3,
Integrity Commissioner's Office,3,
Office of the Ombudsman,12,
Corporate Accounts,3,
Toronto Public Health,1813.3,
Toronto Public Library,1732.3,
Association of Community Centres,77.9,
Exhibition Place,354,
Heritage Toronto,7,
Theatres,186.7,
Toronto Zoo,394,
Arena Boards of Management,67.7,
Yonge-Dundas Square,6.5,
Parking Tag Enforcement & Operations,394,
Toronto & Region Conservation Authority,426.6,
Toronto Transit Commission - Conventional,11793,
Toronto Transit Commission - Wheel Trans,571,
Toronto Police Service,7881,
Toronto Police Services Board,7,
Toronto Water,1752.65,backgroundfile-98489.pdf
Solid Waste Management Services,1113.7,backgroundfile-98496.pdf
Toronto Parking Authority,309,Backgroundfile-98499.pdf
