_META_START_,
SOURCE_DOCUMENT_LINK_ORIGINAL,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuYkp6aWxEUE1nMkU
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuTzItQm9wVDZRcjg
SOURCE_DOCUMENT_TITLE,2016 Budget Committee Recommended Tax Supported Operating Budget
SOURCE_DOCUMENT_TABLE_LOCATION,CITY OF TORONTO 2017 PRELIMINARY OPERATING BUDGET SUMMARY
SOURCE_DOCUMENT_TABLE_TITLE,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuX0RMdlB6cDZCWTQ
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik
YEAR,2017
VERSION,Summary
ASPECT,Staffing
NOTES_CONTENT,
NOTES_SEVERITY,
UNITS_NAME,Full Time Equivalent
UNITS_CODE,FTE
UNITS_MULTIPLIER,1
TOTAL_AMOUNT,54966.1
INTAKE_DATETIME,
INTAKE_OPERATOR_ID,Henrik
COLUMNS_CATEGORIES,Program:NAME
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE"
_META_END_,
Affordable Housing Office,19
Children's Services,982.5
Court Services,252
Economic Development & Culture,300.5
Toronto Paramedic Services,1446.3
Long-Term Care Homes & Services,2373.9
"Parks, Forestry & Recreation",4416.7
"Shelter, Support & Housing Administration",758.1
"Social Development, Finance & Administration",147
Toronto Employment & Social Services,2012
City Planning,377
Fire Services,3176.3
Municipal Licensing & Standards,473.5
"Policy, Planning, Finance & Administration",188.4
Engineering & Construction Services,570.1
Toronto Building,468
Transportation Services,1120
Office of the CFO,116
Office of the Treasurer,655.2
"Facilities, Real Estate, Environment & Energy",1000
Fleet Services,181
311 Toronto,173
Information & Technology,846
City Manager's Office,428
City Clerk's Office,402.6
Legal Services,351.9
Mayor's Office,20
City Council,180
Auditor General's Office,32
Integrity Commissioner's Office,3
Office of the Lobbyist Registrar,8.3
Office of the Ombudsman,12
Toronto Public Health,1830.5
Toronto Public Library,1732.3
Association of Community Centres,77.9
Exhibition Place,359
Heritage Toronto,7
Theatres,186.7
Toronto Zoo,394
Arena Boards of Management,67.7
Yonge-Dundas Square,6.5
Toronto & Region Conservation Authority,426.6
TTC - Conventional,14005
TTC - Wheel Trans,571
Toronto Police Service,7881
Toronto Police Services Board,7
Parking Tag Enforcement,397
Solid Waste Management Services,1113.7
Toronto Parking Authority,309
Toronto Water,1752.6
