_META_START_,
SOURCE_DOCUMENT_LINK_ORIGINAL,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuTzhtMjZDLWU2ZkE
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuTDRIWm1BVU9mT0k
SOURCE_DOCUMENT_TITLE,2007 BUDGET BRIEFING NOTE Summary of 2007 Council Approved Positions
SOURCE_DOCUMENT_TABLE_LOCATION,p. 11
SOURCE_DOCUMENT_TABLE_TITLE,CITY OF TORONTO 2007 COUNCIL APPROVED OPERATING BUDGET CORPORATE SUMMARY OF APPROVED POSITIONS (OPERATING) PERMANENT VS TEMPORARY
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuSTdqV0ZSemo1V3c
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik
YEAR,2007
VERSION,Summary
ASPECT,Staffing
NOTES_CONTENT,
NOTES_SEVERITY,
UNITS_NAME,Full Time Equivalent
UNITS_CODE,FTE
UNITS_MULTIPLIER,1
TOTAL_AMOUNT,
INTAKE_DATETIME,
INTAKE_OPERATOR_ID,Henrik
COLUMNS_CATEGORIES,Program:NAME
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE"
_META_END_,
Affordable Housing Office ,24
Children's Services ,956.7
Court Services ,224
"Economic Development, Culture & Tourism ",265.8
Emergency Medical Services ,1211.3
Homes for the Aged ,2121.5
"Parks, Forestry & Recreation ",4095.8
"Shelter, Housing & Support ",686
"Social Development, Finance & Administration ",223.8
Social Services ,1950
3 - 1 - 1 Program ,4
Toronto Building ,407.5
"Policy, Planning, Finance & Admin. ",110.9
City Planning ,328
Clean & Beautiful Secretariat ,2
Fire Services ,3186
Municipal Licensing and Standards ,380
Solid Waste Management Services ,1339.6
Toronto Water ,1779.9
Transportation Services ,1365.7
Waterfront Secretariat ,7
WES - Technical Services ,196.7
Office of the Chief Financial Officer ,120
Office of the Treasurer ,738
Public Information & Creative Services ,60
Facilities & Real Estate ,698.6
Fleet Services ,202
Information & Technology ,341
City Manager's Office ,396
City Clerk's Office ,367.5
Legal Services ,255
Auditor General's Office ,29
Mayor's Office ,23
Office of the Lobbyist Registrar ,2
Council ,182
Toronto Public Health ,1933.5
Toronto Public Library ,1814.2
Association of Community Centres ,91.2
Exhibition Place ,512.5
Heritage Toronto ,6
Theatres ,177.2
Toronto Zoo ,354
Arena Boards of Management ,63.5
Yonge Dundas Square ,4
Parking Authority ,297.8
Parking Enforcement Unit ,395
Toronto Atmospheric Fund ,4
Toronto & Region Conservation Authority ,410.8
Toronto Transit Commission* ,10284
Toronto Police Services(excludes Board) ,7705
