_META_START_,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0BzB3t6aSc9bDclgtWnlrTThyeDQ,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuRDNTajhMcnV6RTg,
SOURCE_DOCUMENT_TITLE,2008 BUDGET COMMITTEE RECOMMENDED OPERATING BUDGET – Revenues,
SOURCE_DOCUMENT_TABLE_LOCATION,,
SOURCE_DOCUMENT_TABLE_TITLE,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuXzMzR0lBWVpMdG8,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,
YEAR,2008,
VERSION,Summary,
ASPECT,Revenues,
NOTES_CONTENT,,
NOTES_SEVERITY,,
UNITS_NAME,Dollar,
UNITS_CODE,DOLLAR,
UNITS_MULTIPLIER,1000,
TOTAL_AMOUNT,,
INTAKE_DATETIME,,
INTAKE_OPERATOR_ID,Henrik,
COLUMNS_CATEGORIES,Program:NAME,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",
_META_END_,,
3-1-1 Customer Service Strategy,3065.4,
Affordable Housing Office,1613,
Homes for the Aged,165878.9,
Arena Boards of Management,5982.5,
Auditor General's Office,0,
Toronto Building,53572.6,
Office of the Chief Financial Officer,4055.4,
Children's Services,291863.2,
City Manager's Office,2260.9,
City Clerk's Office,13745.6,
Association of Community Centres,170,
Non-Program Expenditures,93529.2,
Capital & Corporate Financing,66511.7,
Non-Program Revenues,837682.7,
City Council,0,
Court Services,50717.9,
Community Partnership and Investment Program revenue,259,
Pubic Information & Creative Services,78.1,
"Economic Development, Culture & Tourism",6990.2,
Emergency Medical Services,90093.4,
Exhibition Place,53967.2,
Facilities & Real Estate,75881.9,
Fire Services,8176.1,
Fleet Services,41459.8,
Heritage Toronto,304,
Integrity Commissioner's Office,0,
Information & Technology,9273.5,
Legal Services,15777.5,
Toronto Public Library,14314.4,
Municipal Licensing & Standards,22730.2,
Lobbyist Registrar,0,
Mayor's Office,0,
Office of the Ombudsperson,0,
Toronto Parking Authority,113115.4,http://www.celos.ca/wiki/uploads/BudgetDocuments/2008BSweb.pdf
"Parks, Forestry & Recreation",82789.8,
City Planning,21265.4,
Toronto Police Service,43471.2,
Toronto Police Services Board,0,
"Policy, Planning, Finance and Administration",19054.6,
Toronto Public Health,168725.5,
Toronto & Region Conservation Authority,34191.9,
"Shelter, Support & Housing Administration",456344.2,
"Social Development, Finance & Administration",11226.6,
Social Services,784175.2,
Solid Waste Management Services,94570.6,
Technical Services,44136.8,
Theatres,19448.1,
Transportation Services,92955.7,
Office of the Treasurer,38728.2,
Toronto Transit Commission - Conventional,953091.1,
Toronto Transit Commission - Wheel-Trans,23511,
Toronto Water,677393.3,http://www.celos.ca/wiki/uploads/BudgetDocuments/2008BSweb.pdf
Waterfront Secretariat,331,
Yonge-Dundas Square,768,
Toronto Zoo,29534,
