_META_START_,
SOURCE_DOCUMENT_LINK_ORIGINAL,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0BzB3t6aSc9bDV0dZSWpoXzdHREE
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuRDNTajhMcnV6RTg
SOURCE_DOCUMENT_TITLE,2010 COUNCIL APPROVED OPERATING BUDGET – Revenue
SOURCE_DOCUMENT_TABLE_LOCATION,
SOURCE_DOCUMENT_TABLE_TITLE,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuTW1HZzBaczBxUlk
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik
YEAR,2010
VERSION,Summary
ASPECT,Revenues
NOTES_CONTENT,
NOTES_SEVERITY,
UNITS_NAME,Dollar
UNITS_CODE,DOLLAR
UNITS_MULTIPLIER,1000
TOTAL_AMOUNT,
INTAKE_DATETIME,
INTAKE_OPERATOR_ID,Henrik
COLUMNS_CATEGORIES,Program:NAME
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE"
_META_END_,
311 Customer Service Strategy,8228
Affordable Housing Office,1888.2
Arena Boards of Management,6401.7
Auditor General’s Office,
Toronto Building,56630.2
Office of the Chief Financial Officer,6583.6
Children’s Services,307932.3
City Manager’s Office,4675
City Clerk’s Office,23371.1
Association of Community Centres,189.1
Non-Program Expenditures,137011.5
Capital & Corporate Financing,30417.7
Non-Program Revenues,1159543.9
City Council,700
Court Services,62161.8
Community Partnership and Investment Program revenue,211
Economic Development & Culture,9507.9
Emergency Medical Services,99618.7
Toronto Environment Office,9386.3
Exhibition Place,62901.8
Facilities & Real Estate,115367.7
Fire Services,12600.2
Fleet Services,47292
Heritage Toronto,347.1
Integrity Commissioner’s Office,
Information & Technology,24184.1
Legal Services,19545.1
Toronto Public Library,13487.8
Municipal Licensing & Standards,30982.9
Lobbyist Registrar,
Long Term Care Homes & Services,173853.2
Mayor’s Office,
Office of the Ombudsman,
Toronto Parking Authority,124419.2
"Parks, Forestry & Recreation",98470.1
City Planning,23145.3
Toronto Police Service,65754.5
Toronto Police Services Board,
"Policy, Planning, Finance and Administration",12950.8
Toronto Public Health,175377.1
Toronto & Region Conservation Authority,32314.5
"Shelter, Support & Housing Administration",596003.4
"Social Development, Finance & Administration",11415.8
Toronto Employment & Social Services,1033512
Solid Waste Management,319821.4
Technical Services,55474.8
Theatres,17129.6
Transportation Services,104845.7
Office of the Treasurer,46188.4
Toronto Transit Commission - Conventional,941115.2
Toronto Transit Commission - Wheel-Trans,4757.3
Toronto Water,767707.7
Waterfront Secretariat,590
Yonge-Dundas Square,1219
Toronto Zoo,33940
