_META_START_,
SOURCE_DOCUMENT_LINK_ORIGINAL,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0BzB3t6aSc9bDQ09OS0h6NXhhb00
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OubHdZVEpCZmdfNlE
SOURCE_DOCUMENT_TITLE,CITY OF TORONTO 2014 COUNCIL APPROVED OPERATING BUDGET GROSS EXPENDITURE
SOURCE_DOCUMENT_TABLE_LOCATION,
SOURCE_DOCUMENT_TABLE_TITLE,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuMjVYdERwN1JhOTQ
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik
YEAR,2014
VERSION,Summary
ASPECT,Expenses
NOTES_CONTENT,
NOTES_SEVERITY,
UNITS_NAME,Dollar
UNITS_CODE,DOLLAR
UNITS_MULTIPLIER,1000
TOTAL_AMOUNT,
INTAKE_DATETIME,
INTAKE_OPERATOR_ID,Henrik
COLUMNS_CATEGORIES,Program:NAME
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE"
_META_END_,
311 Toronto,17801
Affordable Housing Office,2743
Arena Boards of Management,8168
Auditor General's Office,4685
Toronto Buildings,48322
Office of the Chief Financial Officer,15952
Children's Services,420647
City Manager's Office,53853
City Clerk's Office,59650
Association of Community Centres,7586
Non-Program Expenditures,658456
Capital & Corporate Financing,690552
Non-Program Revenues,9445
City's Council,22287
Court Services,53814
Economic Development & Culture,71094
Emergency Medical Services,187889
Engineering & Construction Services,65959
Toronto Environment Office,0
Exhibition Place,44438
Facilities Management & Real Estate,186447
Fire Services,424735
Fleet Services,47789
Heritage Toronto,761
Integrity Commissioner's Office,299
Information & Technology,110962
Legal Services,47044
Toronto Public Library,184170
Municipal Licensing & Standards,49882
Office of the Lobbyist Registrar,1087
Long Term Care Homes & Services,231800
Mayor's Office,1089
Office of the Ombudsman,1636
Toronto Parking Authority,138436
"Parks, Forestry & Recreation",437126
City Planning,40853
Toronto Police Service,1086002
Toronto Police Services Board,2858
"Policy, Planning, Finance & Admin",22226
Toronto Public Health,246259
Toronto Region Conservation Authority,38906
"Shelter, Support & Housing Admin",644648
"Social Development, Finance & Admin",40540
Toronto Employment & Social Services,1172129
Solid Waste Management Services,353924
Theatres,22161
Transportation Services,340011
Office of the Treasurer,73456
Toronto Transit Commission-Conventional,1597559
Toronto Transit Commission - Wheel Trans,112162
Toronto Water,1021885
Yonge-Dundas Square,2216
Toronto Zoo,51756
