_META_START_,
SOURCE_DOCUMENT_LINK_ORIGINAL,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuYkp6aWxEUE1nMkU
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuTzItQm9wVDZRcjg
SOURCE_DOCUMENT_TITLE,CITY OF TORONTO 2016 COUNCIL PRELIMINARY OPERATING BUDGET
SOURCE_DOCUMENT_TABLE_LOCATION,
SOURCE_DOCUMENT_TABLE_TITLE,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuclJnWGQyR1JKMW8
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik
YEAR,2017
VERSION,Summary
ASPECT,Revenues
NOTES_CONTENT,
NOTES_SEVERITY,
UNITS_NAME,Dollar
UNITS_CODE,DOLLAR
UNITS_MULTIPLIER,1000
TOTAL_AMOUNT,
INTAKE_DATETIME,
INTAKE_OPERATOR_ID,Henrik
COLUMNS_CATEGORIES,Program:NAME
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE"
_META_END_,
Affordable Housing Office,1804
Children's Services,403410
Court Services,41869
Economic Development & Culture,18188
Toronto Paramedic Services,132295
Long-Term Care Homes & Services,209658
"Parks, Forestry & Recreation",138409
"Shelter, Support & Housing Administration",355794
"Social Development, Finance & Administration",17276
Toronto Employment & Social Services,972683
City Planning,31893
Fire Services,17101
Municipal Licensing & Standards,32672
"Policy, Planning, Finance & Administration",12033
Engineering & Construction Services,69041
Toronto Building,66791
Transportation Services,187941
Office of the Chief Financial Officer,7280
Office of the Treasurer,44562
"Facilities, Real Estate, Environment & Energy",127090
Fleet Services,54079
311 Toronto,7986
Information & Technology,54130
City Manager's Office,8084
City Clerk's Office,18000
Legal Services,34539
Mayor's Office,
City Council,80
Auditor General's Office,
Integrity Commissioner's Office,
Office of the Lobbyist Registrar,
Office of the Ombudsman,
Toronto Public Health,183836
Toronto Public Library,19608
Association of Community Centres,296
Exhibition Place,37445
Heritage Toronto,497
Theatres,23172
Toronto Zoo,40512
Arena Boards of Management,9033
Yonge-Dundas Square,1975
Toronto & Region Conservation Authority,39971
Toronto Transit Commission - Conventional,1257822
Toronto Transit Commission - Wheel Trans,8492
Toronto Police Service,121252
Toronto Police Services Board,500
Capital & Corporate Financing,24180
Non-Program Expenditures,183198
Non-Program Revenues,1300789
Solid Waste Management Services,403562
Toronto Parking Authority,156051
Toronto Water,1231928
