_COLUMNS_,"Category:CODE,Category:NAME,AlternateNames:LIST,Notes:LIST",,
311SERVICE,3-1-1 Customer Service Strategy,3-1-1 Customer Service Strategy;#3 - 1 - 1 Program,
AFFHOUSING,Affordable Housing Office,,
AGEDHOMES,Homes for the Aged,,
ARENAS,Arena Boards of Management,,
ATMOSPHERE,Toronto Atmospheric Fund,,
AUDITGEN,Auditor General's Office,Auditor General's Office;#Auditor General’s Office,
BEAUTY,Clean and Beautiful City Secretariat,Clean and Beautiful City Secretariat;#Clean & Beautiful Secretariat,
BUILDINGS,Toronto Building,,
CFO,Office of the Chief Financial Officer,,
CHILDSERV,Children's Services,Children's Services;#Children’s Services,
CITYMANAGER,City Manager's Office,City Manager's Office;#City Manager’s Office,
CLERK,City Clerk's Office,City Clerk's Office;#City Clerk’s Office,
COMMCENTRES,Association of Community Centres,,
COMMPARTNER,Community Partnership and Investment Program,,
COMMPARTNERREV,Community Partnership and Investment Program revenue,,
CORPEXPENDITURES,Non-Program Expenditures,,
CORPFINANCING,Capital & Corporate Financing,,
CORPREVENUES,Non-Program Revenues,,
COUNCIL,City Council,City Council;#Council,
COURTSERV,Court Services,,
CREATIVEINFO,Pubic Information & Creative Services,Pubic Information & Creative Services;#Public Information & Creative Services,
ECONDEV,"Economic Development, Culture & Tourism",,
EMERG,Emergency Medical Services,,
EXHIBPLACE,Exhibition Place,,
FACILITIES,Facilities & Real Estate,,
FIRE,Fire Services,,
FLEET,Fleet Services,,
HERITAGE,Heritage Toronto,,
IT,Information & Technology,,
LEGAL,Legal Services,,
LIBRARY,Toronto Public Library,,
LICENCING,Municipal Licensing & Standards,Municipal Licensing & Standards;#Municipal Licensing and Standards,
LOBBYREG,Lobbyist Registrar,Lobbyist Registrar;#Office of the Lobbyist Registrar,
MAYOR,Mayor's Office,Mayor's Office;#Mayor’s Office,
PARKING,Toronto Parking Authority,Toronto Parking Authority;#Parking Authority,
PARKINGTAGS,Parking Enforcement Unit,,
PARKS,"Parks, Forestry & Recreation",,
PLANNING,City Planning,,
POLICE,Toronto Police Service,Toronto Police Service;#Toronto Police Services(excludes Board),
POLICEBOARD,Toronto Police Services Board,,
POLICYADMIN,"Policy, Planning, Finance and Administration","Policy, Planning, Finance and Administration;#Policy, Planning, Finance & Admin.",
PUBLICHEALTH,Toronto Public Health,,
REGIONCONSERV,Toronto & Region Conservation Authority,,
SHELTERADMIN,"Shelter, Support & Housing Administration","Shelter, Support & Housing Administration;#Shelter, Housing & Support",
SOCIALDEV,"Social Development, Finance & Administration",,
SOCIALSERV,Social Services,,
SOLIDWASTE,Solid Waste Management Services,,
TECH,Technical Services,Technical Services;#WES - Technical Services,
THEATRES,Theatres,,
TRANSPORTATION,Transportation Services,,
TREASURER,Office of the Treasurer,,
TTCCONV,Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional;#Toronto Transit Commission*,
TTCWHEEL,Toronto Transit Commission - Wheel-Trans,,
WATER,Toronto Water,,
WATERFRONT,Waterfront Secretariat,,
YONGEDUNDAS,Yonge-Dundas Square,Yonge-Dundas Square;#Yonge Dundas Square,
ZOO,Toronto Zoo,,
