_COLUMNS_,"Category:CODE,Category:NAME,AlternateNames:LIST,Notes:LIST",,
311SERVICE,3-1-1 Project,,
AGEDHOMES,Homes for the Aged,,
ARENAS,Arena Boards of Management,,
ASSESSMENT,Assessment Growth - 2005,,
ATMOSPHERE,Toronto Atmospheric Fund,,
AUDITGEN,Auditor General's Office,,
BIZSUPPORT,Customer & Business Support,,
CHILDSERV,Children's Services,,
CITYMANAGER,Chief Administrator's Office,,
CLERK,City Clerk's Office,,
COMMCENTRES,Association of Community Centers,Association of Community Centers;#Association of Community Centres,
COMMPARTNER,Community Partnership and Investment Program,Community Partnership and Investment Program;#Corporate Accounts Community Partnership and Investment Program,
COMMPARTNERREV,Community Partnership and Investment Program revenue,,
CORPCOMMS,Corporate Communications,,
CORPEXPENDITURES,Non-Program Expenditures,Non-Program Expenditures;#Total Non-Program Expenditures,
CORPFINANCING,Capital & Corporate Financing,,
CORPREVENUES,Non-Program Revenues,Non-Program Revenues;#Total Non-Program Revenues,
COUNCIL,Council,,
COURTSERV,Court Services,,
CULTURE,Culture,,
ECONDEV,Economic Development,,
ECONRECOV,Economic Recovery,,
EMERG,Emergency Medical Services,,
EMERGPLAN,Emergency Management Plan,,
EXHIBPLACE,Exhibition Place,,
FACILITIES,Facilities & Real Estate,,
FINANCE,Finance,,
FIRE,Fire Services,,
FLEET,Fleet Services,,
HERITAGE,Heritage Toronto,,
HUMANRESOURCES,Human Resources,,
INNOVATION,Service Improvement & Innovation,,
IT,Information & Technology,,
LEGAL,Legal,,
LIBRARY,Toronto Public Library,,
MAYOR,Mayor's Office,,
NONPROGRAM,Non Program,,
PARKING,Parking Authority,Parking Authority;#Toronto Parking Authority,
PARKINGTAGS,Parking Enforcement Unit,,
PARKS,Parks & Recreation,,
PLANNING,Urban Development Services,,
POLICE,Toronto Police Service,Toronto Police Service;#Toronto Police Services(excludes Board),
POLICEBOARD,Toronto Police Board,,
PUBLICHEALTH,Toronto Public Health,Toronto Public Health;#Public Health,
REGIONCONSERV,Toronto & Region Conservation Authority,,
SHELTERADMIN,"Shelter, Housing & Support",,
SOCIALDEV,Social Development & Administration,,
SOCIALSERV,Social Services,,
SOLIDWASTE,Solid Waste Management Services,,
SUPPORTSERV,WES - Support Services,,
TECH,WES - Technical Services,,
THEATRES,Theatres,,
TOURISM,Tourism,,
TRANSPORTATION,Transportation Services,,
TTCCONV,Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional;#Toronto Transit Commission – Conventional;#Toronto Transit Commission**,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,Toronto Transit Commission - Wheel Trans;#Toronto Transit Commission – Conventional,
WATER,Toronto Water,,
YONGEDUNDAS,Yonge/Dundas Square,Yonge/Dundas Square;#Yonge Dundas Square,
ZOO,Toronto Zoo,,
