_COLUMNS_,"Category:NAME,Category:CODE,Note:DESCRIPTION,Count:VALUE",,
Arena Boards of Management,ARENAS,,1
Assessment Growth/Shift,ASSESSMENT,,
Association of Community Centers,COMMCENTRES,,1
Auditor General,AUDITGEN,,1
C&I Tax Increase re Registered Charities Rebate,CHARITYREBATE,,
Capital & Corporate Financing,CORPFINANCING,,1
Chief Administrator's Office (CAO),CITYMANAGER,,1
Children's Services,CHILDSERV,,1
City Clerk's,CLERK,,1
Consolidated Grant Program,GRANTPROGRAM,,1
Corporate Communications,CORPCOMMS,,1
Council,COUNCIL,,1
Court Services,COURTSERV,,1
Culture,CULTURE,,1
Customer & Business Support,BIZSUPPORT,,1
Economic Development,ECONDEV,,1
Emergency Management Plan,EMERGPLAN,,1
Emergency Medical Services,EMERG,,1
Exhibition Place,EXHIBPLACE,,1
Facilities & Real Estate,FACILITIES,,1
Finance,FINANCE,,1
Fire Services,FIRE,,1
Fleet Services,FLEET,,1
Homes for the Aged,AGEDHOMES,,1
Human Resources,HUMANRESOURCES,,1
Information & Technology,IT,,1
Keele Valley Closure (KVC),KVC,,1
Legal,LEGAL,,1
Mayor's Office,MAYOR,,1
Non-Program Expenditures,CORPEXPENDITURES,,1
Non-Program Revenues,CORPREVENUES,,
Parking Authority,PARKING,,1
Parks & Recreation,PARKS,,1
Service Improvement & Innovation,INNOVATION,,1
"Shelter, Housing & Support",SHELTERADMIN,,1
Social Development & Administration,SOCIALDEV,,1
Social Services,SOCIALSERV,,1
Solid Waste Management Services,SOLIDWASTE,,1
Theatres,THEATRES,,1
Toronto & Region Conservation Authority,REGIONCONSERV,,1
Toronto Police Service & Board,TOTALPOLICE,,1
Toronto Public Health,PUBLICHEALTH,,1
Toronto Public Library,LIBRARY,,1
Toronto Transit Commission (Incl. Wheel Trans),TOTALTTC,,1
Toronto Zoo,ZOO,,1
Tourism,TOURISM,,1
Transportation Services,TRANSPORTATION,,1
Urban Development Services,PLANNING,,1
WES - Support Services,SUPPORTSERV,,1
WES - Technical Services,TECH,,1
Water & Waste Water,WATER,,1
World Youth Day,WORLDYOUTH,,1
Yonge/Dundas Square,YONGEDUNDAS,,1
