_META_START_,
SOURCE_DOCUMENT_LINK_ORIGINAL,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuT2dlc016ZWNmMWM
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuV1U5UktLdW1hUTg
SOURCE_DOCUMENT_TITLE,2015 CITY OF TORONTO BUDGET SUMMARY
SOURCE_DOCUMENT_TABLE_LOCATION,
SOURCE_DOCUMENT_TABLE_TITLE,CITY OF TORONTO 2015 COUNCIL APPROVED OPERATING BUDGET GROSS REVENUE
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuTE5JUk9vVEs2UFE
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik
YEAR,2015
VERSION,Summary
ASPECT,Revenues
NOTES_CONTENT,
NOTES_SEVERITY,
UNITS_NAME,Dollar
UNITS_CODE,DOLLAR
UNITS_MULTIPLIER,1000
TOTAL_AMOUNT,
INTAKE_DATETIME,
INTAKE_OPERATOR_ID,Henrik
COLUMNS_CATEGORIES,Program:NAME
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE"
_META_END_,
Affordable Housing Office,1569
Children's Services,375688
Court Services,54584
Economic Development & Culture,25744
Toronto Paramedic Services,123101
Long Term Care Homes & Services,195943
"Parks, Forestry & Recreation",129777
"Shelter, Support & Housing Administration",367046
"Social Development, Finance & Administration",16421
Toronto Employment & Social Services,961824
City Planning,27477
Fire Services,17000
Municipal Licensing & Standards,29819
"Policy, Planning, Finance & Administration",12352
Engineering & Construction Services,59294
Toronto Buildings,61200
Transportation Services,141565
Office of the Chief Financial Officer,6781
Office of the Treasurer,46910
"Facilities, Real Estate, Environment & Energy",123891
Fleet Services,52397
311 Toronto,8330
Information & Technology,49242
City Manager's Office,8139
Local Appeal Body,50
City Clerk's Office,17415
Legal Services,29261
Mayor's Office,0
City Council,130
Auditor General's Office,0
Integrity Commissioner's Office,0
Office of the Lobbyist Registrar,0
Office of the Ombudsman,0
Toronto Public Health,195329
Toronto Public Library,16516
Association of Community Centres,398
Exhibition Place,38431
Heritage Toronto,449
Theatres,17978
Toronto Zoo,38855
Arena Boards of Management,8407
Yonge-Dundas Square,1873
Toronto & Region Conservation Authority,36731
Toronto Transit Commission - Conventional,1220090
Toronto Transit Commission - Wheel Trans,6514
Toronto Police Service,196873
Toronto Police Services Board,750
Capital & Corporate Financing,28603
Non-Program Expenditures,165347
Non-Program Revenues,1112317
SUBWAY EXTENSION LEVY,6028411
Solid Waste Management Services,370785
Toronto Parking Authority,134229
Toronto Water,1080673
