Affordable Housing Office,2974
Children's Services,479538
Court Services,51959
Economic Development & Culture,79360
Toronto Paramedic Services,210484
Long-Term Care Homes & Services,256981
"Parks, Forestry & Recreation",453536
"Shelter, Support & Housing Administration",756060
"Social Development, Finance & Administration",49089
Toronto Employment & Social Services,1083234
City Planning,47185
Fire Services,439629
Municipal Licensing & Standards,52048
"Policy, Planning, Finance & Administration",21141
Engineering & Construction Services,72774
Toronto Building,56037
Transportation Services,396725
Office of the Chief Financial Officer,16852
Office of the Treasurer,72784
"Facilities, Real Estate, Environment & Energy",194646
Fleet Services,53907
311 Toronto,17624
Information & Technology,127737
City Manager's Office,54413
City Clerk's Office,49622
Legal Services,56930
Mayor's Office,2251
City Council,20435
Auditor General's Office,4902
Integrity Commissioner's Office,507
Office of the Lobbyist Registrar,1154
Office of the Ombudsman,1810
Toronto Public Health,242518
Toronto Public Library,198371
Association of Community Centres,8105
Exhibition Place,37282
Heritage Toronto,795
Theatres,28425
Toronto Zoo,52086
Arena Boards of Management,9013
Yonge-Dundas Square,2352
Toronto & Region Conservation Authority,43532
Toronto Transit Commission - Conventional,1802885
Toronto Transit Commission - Wheel Trans,151169
Toronto Police Service,1127817
Toronto Police Services Board,2809
Capital & Corporate Financing,841343
Non-Program Expenditures,667784
Non-Program Revenues,55548
Special Levy for Scarborough Subway,40699
Solid Waste Management Services,403562
Toronto Parking Authority,92637
Toronto Water,1231928
