_META_START_,
SOURCE_DOCUMENT_LINK_ORIGINAL,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0BzB3t6aSc9bDRlFad3VaU1RlZEk
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuRDNTajhMcnV6RTg
SOURCE_DOCUMENT_TITLE,2007 COUNCIL APPROVED OPERATING BUDGET SUMMARY BY CITY PROGRAM – Revenues
SOURCE_DOCUMENT_TABLE_LOCATION,
SOURCE_DOCUMENT_TABLE_TITLE,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuMGJEUWlLWVhmZ1E
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik
YEAR,2007
VERSION,Summary
ASPECT,Revenues
NOTES_CONTENT,
NOTES_SEVERITY,
UNITS_NAME,Dollar
UNITS_CODE,DOLLAR
UNITS_MULTIPLIER,1000
TOTAL_AMOUNT,
INTAKE_DATETIME,
INTAKE_OPERATOR_ID,Henrik
COLUMNS_CATEGORIES,Program:NAME
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE"
_META_END_,
3-1-1 Customer Service Strategy,2626.9
Affordable Housing Office,1767.8
Homes for the Aged,159668.3
Arena Boards of Management,5787.7
Auditor General’s Office,0
Clean and Beautiful City Secretariat,30
Toronto Building,51668.7
Office of the Chief Financial Officer,3578.1
Children’s Services,267713.7
City Manager’s Office,2453.8
City Clerk’s Office,12901.1
Association of Community Centres,161.8
Non-Program Expenditures,96995.4
Capital & Corporate Financing,8463
Non-Program Revenues,944691.9
City Council,0
Court Services,46226.7
Community Partnership and Investment Program,259
Pubic Information & Creative Services,143.1
"Economic Development, Culture & Tourism",9079.9
Emergency Medical Services,87607
Exhibition Place,53327.7
Facilities & Real Estate,68476.8
Fire Services,8666.2
Fleet Services,35821.4
Heritage Toronto,236.1
Information & Technology,8634.7
Legal Services,12241.7
Toronto Public Library,14635.6
Municipal Licensing & Standards,22621.7
Lobbyist Registrar,0
Mayor’s Office,0
Toronto Parking Authority,102234.1
"Parks, Forestry & Recreation",77308
City Planning,20466.6
Toronto Police Service,45220.1
Toronto Police Services Board,0
"Policy, Planning, Finance and Administration",1339.1
Toronto Public Health,160109.2
Toronto & Region Conservation Authority,33531.5
"Shelter, Support & Housing Administration",415918.8
"Social Development, Finance & Administration",12439.9
Social Services,777051.4
Solid Waste Management Services,54254.9
Technical Services,59389.9
Theatres,26272.6
Transportation Services,90089.6
Office of the Treasurer,34735.4
Toronto Transit Commission - Conventional,811112.3
Toronto Transit Commission - Wheel-Trans,3236.5
Toronto Water,648221.3
Waterfront Secretariat,236.2
Yonge-Dundas Square,583.2
Toronto Zoo,26918.9
