_META_START_,
SOURCE_DOCUMENT_LINK_ORIGINAL,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuQWNSNnFSVkUzVm8
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuTDRIWm1BVU9mT0k
SOURCE_DOCUMENT_TITLE,"Operating Variance Report for the Year Ended December 31, 2015"
SOURCE_DOCUMENT_TABLE_LOCATION,p.26
SOURCE_DOCUMENT_TABLE_TITLE,"Appendix D: CITY OF TORONTOCONSOLIDATED APPROVED COMPLEMENTFOR THE YEAR ENDED DECEMBER 31, 2015 "
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuNUlNRWxndGQ2UjA
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik
YEAR,2015
VERSION,Summary
ASPECT,Staffing
NOTES_CONTENT,
NOTES_SEVERITY,
UNITS_NAME,Full Time Equivalent
UNITS_CODE,FTE
UNITS_MULTIPLIER,1
TOTAL_AMOUNT,
INTAKE_DATETIME,
INTAKE_OPERATOR_ID,Henrik
COLUMNS_CATEGORIES,Program:NAME
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE"
_META_END_,
Affordable Housing Office ,19
Children's Services ,967.6
Court Services ,282
Economic Development & Culture ,300.6
Toronto Paramedic Services ,1394.3
Long Term Care Homes & Services ,2225.9
"Parks, Forestry & Recreation ",4440.1
"Shelter, Support & Housing Administration ",756.2
"Social Development, Finance & Administration ",130.5
Toronto Employment & Social Services ,2091
City Planning ,366
Fire Services ,3153.3
Municipal Licensing & Standards ,460
"Policy, Planning, Finance and Administration ",196.4
Engineering and Construction Services ,133
Toronto Buildings ,442
Transportation Services ,1025.1
Office of the Chief Financial Officer ,103
Office of the Treasurer ,691
"Facilities, Real Estate, Environment & Energy ",928.5
Fleet Services ,176
Information & Technology ,602
311 Toronto ,146
City Manager's Office ,426.5
City Clerk's Office ,403.9
Legal Services ,301.4
Mayor's Office ,20
City Council ,176
Auditor General's Office ,29.5
Integrity Commissioner's Office ,3
Lobbyist Registrar's Office ,8.3
Ombudsman's Office ,12
Toronto Public Health ,1841.8
Toronto Public Library ,1739.9
Association of Community Centres ,77.9
Exhibition Place ,390
Heritage Toronto ,7
Theatres ,163.1
Toronto Zoo ,402.5
Arena Boards of Management ,66.6
Yonge Dundas Square ,6.5
Toronto & Region Conservation Authority ,409.3
TTC - Conventional ,11691
TTC - WT ,562
Toronto Police Service ,7883
Toronto Police Services Board ,7
Parking Tag Enforcement & Oper. ,394
Solid Waste Management Services ,1081.7
Toronto Parking Authority ,299.4
Toronto Water ,1713.3
