_META_START_,
SOURCE_DOCUMENT_LINK_ORIGINAL,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuT2dlc016ZWNmMWM
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuV1U5UktLdW1hUTg
SOURCE_DOCUMENT_TITLE,2015 CITY OF TORONTO BUDGET SUMMARY
SOURCE_DOCUMENT_TABLE_LOCATION,"pdf p 120, document p. 118"
SOURCE_DOCUMENT_TABLE_TITLE,CITY OF TORONTO 2015 COUNCIL APPROVED OPERATING BUDGET GROSS EXPENDITURE
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuNk5tMVB2azJ3Q3M
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik
YEAR,2015
VERSION,Summary
ASPECT,Expenses
NOTES_CONTENT,
NOTES_SEVERITY,
UNITS_NAME,Dollar
UNITS_CODE,DOLLAR
UNITS_MULTIPLIER,1000
TOTAL_AMOUNT,
INTAKE_DATETIME,
INTAKE_OPERATOR_ID,Henrik
COLUMNS_CATEGORIES,Program:NAME
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE"
_META_END_,
Affordable Housing Office,2764
Children's Services,452405
Court Services,49527
Economic Development & Culture,79613
Toronto Paramedic Services,197807
Long Term Care Homes & Services,242101
"Parks, Forestry & Recreation",437897
"Shelter, Support & Housing Administration",650487
"Social Development, Finance & Administration",47391
Toronto Employment & Social Services,1113171
City Planning,43086
Fire Services,432927
Municipal Licensing & Standards,50895
"Policy, Planning, Finance & Administration",22109
Engineering & Construction Services,66848
Toronto Buildings,50339
Transportation Services,346840
Office of the Chief Financial Officer,16227
Office of the Treasurer,77283
"Facilities, Real Estate, Environment & Energy",189211
Fleet Services,50697
311 Toronto,18920
Information & Technology,119987
City Manager's Office,55061
Local Appeal Body,1050
City Clerk's Office,50178
Legal Services,49609
Mayor's Office,2297
City Council,20815
Auditor General's Office,4717
Integrity Commissioner's Office,428
Office of the Lobbyist Registrar,1124
Office of the Ombudsman,1755
Toronto Public Health,252298
Toronto Public Library,188646
Association of Community Centres,7872
Exhibition Place,38131
Heritage Toronto,761
Theatres,23126
Toronto Zoo,50563
Arena Boards of Management,8400
Yonge-Dundas Square,2266
Toronto & Region Conservation Authority,40187
Toronto Transit Commission - Conventional,1693820
Toronto Transit Commission - Wheel Trans,115313
Toronto Police Service,1149534
Toronto Police Services Board,3066
Capital & Corporate Financing,671729
Non-Program Expenditures,636327
Non-Program Revenues,49440
Special Levy for Scarborough Subway,24847
Solid Waste Management Services,370785
Toronto Parking Authority,81984
Toronto Water,1080673
