_META_START_,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuT0RQOThsMWYzRGs,,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuMjVtQmpUd0kyMlU,,,,
SOURCE_DOCUMENT_TITLE,CITY OF TORONTO 2016 COUNCIL APPROVED OPERATING BUDGET,,,,
SOURCE_DOCUMENT_TABLE_LOCATION,,,,,
SOURCE_DOCUMENT_TABLE_TITLE,,,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuSXQzOXEwTklfTGM,,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,,
YEAR,2017,,,,
VERSION,Summary,,,,
ASPECT,Expenses,,,,
NOTES_CONTENT,,,,,
NOTES_SEVERITY,,,,,
UNITS_NAME,Dollar,,,,
UNITS_CODE,DOLLAR,,,,
UNITS_MULTIPLIER,1000,,,,
TOTAL_AMOUNT,12321771,,,,
INTAKE_DATETIME,2017-05-03-15-05-49,,,,
INTAKE_OPERATOR_ID,Henrik,,,,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME",,,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE,Allocations:DESCRIPTION",,,,
_META_END_,,,,,
AFFHOUSING,Affordable Housing Office,3474,,,
ARENAS,Arena Boards of Management,9013,,,
AUDITGEN,Auditor General's Office,5902,,,
BUILDINGS,Toronto Building,56037,,,
CFO,Office of the Chief Financial Officer,16991,,,
CHILDSERV,Children's Services,483674,,,
CITYMANAGER,City Manager's Office,55531,,,
CLERK,City Clerk's Office,50588,,,
COMMCENTRES,Association of Community Centres,8105,,,
CORPEXPENDITURES,Non-Program Expenditures,654031,,,
CORPFINANCING,Capital & Corporate Financing,841343,,,
CORPREVENUES,Non-Program Revenues,110293,,,
COUNCIL,City Council,20627,,,
COURTSERV,Court Services,51959,,,
ECONDEV,Economic Development & Culture,81054,,,
ENGINEERING,Engineering & Construction Services,73247,,,
EXHIBPLACE,Exhibition Place,37282,,,
FACILITIES,"Facilities, Real Estate, Environment & Energy",194979,,,
FIRE,Fire Services,439826,,,
FLEET,Fleet Services,53907,,,
HERITAGE,Heritage Toronto,795,,,
INTEGRITYCOMM,Integrity Commissioner's Office,507,,,
IT,Information & Technology,127815,,,
LEGAL,Legal Services,57783,,,
LIBRARY,Toronto Public Library,199047,,,
LICENCING,Municipal Licensing & Standards,53122,,,
LOBBYREG,Office of the Lobbyist Registrar,1154,,,
LONGTERMHOME,Long-Term Care Homes & Services,256981,,,
MAYOR,Mayor's Office,2251,,,
OMBUDSMAN,Office of the Ombudsman,1810,,,
PARAMEDIC,Toronto Paramedic Services,210484,,,
PARKING,Toronto Parking Authority,92637,,,
PARKS,"Parks, Forestry & Recreation",457328,,,
PLANNING,City Planning,48075,,,
POLICE,Toronto Police Service,1127817,,,
POLICEBOARD,Toronto Police Services Board,2809,,,
POLICYADMIN,"Policy, Planning, Finance & Administration",23301,,,
PUBLICHEALTH,Toronto Public Health,245071,,,
REGIONCONSERV,Toronto & Region Conservation Authority,43532,,,
SHELTERADMIN,"Shelter, Support & Housing Administration",829583,,,
SOCIALDEV,"Social Development, Finance & Administration",49608,,,
SOCIALSERV,Toronto Employment & Social Services,1083234,,,
SOLIDWASTE,Solid Waste Management Services,398124,,,
THEATRES,Theatres,29058,,,
TRANSPORTATION,Transportation Services,399439,,,
TREASURER,Office of the Treasurer,73102,,,
TTCCONV,Toronto Transit Commission - Conventional,1804282,,,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,151169,,,
WATER,Toronto Water,1231928,,,
YONGEDUNDAS,Yonge-Dundas Square,2352,,,
ZOO,Toronto Zoo,52086,,,
311SERVICE,311 Toronto,17624,,,
