_META_START_,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0BzB3t6aSc9bDQmxQQW9BdDN5aTg,,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuRDNTajhMcnV6RTg,,,,
SOURCE_DOCUMENT_TITLE,2013 COUNCIL APPROVED OPERATING BUDGET – Revenue,,,,
SOURCE_DOCUMENT_TABLE_LOCATION,,,,,
SOURCE_DOCUMENT_TABLE_TITLE,,,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuUG80TUJ4UmIyQ2M,,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,,
YEAR,2013,,,,
VERSION,Summary,,,,
ASPECT,Revenues,,,,
NOTES_CONTENT,,,,,
NOTES_SEVERITY,,,,,
UNITS_NAME,Dollar,,,,
UNITS_CODE,DOLLAR,,,,
UNITS_MULTIPLIER,1000,,,,
TOTAL_AMOUNT,7144716.300000001,,,,
INTAKE_DATETIME,2016-09-16-15-42-52,,,,
INTAKE_OPERATOR_ID,Henrik,,,,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME",,,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE,Allocations:DESCRIPTION",,,,
_META_END_,,,,,
AFFHOUSING,Affordable Housing Office,1473.4,,,
ARENAS,Arena Boards of Management,7209.3,,,
AUDITGEN,Auditor General's Office,,,,
BUILDINGS,Toronto Building,58121.9,,,
CFO,Office of the Chief Financial Officer,8639.6,,,"Original amount was 6699.5, plus:
Allocation from: ENV,Toronto Environment Office,1940.1, (org chart)"
CHILDSERV,Children's Services,324958.4,,,
CITYMANAGER,City Manager's Office,8845.5,,,
CLERK,City Clerk's Office,15866.1,,,
COMMCENTRES,Association of Community Centres,272.2,,,
CORPEXPENDITURES,Non-Program Expenditures,159781,,,
CORPFINANCING,Capital & Corporate Financing,37721.7,,,
CORPREVENUES,Non-Program Revenues,968229.5,,,
COUNCIL,City Council,30,,,
COURTSERV,Court Services,68695.5,,,
ECONDEV,Economic Development & Culture,11872,,,
ENGINEERING,Engineering & Construction Services,63360.1,,,"Original amount was null, plus:
Allocation from: TECH,Technical Services,63360.1, (toronto.ca)"
EXHIBPLACE,Exhibition Place,43750.7,,,
FACILITIES,"Facilities, Real Estate, Environment & Energy",119111.3,,,
FIRE,Fire Services,14323.6,,,
FLEET,Fleet Services,46340.5,,,
HERITAGE,Heritage Toronto,428.3,,,
INTEGRITYCOMM,Integrity Commissioner's Office,,,,
IT,Information & Technology,38360.9,,,
LEGAL,Legal Services,25934.1,,,
LIBRARY,Toronto Public Library,15434.3,,,
LICENCING,Municipal Licensing & Standards,28465.3,,,
LOBBYREG,Office of the Lobbyist Registrar,,,,
LONGTERMHOME,Long Term Care Homes & Services,181070.3,,,
MAYOR,Mayor's Office,,,,
OMBUDSMAN,Office of the Ombudsman,,,,
PARAMEDIC,Toronto Paramedic Services,111157.1,,,"Original amount was null, plus:
Allocation from: EMERG,Emergency Medical Services,111157.1, (logical)"
PARKING,Toronto Parking Authority,135398,"http://www1.toronto.ca/City%20Of%20Toronto/Strategic%20Communications/City%20Budget/2013/Operating%20Budget%20Summaries/op13_an_tpa.pdf
https://drive.google.com/open?id=0BzB3t6aSc9bDeDBWU3FOcTVIWFk",,
PARKS,"Parks, Forestry & Recreation",119973.2,,,
PLANNING,City Planning,24973.6,,,
POLICE,Toronto Police Service,91135.6,,,
POLICEBOARD,Toronto Police Services Board,500,,,
POLICYADMIN,"Policy, Planning, Finance & Administration",11389.9,,,
PUBLICHEALTH,Toronto Public Health,190466,,,
REGIONCONSERV,Toronto & Region Conservation Authority,35112.5,,,
SHELTERADMIN,"Shelter, Support & Housing Administration",450497.3,,,
SOCIALDEV,"Social Development, Finance & Administration",5296.7,,,
SOCIALSERV,Toronto Employment & Social Services,1055775.9,,,
SOLIDWASTE,Solid Waste Management Services,348747.9,http://www1.toronto.ca/City%20Of%20Toronto/Strategic%20Communications/City%20Budget/2013/Operating%20Budget%20Summaries/op13_an_swms.pdf https://drive.google.com/open?id=0BzB3t6aSc9bDeEtDd3daRDVmdDg,,
THEATRES,Theatres,19280,,,
TRANSPORTATION,Transportation Services,124485.8,,,
TREASURER,Office of the Treasurer,43425.7,,,
TTCCONV,Toronto Transit Commission - Conventional,1129997.4,,,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,5546.2,,,
WATER,Toronto Water,940797.1,http://www1.toronto.ca/City%20Of%20Toronto/Strategic%20Communications/City%20Budget/2013/Operating%20Budget%20Summaries/op13_an_water.pdf https://drive.google.com/open?id=0BzB3t6aSc9bDY0VmTm5adDlGbU0,,
YONGEDUNDAS,Yonge-Dundas Square,1632.7,,,
ZOO,Toronto Zoo,42454.6,,,
311SERVICE,311 Toronto,8377.6,,,
