_META_START_,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0BzB3t6aSc9bDVk45OS1xSXNxc2c,,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OubHdZVEpCZmdfNlE,,,,
SOURCE_DOCUMENT_TITLE,2015 OPERATING BUDGET - GROSS EXPENDITURES - STAFF RECOMMENDED,,,,
SOURCE_DOCUMENT_TABLE_LOCATION,,,,,
SOURCE_DOCUMENT_TABLE_TITLE,,,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuSEYyNE9wdnY4eUU,,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,,
YEAR,2015,,,,
VERSION,Summary,,,,
ASPECT,Expenses,,,,
NOTES_CONTENT,,,,,
NOTES_SEVERITY,,,,,
UNITS_NAME,Dollar,,,,
UNITS_CODE,DOLLAR,,,,
UNITS_MULTIPLIER,1000,,,,
TOTAL_AMOUNT,11470464,,,,
INTAKE_DATETIME,2016-09-16-15-42-52,,,,
INTAKE_OPERATOR_ID,Henrik,,,,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME",,,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE,Allocations:DESCRIPTION",,,,
_META_END_,,,,,
AFFHOUSING,Affordable Housing Office,2764,,,
ARENAS,Arena Boards of Management,8400,,,
AUDITGEN,Auditor General's Office,4701,,,
BUILDINGS,Toronto Building,50256,,,
CFO,Office of the Chief Financial Officer,16227,,,
CHILDSERV,Children's Services,424494,,,
CITYMANAGER,City Manager's Office,55061,,,
CLERK,City Clerk's Office,50178,,,
COMMCENTRES,Association of Community Centres,7872,,,
CORPEXPENDITURES,Non-Program Expenditures,643542,,,
CORPFINANCING,Capital & Corporate Financing,732229,,,
CORPREVENUES,Non-Program Revenues,49440,,,
COUNCIL,City Council,20815,,,
COURTSERV,Court Services,50577,,,"Original amount was 49527, plus:
Allocation from: LOCALAPPEAL,Local Appeal Body,1050 (admin doc)"
ECONDEV,Economic Development & Culture,79113,,,
ENGINEERING,Engineering & Construction Services,66898,,,
EXHIBPLACE,Exhibition Place,38131,,,
FACILITIES,"Facilities, Real Estate, Environment & Energy",189211,,,
FIRE,Fire Services,433227,,,
FLEET,Fleet Services,52397,,,
HERITAGE,Heritage Toronto,761,,,
INTEGRITYCOMM,Integrity Commissioner's Office,637,,,
IT,Information & Technology,119987,,,
LEGAL,Legal Services,49449,,,
LIBRARY,Toronto Public Library,187890,,,
LICENCING,Municipal Licensing & Standards,50895,,,
LOBBYREG,Office of the Lobbyist Registrar,1124,,,
LONGTERMHOME,Long Term Care Homes & Services,242101,,,
MAYOR,Mayor's Office,2297,,,
OMBUDSMAN,Office of the Ombudsman,2110,,,
PARAMEDIC,Toronto Paramedic Services,197807,,,
PARKING,Toronto Parking Authority,81984,,,
PARKS,"Parks, Forestry & Recreation",436604,,,
PLANNING,City Planning,43086,,,
POLICE,Toronto Police Service,1153634,,,
POLICEBOARD,Toronto Police Services Board,3066,,,
POLICYADMIN,"Policy, Planning, Finance & Administration",22097,,,
PUBLICHEALTH,Toronto Public Health,251182,,,
REGIONCONSERV,Toronto & Region Conservation Authority,40187,,,
SHELTERADMIN,"Shelter, Support & Housing Administration",650912,,,
SOCIALDEV,"Social Development, Finance & Administration",46707,,,
SOCIALSERV,Toronto Employment & Social Services,1125028,,,
SOLIDWASTE,Solid Waste Management Services,370784,,,
THEATRES,Theatres,23126,,,
TRANSPORTATION,Transportation Services,347138,,,
TREASURER,Office of the Treasurer,77283,,,
TTCCONV,Toronto Transit Commission - Conventional,1699020,,,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,115313,,,
WATER,Toronto Water,1080673,,,
YONGEDUNDAS,Yonge-Dundas Square,2266,,,
ZOO,Toronto Zoo,50563,,,
311SERVICE,311 Toronto,19220,,,
