_META_START_,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0BzB3t6aSc9bDZmdsN3ZpYUItNnM,,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuRDNTajhMcnV6RTg,,,,
SOURCE_DOCUMENT_TITLE,2015 COUNCIL APPROVED OPERATING BUDGET – GROSS REVENUE,,,,
SOURCE_DOCUMENT_TABLE_LOCATION,,,,,
SOURCE_DOCUMENT_TABLE_TITLE,,,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuMklXOC02MjZfLTQ,,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,,
YEAR,2015,,,,
VERSION,Summary,,,,
ASPECT,Revenues,,,,
NOTES_CONTENT,,,,,
NOTES_SEVERITY,,,,,
UNITS_NAME,Dollar,,,,
UNITS_CODE,DOLLAR,,,,
UNITS_MULTIPLIER,1000,,,,
TOTAL_AMOUNT,7614098,,,,
INTAKE_DATETIME,2016-09-16-15-42-52,,,,
INTAKE_OPERATOR_ID,Henrik,,,,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME",,,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE,Allocations:DESCRIPTION",,,,
_META_END_,,,,,
AFFHOUSING,Affordable Housing Office,1569,,,
ARENAS,Arena Boards of Management,8407,,,
AUDITGEN,Auditor General's Office,,,,
BUILDINGS,Toronto Building,61200,,,
CFO,Office of the Chief Financial Officer,6781,,,
CHILDSERV,Children's Services,375688,,,
CITYMANAGER,City Manager's Office,8139,,,
CLERK,City Clerk's Office,17415,,,
COMMCENTRES,Association of Community Centres,398,,,
CORPEXPENDITURES,Non-Program Expenditures,165347,,,
CORPFINANCING,Capital & Corporate Financing,28603,,,
CORPREVENUES,Non-Program Revenues,1112317,,,
COUNCIL,City Council,130,,,
COURTSERV,Court Services,54634,,,"Original amount was 54584, plus:
Allocation from: LOCALAPPEAL,Local Appeal Body,50 (admin doc)"
ECONDEV,Economic Development & Culture,25744,,,
ENGINEERING,Engineering & Construction Services,59294,,,
EXHIBPLACE,Exhibition Place,38431,,,
FACILITIES,"Facilities, Real Estate, Environment & Energy",123891,,,
FIRE,Fire Services,17000,,,
FLEET,Fleet Services,52397,,,
HERITAGE,Heritage Toronto,449,,,
INTEGRITYCOMM,Integrity Commissioner's Office,,,,
IT,Information & Technology,49242,,,
LEGAL,Legal Services,29261,,,
LIBRARY,Toronto Public Library,16516,,,
LICENCING,Municipal Licensing & Standards,29819,,,
LOBBYREG,Office of the Lobbyist Registrar,,,,
LONGTERMHOME,Long Term Care Homes & Services,195943,,,
MAYOR,Mayor's Office,,,,
OMBUDSMAN,Office of the Ombudsman,,,,
PARAMEDIC,Toronto Paramedic Services,123101,,,
PARKING,Toronto Parking Authority,134229,,,
PARKS,"Parks, Forestry & Recreation",129777,,,
PLANNING,City Planning,27477,,,
POLICE,Toronto Police Service,196873,,,
POLICEBOARD,Toronto Police Services Board,750,,,
POLICYADMIN,"Policy, Planning, Finance & Administration",12352,,,
PUBLICHEALTH,Toronto Public Health,195329,,,
REGIONCONSERV,Toronto & Region Conservation Authority,36731,,,
SHELTERADMIN,"Shelter, Support & Housing Administration",367046,,,
SOCIALDEV,"Social Development, Finance & Administration",16421,,,
SOCIALSERV,Toronto Employment & Social Services,961824,,,
SOLIDWASTE,Solid Waste Management Services,370785,,,
THEATRES,Theatres,17978,,,
TRANSPORTATION,Transportation Services,141565,,,
TREASURER,Office of the Treasurer,46910,,,
TTCCONV,Toronto Transit Commission - Conventional,1220090,,,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,6514,,,
WATER,Toronto Water,1080673,,,
YONGEDUNDAS,Yonge-Dundas Square,1873,,,
ZOO,Toronto Zoo,38855,,,
311SERVICE,311 Toronto,8330,,,
