_META_START_,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OucVZPSlozZ3h4bDQ,,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuTDRIWm1BVU9mT0k,,,,
SOURCE_DOCUMENT_TITLE,2008 BUDGET BRIEFING NOTE 2008 Executive Committee Recommended Approved Positions,,,,
SOURCE_DOCUMENT_TABLE_LOCATION,p. 9,,,,
SOURCE_DOCUMENT_TABLE_TITLE,CITY OF TORONTO 2008 EXECUTIVE COMMITTEE RECOMMENDED OPERATING BUDGET APPROVED POSITIONS - OPERATING,,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuTnc1eUZHWks0RE0,,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,,
YEAR,2008,,,,
VERSION,Summary,,,,
ASPECT,Staffing,,,,
NOTES_CONTENT,,,,,
NOTES_SEVERITY,,,,,
UNITS_NAME,Full Time Equivalent,,,,
UNITS_CODE,FTE,,,,
UNITS_MULTIPLIER,1,,,,
TOTAL_AMOUNT,48736.700000000004,,,,
INTAKE_DATETIME,2016-10-29-22-25-48,,,,
INTAKE_OPERATOR_ID,Henrik,,,,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME",,,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE,Allocations:DESCRIPTION",,,,
_META_END_,,,,,
AFFHOUSING,Affordable Housing Office,24,,,
ARENAS,Arena Boards of Management,63.5,,,
ATMOSPHERE,Toronto Atmospheric Fund,4,,,
AUDITGEN,Auditor General's Office,29,,,
BUILDINGS,Toronto Building,407.5,,,
CFO,Office of the Chief Financial Officer,124,,,
CHILDSERV,Children's Services,956.5,,,
CITYMANAGER,City Manager's Office,471,,,
CLERK,City Clerk's Office,374.5,,,
COMMCENTRES,Association of Community Centres,91.2,,,
COUNCIL,City Council,181,,,
COURTSERV,Court Services,230,,,
ECONDEV,Economic Development & Culture,269.8,,,
ENGINEERING,Engineering & Construction Services,165.7,,,
EXHIBPLACE,Exhibition Place,519.5,,,
FACILITIES,"Facilities, Real Estate, Environment & Energy",740.5,,,
FIRE,Fire Services,3144,,,
FLEET,Fleet Services,205,,,
HERITAGE,Heritage Toronto,6,,,
IT,Information & Technology,384,,,
LEGAL,Legal Services,260,,,
LIBRARY,Toronto Public Library,1826.2,,,
LICENCING,Municipal Licensing & Standards,369,,,
LOBBYREG,Office of the Lobbyist Registrar,5,,,
LONGTERMHOME,Long Term Care Homes & Services,2167.4,,,
MAYOR,Mayor's Office,23,,,
OMBUDSMAN,Office of the Ombudsman,3,,,
PARAMEDIC,Toronto Paramedic Services,1204,,,
PARKING,Toronto Parking Authority,299,,,
PARKINGTAGS,Parking Tag Enforcement & Operations,395,,,
PARKS,"Parks, Forestry & Recreation",4148.6,,,
PLANNING,City Planning,359.5,,,
POLICE,Toronto Police Service,7710,,,
POLICYADMIN,"Policy, Planning, Finance & Administration",442.2,,,
PUBLICHEALTH,Toronto Public Health,1937.2,,,
SHELTERADMIN,"Shelter, Support & Housing Administration",695.5,,,
SOCIALDEV,"Social Development, Finance & Administration",214.8,,,
SOCIALSERV,Toronto Employment & Social Services,1982,,,
SOLIDWASTE,Solid Waste Management Services,1291.6,,,
THEATRES,Theatres,177,,,
TRANSPORTATION,Transportation Services,1302.2,,,
TREASURER,Office of the Treasurer,771,,,
TTCCONV,Toronto Transit Commission - Conventional,10716,,,
WATER,Toronto Water,1678.5,,,
YONGEDUNDAS,Yonge-Dundas Square,4,,,
ZOO,Toronto Zoo,358.3,,,
311SERVICE,311 Toronto,6,,,
