_META_START_,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuT2dlc016ZWNmMWM,,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuV1U5UktLdW1hUTg,,,,
SOURCE_DOCUMENT_TITLE,2015 CITY OF TORONTO BUDGET SUMMARY,,,,
SOURCE_DOCUMENT_TABLE_LOCATION,"pdf p 120, document p. 118",,,,
SOURCE_DOCUMENT_TABLE_TITLE,CITY OF TORONTO 2015 COUNCIL APPROVED OPERATING BUDGET GROSS EXPENDITURE,,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuNk5tMVB2azJ3Q3M,,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,,
YEAR,2015,,,,
VERSION,Summary,,,,
ASPECT,Expenses,,,,
NOTES_CONTENT,,,,,
NOTES_SEVERITY,,,,,
UNITS_NAME,Dollar,,,,
UNITS_CODE,DOLLAR,,,,
UNITS_MULTIPLIER,1000,,,,
TOTAL_AMOUNT,11435334,,,,
INTAKE_DATETIME,2016-10-29-22-25-49,,,,
INTAKE_OPERATOR_ID,Henrik,,,,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME",,,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE,Allocations:DESCRIPTION",,,,
_META_END_,,,,,
AFFHOUSING,Affordable Housing Office,2764,,,
ARENAS,Arena Boards of Management,8400,,,
AUDITGEN,Auditor General's Office,4717,,,
BUILDINGS,Toronto Building,50339,,,
CFO,Office of the Chief Financial Officer,16227,,,
CHILDSERV,Children's Services,452405,,,
CITYMANAGER,City Manager's Office,55061,,,
CLERK,City Clerk's Office,50178,,,
COMMCENTRES,Association of Community Centres,7872,,,
CORPEXPENDITURES,Non-Program Expenditures,636327,,,
CORPFINANCING,Capital & Corporate Financing,671729,,,
CORPREVENUES,Non-Program Revenues,74287,,,
COUNCIL,City Council,20815,,,
COURTSERV,Court Services,50577,,,
ECONDEV,Economic Development & Culture,79613,,,
ENGINEERING,Engineering & Construction Services,66848,,,
EXHIBPLACE,Exhibition Place,38131,,,
FACILITIES,"Facilities, Real Estate, Environment & Energy",189211,,,
FIRE,Fire Services,432927,,,
FLEET,Fleet Services,50697,,,
HERITAGE,Heritage Toronto,761,,,
INTEGRITYCOMM,Integrity Commissioner's Office,428,,,
IT,Information & Technology,119987,,,
LEGAL,Legal Services,49609,,,
LIBRARY,Toronto Public Library,188646,,,
LICENCING,Municipal Licensing & Standards,50895,,,
LOBBYREG,Office of the Lobbyist Registrar,1124,,,
LONGTERMHOME,Long Term Care Homes & Services,242101,,,
MAYOR,Mayor's Office,2297,,,
OMBUDSMAN,Office of the Ombudsman,1755,,,
PARAMEDIC,Toronto Paramedic Services,197807,,,
PARKING,Toronto Parking Authority,81984,,,
PARKS,"Parks, Forestry & Recreation",437897,,,
PLANNING,City Planning,43086,,,
POLICE,Toronto Police Service,1149534,,,
POLICEBOARD,Toronto Police Services Board,3066,,,
POLICYADMIN,"Policy, Planning, Finance & Administration",22109,,,
PUBLICHEALTH,Toronto Public Health,252298,,,
REGIONCONSERV,Toronto & Region Conservation Authority,40187,,,
SHELTERADMIN,"Shelter, Support & Housing Administration",650487,,,
SOCIALDEV,"Social Development, Finance & Administration",47391,,,
SOCIALSERV,Toronto Employment & Social Services,1113171,,,
SOLIDWASTE,Solid Waste Management Services,370785,,,
THEATRES,Theatres,23126,,,
TRANSPORTATION,Transportation Services,346840,,,
TREASURER,Office of the Treasurer,77283,,,
TTCCONV,Toronto Transit Commission - Conventional,1693820,,,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,115313,,,
WATER,Toronto Water,1080673,,,
YONGEDUNDAS,Yonge-Dundas Square,2266,,,
ZOO,Toronto Zoo,50563,,,
311SERVICE,311 Toronto,18920,,,
