_META_START_,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuY2t5c1JTby1Oc0k,,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuTDRIWm1BVU9mT0k,,,,
SOURCE_DOCUMENT_TITLE,2011 Budget Committee Recommended Tax Supported Operating Budget,,,,
SOURCE_DOCUMENT_TABLE_LOCATION,p. 31,,,,
SOURCE_DOCUMENT_TABLE_TITLE,CITY OF TORONTO 2011 BUDGET COMMITTEE RECOMMENDED OPERATING BUDGET APPROVED OPERATING POSITIONS,,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuRnl6OW1ONWdOTHM,,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,,
YEAR,2011,,,,
VERSION,Summary,,,,
ASPECT,Staffing,,,,
NOTES_CONTENT,,,,,
NOTES_SEVERITY,,,,,
UNITS_NAME,Full Time Equivalent,,,,
UNITS_CODE,FTE,,,,
UNITS_MULTIPLIER,1,,,,
TOTAL_AMOUNT,50314.299999999996,,,,
INTAKE_DATETIME,2016-10-14-14-16-42,,,,
INTAKE_OPERATOR_ID,Henrik,,,,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME",,,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE,Allocations:DESCRIPTION",,,,
_META_END_,,,,,
AFFHOUSING,Affordable Housing Office,22,,,
ARENAS,Arena Boards of Management,65.5,,,
AUDITGEN,Auditor General's Office,29,,,
BUILDINGS,Toronto Building,427,,,
CFO,Office of the Chief Financial Officer,140.6,,,"Original amount was null, plus:
Allocation from: ENV,Toronto Environment Office,26.6 (org chart)
Allocation from: ATMOSPHERE,Toronto Atmospheric Fund,7 (Org chart environment)"
CHILDSERV,Children's Services,948.5,,,
CITYMANAGER,City Manager's Office,388,,,"Original amount was null, plus:
Allocation from: WATERFRONT,Waterfront Secretariat,7 (org chart)"
CLERK,City Clerk's Office,427.5,,,
COMMCENTRES,Association of Community Centres,91.2,,,
COUNCIL,City Council,176,,,
COURTSERV,Court Services,290,,,
ECONDEV,Economic Development & Culture,275.8,,,
ENGINEERING,Engineering & Construction Services,164.7,,,"Original amount was null, plus:
Allocation from: TECH,Technical Services,164.7 (toronto.ca)"
EXHIBPLACE,Exhibition Place,529.5,,,
FACILITIES,"Facilities, Real Estate, Environment & Energy",819.5,,,
FIRE,Fire Services,3185.3,,,
FLEET,Fleet Services,192,,,
HERITAGE,Heritage Toronto,6,,,
INTEGRITYCOMM,Integrity Commissioner's Office,1.5,,,
IT,Information & Technology,525,,,
LEGAL,Legal Services,280,,,
LIBRARY,Toronto Public Library,1824.9,,,
LICENCING,Municipal Licensing & Standards,487.6,,,
LOBBYREG,Office of the Lobbyist Registrar,8.3,,,
LONGTERMHOME,Long Term Care Homes & Services,2188.3,,,
MAYOR,Mayor's Office,17,,,
OMBUDSMAN,Office of the Ombudsman,10,,,
PARAMEDIC,Toronto Paramedic Services,1218,,,"Original amount was null, plus:
Allocation from: EMERG,Emergency Medical Services,1218 (logical)"
PARKING,Toronto Parking Authority,298.7,,,
PARKINGTAGS,Parking Tag Enforcement & Operations,395,,,
PARKS,"Parks, Forestry & Recreation",4280.6,,,
PLANNING,City Planning,335,,,
POLICE,Toronto Police Service,7888,,,
POLICYADMIN,"Policy, Planning, Finance & Administration",234.1,,,
PUBLICHEALTH,Toronto Public Health,1886.6,,,
SHELTERADMIN,"Shelter, Support & Housing Administration",748.7,,,
SOCIALDEV,"Social Development, Finance & Administration",172.9,,,
SOCIALSERV,Toronto Employment & Social Services,2286,,,
SOLIDWASTE,Solid Waste Management Services,1327.7,,,
THEATRES,Theatres,211,,,
TRANSPORTATION,Transportation Services,1266,,,
TREASURER,Office of the Treasurer,753,,,
TTCCONV,Toronto Transit Commission - Conventional,10706,,,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,532,,,
WATER,Toronto Water,1702.3,,,
YONGEDUNDAS,Yonge-Dundas Square,5,,,
ZOO,Toronto Zoo,388,,,
311SERVICE,311 Toronto,159,,,
