_META_START_,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0BzB3t6aSc9bDbTczN1ZrMmVhczg,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuRDNTajhMcnV6RTg,
SOURCE_DOCUMENT_TITLE,2006 Operating budget summary by program,
SOURCE_DOCUMENT_TABLE_LOCATION,,
SOURCE_DOCUMENT_TABLE_TITLE,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OubHdKNDJnUmpmMWM,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,
YEAR,2006,
VERSION,Summary,
ASPECT,Revenues,
NOTES_CONTENT,,
NOTES_SEVERITY,,
UNITS_NAME,Dollar,
UNITS_CODE,DOLLAR,
UNITS_MULTIPLIER,1000,
TOTAL_AMOUNT,5251540,
INTAKE_DATETIME,2016-10-29-22-25-48,
INTAKE_OPERATOR_ID,Henrik,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME",
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",
_META_END_,,
311SERVICE,3-1-1 Project Management Office,226.2
AFFHOUSING,Affordable Housing Office,1600
AGEDHOMES,Homes for the Aged,153353.3
ARENAS,Arena Boards of Management,5554.3
ASSESSMENT,Assessment Growth 2006,59761.3
AUDITGEN,Auditor General’s Office,0
BEAUTY,Clean and Beautiful City Secretariat,0
BIZSUPPORT,Business Support Services,1100.1
BUILDINGS,Building Services,50822.7
CFO,Office of the DCM and Chief Financial Officer,3446.8
CHILDSERV,Children’s Services,347022
CITYMANAGER,City Manager’s Office,531.5
CLERK,City Clerk’s Office,18050.9
COMMCENTRES,Association of Community Centers,159.4
CORPCOMMS,Corporate Communications,246.1
CORPEXPENDITURES,Non-Program Expenditures,103474.6
CORPFINANCING,Capital & Corporate Financing,4931
CORPREVENUES,Non-Program Revenues,841648.7
COUNCIL,Council,0
COURTSERV,Court Services,41959.3
COMMPARTNERREV,Community Partnership and Investment Program revenue,7621.5
CULTURE,Culture,5251.7
ECONDEV,Economic Development,2018.9
EMERG,Emergency Medical Services,82021.4
EXHIBPLACE,Exhibition Place,47176.7
FACILITIES,Facilities & Real Estate,64585.4
FIRE,Fire Services,11130.1
FLEET,Fleet Services,34697.5
HERITAGE,Heritage Toronto,331.1
HUMANRESOURCES,Human Resources,1834.8
IT,Information & Technology,8585.9
LEGAL,Legal Services,10261.4
LIBRARY,Toronto Public Library,13637.6
LICENCING,Municipal Licensing & Standards,24280.8
MAYOR,Office of the Mayor,0
PARKING,Toronto Parking Authority,95184.5
PARKS,"Parks, Forestry & Recreation",71957.2
PLANNING,City Planning,18743.5
POLICE,Toronto Police Service,44531.7
POLICEBOARD,Toronto Police Services Board,0
PUBLICHEALTH,Toronto Public Health,146646.3
REGIONCONSERV,Toronto & Region Conservation Authority,30969.5
SHELTERADMIN,Shelter Support & Housing Administration,422259.4
SOCIALDEV,Social Development Finance & Administration,11533.5
SOCIALSERV,Social Services,759045.5
SOLIDWASTE,Solid Waste Management Services,55235.9
SUPPORTSERV,WES - Support Services,0
TECH,Technical Services,55688.8
THEATRES,Theatres,26931.2
TOURISM,Tourism,3741.9
TRANSPORTATION,Transportation Services,97871.7
TREASURER,Office of the Treasurer,32290
TTCCONV,Toronto Transit Commission - Conventional,791685.4
TTCWHEEL,Toronto Transit Commission - Wheel-Trans,3040.8
WATER,Toronto Water,610450.7
WATERFRONT,Waterfront Secretariat,166.7
YONGEDUNDAS,Yonge/Dundas Square,489.8
ZOO,Toronto Zoo,25753
