_META_START_,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuZ0R6NTc3QWkxX0U,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuTDRIWm1BVU9mT0k,
SOURCE_DOCUMENT_TITLE,2009 BUDGET BRIEFING NOTE 2009 Staff Recommended Approved Positions,
SOURCE_DOCUMENT_TABLE_LOCATION,p. 21,
SOURCE_DOCUMENT_TABLE_TITLE,CITY OF TORONTO 2009 STAFF RECOMMENDED OPERATING BUDGET APPROVED OPERATING POSITIONS,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuaHJRbjhGUlpac0U,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,
YEAR,2009,
VERSION,Summary,
ASPECT,Staffing,
NOTES_CONTENT,,
NOTES_SEVERITY,,
UNITS_NAME,Full Time Equivalent,
UNITS_CODE,FTE,
UNITS_MULTIPLIER,1,
TOTAL_AMOUNT,50015.6,
INTAKE_DATETIME,2016-10-29-22-25-49,
INTAKE_OPERATOR_ID,Henrik,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME",
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",
_META_END_,,
AFFHOUSING,Affordable Housing Office,23
CHILDSERV,Children's Services,958.5
COURTSERV,Court Services,293
ECONDEV,"Economic Development, Culture & Tourism",276.2
EMERG,Emergency Medical Services,1213
LONGTERMHOME,Long Term Care Homes & Services,2218.3
PARKS,"Parks, Forestry & Recreation",4213.3
SHELTERADMIN,"Shelter, Housing & Support Administration",743.9
SOCIALDEV,"Social Development, Finance & Administration",202.8
SOCIALSERV,Toronto Employment &Social Services,2148
311SERVICE,311 Customer Service Strategy,152
PLANNING,City Planning,362.5
FIRE,Fire Services,3145.5
LICENCING,Municipal Licensing and Standards,497.6
POLICYADMIN,"Policy, Planning, Finance & Administration",400.2
TECH,Technical Services,161.4
BUILDINGS,Toronto Building,417.5
ENV,Toronto Environment Office,27.6
TRANSPORTATION,Transportation Services,1350.2
WATERFRONT,Waterfront Secretariat,6
CFO,Office of the Chief Financial Officer,127
TREASURER,Office of the Treasurer,787
FACILITIES,Facilities & Real Estate,813
FLEET,Fleet Services,208
IT,Information & Technology,366
CITYMANAGER,City Manager's Office,408
CLERK,City Clerk's Office,440.9
LEGAL,Legal Services,276
MAYOR,Mayor's Office,23
COUNCIL,City Council,176
COMMCENTRES,Auditor General's Office,29
LOBBYREG,Office of the Lobbyist Registrar,8.3
INTEGRITYCOMM,Office of the Integrity Commissioner,0.5
OMBUDSMAN,Office of the Ombudsperson,7
PUBLICHEALTH,Toronto Public Health,1863.3
LIBRARY,Toronto Public Library,1832.6
COMMCENTRES,Association of Community Centres,91.2
EXHIBPLACE,Exhibition Place,529.5
HERITAGE,Heritage Toronto,6
THEATRES,Theatres,148.6
ZOO,Toronto Zoo,373.8
ARENAS,Arena Boards of Management,65.5
YONGEDUNDAS,Yonge-Dundas Square,5
PARKINGTAGS,Parking Tag Enforcement & Operations,395
ATMOSPHERE,Toronto Atmospheric Fund,6
TTCCONV,Toronto Transit Commission (includes Wheel Trans),11049
POLICE,Toronto Police Service (excludes Board),7792
SOLIDWASTE,Solid Waste Management Services,1354.8
WATER,Toronto Water,1723.5
PARKING,Toronto Parking Authority,299.6
