_META_START_,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0BzB3t6aSc9bDcTdNeC1rUGNEN28,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuRDNTajhMcnV6RTg,,
SOURCE_DOCUMENT_TITLE,Adjusted 2004 Council Approved Operating Budget – Revenues,,
SOURCE_DOCUMENT_TABLE_LOCATION,,,
SOURCE_DOCUMENT_TABLE_TITLE,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuSGlDaVFGVEpwdjg,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,
YEAR,2004,,
VERSION,Summary,,
ASPECT,Revenues,,
NOTES_CONTENT,,,
NOTES_SEVERITY,,,
UNITS_NAME,Dollar,,
UNITS_CODE,DOLLAR,,
UNITS_MULTIPLIER,1000,,
TOTAL_AMOUNT,4380763.699999999,,
INTAKE_DATETIME,2016-10-29-22-25-48,,
INTAKE_OPERATOR_ID,Henrik,,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME",,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",,
_META_END_,,,
AGEDHOMES,Homes for the Aged,140979.7,
ARENAS,Arena Boards of Management,5242.9,
ASSESSMENT,Assessment Growth - 2004,26570.3,
BIZSUPPORT,Customer & Business Support,2203.5,
CHILDSERV,Children's Services,225065.9,
CITYMANAGER,Chief Administrator's Office,157.4,
CLERK,City Clerk's Office,20368.2,
COMMCENTRES,Association of Community Centers,166.8,
CORPCOMMS,Corporate Communications,109.6,
CORPEXPENDITURES,Non-Program Expenditures,26158.7,
CORPFINANCING,Capital & Corporate Financing,8134,
CORPREVENUES,Non-Program Revenues,499357.2,
COURTSERV,Court Services,37300,
COMMPARTNERREV,Community Partnership & Investment Program revenue,5208.2,
CULTURE,Culture,3806.6,
ECONDEV,Economic Development,1299.3,
EMERG,Emergency Medical Services,74144.4,
EMERGPLAN,Emergency Management Plan,760,
EXHIBPLACE,Exhibition Place,42656.4,
FACILITIES,Facilities & Real Estate,55249.8,
FINANCE,Finance,33376.8,
FIRE,Fire Services,4577.9,
FLEET,Fleet Services,31189.6,
HERITAGE,Heritage Toronto,166.1,
HUMANRESOURCES,Human Resources,1796.2,
INNOVATION,Service Improvement & Innovation,456.5,
IT,Information & Technology,5281.2,
LEGAL,Legal,7687.9,
LIBRARY,Toronto Public Library,14705.9,
PARKING,Parking Authority,95335.1,"Parking Authority (TPA):  Net revenue has been distributed according to City's Revenue Sharing Agreement: 25% retained by TPA, 75% to the City (with $4.679 m to Transportation and the balance to Non-program)."
PARKS,Parks & Recreation,78283,
PLANNING,Urban Development Services,77986.2,
POLICE,Toronto Police Service,28461.7,
PUBLICHEALTH,Toronto Public Health,109227.9,
REGIONCONSERV,Toronto & Region Conservation Authority,23906.2,
SHELTERADMIN,"Shelter, Housing & Support",360469.9,
SOCIALDEV,Social Development & Administration,9822,
SOCIALSERV,Social Services,720475.1,
SOLIDWASTE,Solid Waste Management Services,58041.5,
CHARITYREBATE,C & I Charity Rebate - Special Levy,2151.3,
SUPPORTSERV,WES - Support Services,35517.1,
TECH,WES - Technical Services,45985.8,
THEATRES,Theatres,17336.8,
TOURISM,Tourism,3471.9,
TRANSPORTATION,Transportation Services,78981.8,
TTCCONV,Toronto Transit Commission - Conventional,779052.4,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,2702.6,
WATER,Water & Waste Water,555185.5,
YONGEDUNDAS,Yonge/Dundas Square,359.4,
ZOO,Toronto Zoo,23833.5,
