_META_START_,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0BzB3t6aSc9bDUWxuMUdRS2xiOWM,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OubHdZVEpCZmdfNlE,,
SOURCE_DOCUMENT_TITLE,City of Toronto 2005 Operating Budget – Gross expenditures,,
SOURCE_DOCUMENT_TABLE_LOCATION,,,
SOURCE_DOCUMENT_TABLE_TITLE,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuekR5WkN3SjB2Wm8,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,
YEAR,2005,,
VERSION,Summary,,
ASPECT,Expenses,,
NOTES_CONTENT,,,
NOTES_SEVERITY,,,
UNITS_NAME,Dollar,,
UNITS_CODE,DOLLAR,,
UNITS_MULTIPLIER,1000,,
TOTAL_AMOUNT,7720505.300000001,,
INTAKE_DATETIME,2016-10-29-22-25-48,,
INTAKE_OPERATOR_ID,Henrik,,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME",,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",,
_META_END_,,,
311SERVICE,3-1-1 Project,503.1,
AGEDHOMES,Homes for the Aged,175490.1,
ARENAS,Arena Boards of Management,5476.8,
AUDITGEN,Auditor General's Office,3509.9,
BIZSUPPORT,Customer & Business Support,19935.2,
CHILDSERV,Children's Services,301683.1,
CITYMANAGER,Chief Administrator's Office,5836.7,
CLERK,City Clerk's Office,40228.4,
COMMCENTRES,Association of Community Centers,5715.9,
CORPCOMMS,Corporate Communications,6833.1,
CORPEXPENDITURES,Total Non-Program Expenditures,436080.4,
CORPFINANCING,Capital & Corporate Financing,453073.8,
CORPREVENUES,Total Non-Program Revenues,,
COUNCIL,Council,18006.7,
COURTSERV,Court Services,28826.5,
COMMPARTNER,Corporate Accounts Community Partnership and Investment Program,44078.2,
CULTURE,Culture,13570.9,
ECONDEV,Economic Development,9802.5,
ECONRECOV,Economic Recovery,,
EMERG,Emergency Medical Services,129783.3,
EMERGPLAN,Emergency Management Plan,,
EXHIBPLACE,Exhibition Place,45945,
FACILITIES,Facilities & Real Estate,88544.7,
FINANCE,Finance,68359.9,
FIRE,Fire Services,307180.9,
FLEET,Fleet Services,31804.9,
HERITAGE,Heritage Toronto,519,
HUMANRESOURCES,Human Resources,27697.2,
INNOVATION,Service Improvement & Innovation,7317.7,
IT,Information & Technology,52755.5,
LEGAL,Legal,25630.4,
LIBRARY,Toronto Public Library,152013.4,
MAYOR,Mayor's Office,1768.3,
PARKING,Parking Authority,54281.8,"Parking Authority's net revenue is distributed according to City's Revenue Sharing Agreement: 75% to the City, and 25% retained by Parking Authority."
PARKS,Parks & Recreation,248203.7,
PLANNING,Urban Development Services,101454.5,
POLICE,Toronto Police Service,721446.8,
POLICEBOARD,Toronto Police Board,1278.1,
PUBLICHEALTH,Toronto Public Health,187858.4,
REGIONCONSERV,Toronto & Region Conservation Authority,29842,
SHELTERADMIN,"Shelter, Housing & Support",674132.4,
SOCIALDEV,Social Development & Administration,18508,
SOCIALSERV,Social Services,967251.9,
SOLIDWASTE,Solid Waste Management Services,221262.6,
SUPPORTSERV,WES - Support Services,35726.8,
TECH,WES - Technical Services,55384.9,
THEATRES,Theatres,19843.4,
TOURISM,Tourism,8929.6,
TRANSPORTATION,Transportation Services,264133.8,
TTCCONV,Toronto Transit Commission - Conventional,956066.2,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,55870.9,
WATER,Toronto Water,555185.5,
YONGEDUNDAS,Yonge/Dundas Square,1008.2,
ZOO,Toronto Zoo,34864.3,
