_META_START_,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OucVZPSlozZ3h4bDQ,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuTDRIWm1BVU9mT0k,
SOURCE_DOCUMENT_TITLE,2008 BUDGET BRIEFING NOTE 2008 Executive Committee Recommended Approved Positions,
SOURCE_DOCUMENT_TABLE_LOCATION,p. 9,
SOURCE_DOCUMENT_TABLE_TITLE,CITY OF TORONTO 2008 EXECUTIVE COMMITTEE RECOMMENDED OPERATING BUDGET APPROVED POSITIONS - OPERATING,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuTnc1eUZHWks0RE0,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,
YEAR,2008,
VERSION,Summary,
ASPECT,Staffing,
NOTES_CONTENT,,
NOTES_SEVERITY,,
UNITS_NAME,Full Time Equivalent,
UNITS_CODE,FTE,
UNITS_MULTIPLIER,1,
TOTAL_AMOUNT,48736.700000000004,
INTAKE_DATETIME,2016-10-29-22-25-48,
INTAKE_OPERATOR_ID,Henrik,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME",
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",
_META_END_,,
AFFHOUSING,Affordable Housing Office,24
CHILDSERV,Children's Services,956.5
COURTSERV,Court Services,230
ECONDEV,"Economic Development, Culture & Tourism",269.8
EMERG,Emergency Medical Services,1204
AGEDHOMES,Homes for the Aged,2167.4
PARKS,"Parks, Forestry & Recreation",4148.6
SHELTERADMIN,"Shelter, Housing & Support",695.5
SOCIALDEV,"Social Development, Finance & Administration",214.8
SOCIALSERV,Social Services,1982
311SERVICE,3 - 1 - 1 Program,6
PLANNING,City Planning,359.5
FIRE,Fire Services,3144
LICENCING,Municipal Licensing and Standards,369
POLICYADMIN,"Policy, Planning, Finance & Admin.",442.2
SOLIDWASTE,Solid Waste Management Services,1291.6
TECH,Technical Services,165.7
BUILDINGS,Toronto Building,407.5
WATER,Toronto Water,1678.5
TRANSPORTATION,Transportation Services,1302.2
WATERFRONT,Waterfront Secretariat,11
CFO,Office of the Chief Financial Officer,124
TREASURER,Office of the Treasurer,771
CREATIVEINFO,Public Information & Creative Services,61
FACILITIES,Facilities & Real Estate,740.5
FLEET,Fleet Services,205
IT,Information & Technology,384
CITYMANAGER,City Manager's Office,399
CLERK,City Clerk's Office,374.5
LEGAL,Legal Services,260
MAYOR,Mayor's Office,23
COUNCIL,Council,181
AUDITGEN,Auditor General's Office,29
LOBBYREG,Office of the Lobbyist Registrar,5
OMBUDSMAN,Office of the Ombudsperson,3
PUBLICHEALTH,Toronto Public Health,1937.2
LIBRARY,Toronto Public Library,1826.2
COMMCENTRES,Association of Community Centres,91.2
EXHIBPLACE,Exhibition Place,519.5
HERITAGE,Heritage Toronto,6
THEATRES,Theatres,177
ZOO,Toronto Zoo,358.3
ARENAS,Arena Boards of Management,63.5
YONGEDUNDAS,Yonge Dundas Square,4
PARKING,Parking Authority,299
PARKINGTAGS,Parking Enforcement Unit,395
ATMOSPHERE,Toronto Atmospheric Fund,4
TTCCONV,Toronto Transit Commission*,10716
POLICE,Toronto Police Services(excludes Board),7710
