_META_START_,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0BzB3t6aSc9bDQnpEdDNxaHFZRFE,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuRDNTajhMcnV6RTg,
SOURCE_DOCUMENT_TITLE,2014 COUNCIL APPROVED OPERATING BUDGET – REVENUE,
SOURCE_DOCUMENT_TABLE_LOCATION,,
SOURCE_DOCUMENT_TABLE_TITLE,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuZVRZZWxBenVVSzA,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,
YEAR,2014,
VERSION,Summary,
ASPECT,Revenues,
NOTES_CONTENT,,
NOTES_SEVERITY,,
UNITS_NAME,Dollar,
UNITS_CODE,DOLLAR,
UNITS_MULTIPLIER,1000,
TOTAL_AMOUNT,7421035,
INTAKE_DATETIME,2016-10-29-22-25-49,
INTAKE_OPERATOR_ID,Henrik,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME",
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",
_META_END_,,
ASSESSMENT,Assessment Change,25385
TCHCEXEMPT,TCHC Exempt,-18415
311SERVICE,311 Toronto,7516
AFFHOUSING,Affordable Housing Office,1548
ARENAS,Arena Boards of Management,8263
AUDITGEN,Auditor General's Office,0
BUILDINGS,Toronto Buildings,59353
CFO,Office of the Chief Financial Officer,6507
CHILDSERV,Children's Services,343930
CITYMANAGER,City Manager's Office,8620
CLERK,City Clerk's Office,27239
COMMCENTRES,Association of Community Centres,430
CORPEXPENDITURES,Non-Program Expenditures,183369
CORPFINANCING,Capital & Corporate Financing,36195
CORPREVENUES,Non-Program Revenues,1008357
COUNCIL,City's Council,2330
COURTSERV,Court Services,67598
ECONDEV,Economic Development & Culture,22401
EMERG,Emergency Medical Services,115555
ENGINEERING,Engineering & Construction Services,58355
ENV,Toronto Environment Office,0
EXHIBPLACE,Exhibition Place,44538
FACILITIES,Facilities Management & Real Estate,123400
FIRE,Fire Services,14633
FLEET,Fleet Services,47789
HERITAGE,Heritage Toronto,450
INTEGRITYCOMM,Integrity Commissioner's Office,0
IT,Information & Technology,41896
LEGAL,Legal Services,27851
LIBRARY,Toronto Public Library,16583
LICENCING,Municipal Licensing & Standards,28969
LOBBYREG,Office of the Lobbyist Registrar,0
LONGTERMHOME,Long Term Care Homes & Services,186010
MAYOR,Mayor's Office,0
OMBUDSMAN,Office of the Ombudsman,0
PARKING,Toronto Parking Authority,138436
PARKS,"Parks, Forestry & Recreation",148248
PLANNING,City Planning,25617
POLICE,Toronto Police Service,128341
POLICEBOARD,Toronto Police Services Board,500
POLICYADMIN,"Policy, Planning, Finance & Admin",11716
PUBLICHEALTH,Toronto Public Health,193494
REGIONCONSERV,Toronto Region Conservation Authority,35534
SHELTERADMIN,"Shelter, Support & Housing Admin",447132
SOCIALDEV,"Social Development, Finance & Admin",10570
SOCIALSERV,Toronto Employment & Social Services,999764
SOLIDWASTE,Solid Waste Management Services,353924
THEATRES,Theatres,17404
TRANSPORTATION,Transportation Services,133905
TREASURER,Office of the Treasurer,43558
TTCCONV,Toronto Transit Commission-Conventional,1166478
TTCWHEEL,Toronto Transit Commission - Wheel Trans,5739
WATER,Toronto Water,1021885
YONGEDUNDAS,Yonge-Dundas Square,1823
ZOO,Toronto Zoo,40312
