_META_START_,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuYkp6aWxEUE1nMkU,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuTzItQm9wVDZRcjg,
SOURCE_DOCUMENT_TITLE,CITY OF TORONTO 2016 COUNCIL PRELIMINARY OPERATING BUDGET,
SOURCE_DOCUMENT_TABLE_LOCATION,,
SOURCE_DOCUMENT_TABLE_TITLE,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuRXE0cXh2aDZWSmM,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,
YEAR,2017,
VERSION,Summary,
ASPECT,Expenses,
NOTES_CONTENT,,
NOTES_SEVERITY,,
UNITS_NAME,Dollar,
UNITS_CODE,DOLLAR,
UNITS_MULTIPLIER,1000,
TOTAL_AMOUNT,12224988,
INTAKE_DATETIME,2017-04-24-19-36-42,
INTAKE_OPERATOR_ID,Henrik,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME",
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",
_META_END_,,
AFFHOUSING,Affordable Housing Office,2974
CHILDSERV,Children's Services,479538
COURTSERV,Court Services,51959
ECONDEV,Economic Development & Culture,79360
PARAMEDIC,Toronto Paramedic Services,210484
LONGTERMHOME,Long-Term Care Homes & Services,256981
PARKS,"Parks, Forestry & Recreation",453536
SHELTERADMIN,"Shelter, Support & Housing Administration",756060
SOCIALDEV,"Social Development, Finance & Administration",49089
SOCIALSERV,Toronto Employment & Social Services,1083234
PLANNING,City Planning,47185
FIRE,Fire Services,439629
LICENCING,Municipal Licensing & Standards,52048
POLICYADMIN,"Policy, Planning, Finance & Administration",21141
ENGINEERING,Engineering & Construction Services,72774
BUILDINGS,Toronto Building,56037
TRANSPORTATION,Transportation Services,396725
CFO,Office of the Chief Financial Officer,16852
TREASURER,Office of the Treasurer,72784
FACILITIES,"Facilities, Real Estate, Environment & Energy",194646
FLEET,Fleet Services,53907
311SERVICE,311 Toronto,17624
IT,Information & Technology,127737
CITYMANAGER,City Manager's Office,54413
CLERK,City Clerk's Office,49622
LEGAL,Legal Services,56930
MAYOR,Mayor's Office,2251
COUNCIL,City Council,20435
AUDITGEN,Auditor General's Office,4902
INTEGRITYCOMM,Integrity Commissioner's Office,507
LOBBYREG,Office of the Lobbyist Registrar,1154
OMBUDSMAN,Office of the Ombudsman,1810
PUBLICHEALTH,Toronto Public Health,242518
LIBRARY,Toronto Public Library,198371
COMMCENTRES,Association of Community Centres,8105
EXHIBPLACE,Exhibition Place,37282
HERITAGE,Heritage Toronto,795
THEATRES,Theatres,28425
ZOO,Toronto Zoo,52086
ARENAS,Arena Boards of Management,9013
YONGEDUNDAS,Yonge-Dundas Square,2352
REGIONCONSERV,Toronto & Region Conservation Authority,43532
TTCCONV,Toronto Transit Commission - Conventional,1802885
TTCWHEEL,Toronto Transit Commission - Wheel Trans,151169
POLICE,Toronto Police Service,1127817
POLICEBOARD,Toronto Police Services Board,2809
CORPFINANCING,Capital & Corporate Financing,841343
CORPEXPENDITURES,Non-Program Expenditures,667784
CORPREVENUES,Non-Program Revenues,55548
SPECIALREV,Special Revenues,40699
SOLIDWASTE,Solid Waste Management Services,403562
PARKING,Toronto Parking Authority,92637
WATER,Toronto Water,1231928
