_META_,,,,,
SOURCE,https://drive.google.com/open?id=0BzB3t6aSc9bDZHpfQks3QmdjV3c,,,,
SOURCEQUALIFIERS,,,,,
DOCTITLE,City of Toronto 2003 Operating Budget - Gross Expenditures,,,,
YEAR,2003,,,,
TYPE,GROSS EXPENDITURES,,,,
UNITS,"$1,000.00",,,,
NOTES,,,,,
_METAEND_,,,,,
_DATA_,,,,,
DIVISIONCODE,DivisionName,Amount,RollIntoCode,Note,AlternateSource
AGEDHOMES,Homes for the Aged,159418.9,,,
ARENAS,Arena Boards of Management,5021.3,,,
AUDITGEN,Auditor General,3003.2,,,
BIZSUPPORT,Customer & Business Support,19368.9,,,
CHILDSERV,Children's Services,299449.8,,,
CITYMANAGER,Chief Administrator's Office (CAO),5625.5,,,
CLERK,City Clerk's,44435.9,,,
COMMCENTRES,Association of Community Centers,4961.8,,,
CORPCOMMS,Corporate Communications,6439.6,,,
CORPEXPENDITURES,Non-Program Expenditures,236357.3,,,
CORPFINANCING,Capital & Corporate Financing,391078.9,,,
COUNCIL,Council,17615.7,,,
COURTSERV,Court Services,27339.7,,,
CULTURE,Culture,12190.4,,,
ECONDEV,Economic Development,8314.3,,,
EMERG,Emergency Medical Services,114268.1,,,
EMERGPLAN,Emergency Management Plan,1854.3,,,
EXHIBPLACE,Exhibition Place,40778.3,,,
FACILITIES,Facilities & Real Estate,84241.2,,,
FINANCE,Finance,68975.3,,,
FIRE,Fire Services,278450,,,
FLEET,Fleet Services,31297,,,
GRANTPROGRAM,Consolidated Grant Program,39562.7,,,
HUMANRESOURCES,Human Resources,26472.7,,,
INNOVATION,Service Improvement & Innovation,2654.6,,,
IT,Information & Technology,40411.5,,,
KVC,Keele Valley Closure (KVC),21425,,,
LEGAL,Legal,24353.2,,,
LIBRARY,Toronto Public Library,134832.7,,,
MAYOR,Mayor's Office,1763.7,,,
PARKING,Parking Authority,91055.5,,,
PARKS,Parks & Recreation,219745.6,,,
PLANNING,Urban Development Services,92332.2,,,
PUBLICHEALTH,Toronto Public Health,170100.8,,,
REGIONCONSERV,Toronto & Region Conservation Authority,23912.5,,,
SHELTERADMIN,"Shelter, Housing & Support",638854.6,,,
SOCIALDEV,Social Development & Administration,17486.1,,,
SOCIALSERV,Social Services,934105,,,
SOLIDWASTE,Solid Waste Management Services,182689,,,
SUPPORTSERV,WES - Support Services,33813.9,,,
TECH,WES - Technical Services,48132.1,,,
THEATRES,Theatres,20502.3,,,
TOTALPOLICE,Toronto Police Service & Board,659680,,,
TOTALTTC,Toronto Transit Commission (Incl. Wheel Trans),957167.2,,,
TOURISM,Tourism,12068.1,,,
TRANSPORTATION,Transportation Services,242915.8,,,
WATER,Water & Waste Water,520142.9,,,
WORLDYOUTH,World Youth Day,0,,,
YONGEDUNDAS,Yonge/Dundas Square,1030.5,,,
ZOO,Toronto Zoo,32857.1,,,
