311 Toronto,311SERVICE
Affordable Housing Office,AFFHOUSING
Arena Boards of Management,ARENAS
Auditor General's Office,AUDITGEN
Toronto Building,BUILDING
Office of the Chief Financial Officer,CFO
Children's Services,CHILDSERV
City Manager's Office,CITYMANAGER
City Clerk's Office,CLERK
Association of Community Centres,COMMCENTRES
Non-Program Expenditures,CORPEXPENDITURES
Capital & Corporate Financing,CORPFINANCING
Non-Program Revenues,CORPREVENUES
City Council,COUNCIL
Court Services,COURTSERV
Economic Development & Culture,ECONDEV
Emergency Medical Services,EMERG
Toronto Environment Office,ENV
Exhibition Place,EXHIBPLACE
Facilities Management & Real Estate,FACILITIES
Fire Services,FIRE
Fleet Services,FLEET
Heritage Toronto,HERITAGE
Integrity Commissioner's Office,INTEGRITYCOMM
Information & Technology,IT
Legal Services,LEGAL
Toronto Public Library,LIBRARY
Municipal Licensing & Standards,LICENCING
Lobbyist Registrar,LOBBYREG
Long Term Care Homes & Services,LONGTERMHOME
Mayor's Office,MAYOR
Office of the Ombudsman,OMBUDSMAN
Toronto Parking Authority,PARKING
"Parks, Forestry & Recreation",PARKS
City Planning,PLANNING
Toronto Police Service,POLICE
Toronto Police Services Board,POLICEBOARD
"Policy, Planning, Finance & Administration",POLICYADMIN
Toronto Public Health,PUBLICHEALTH
Toronto & Region Conservation Authority,REGIONCONSERV
"Shelter, Support & Housing Administration",SHELTERADMIN
"Social Development, Finance & Administration",SOCIALDEV
Toronto Employment & Social Services,SOCIALSERV
Solid Waste Management Services,SOLIDWASTE
Technical Services,TECH
Theatres,THEATRES
Transportation Services,TRANSPORTATION
Office of the Treasurer,TREASURER
Toronto Transit Commission - Conventional,TTCCONV
Toronto Transit Commission - Wheel-Trans,TTCWHEEL
Toronto Water,WATER
Yonge-Dundas Square,YONGEDUNDAS
Toronto Zoo,ZOO
