311 Toronto,19025.8,
Affordable Housing Office,2639.6,
Arena Boards of Management,7193.6,
Auditor General's Office,4038.1,
Toronto Building,47090.6,
Office of the Chief Financial Officer,15526.4,
Children's Services,401174,
City Manager's Office,50386.2,
City Clerk's Office,46469.5,
Association of Community Centres,7111.2,
Non-Program Expenditures,703639.8,
Capital & Corporate Financing,655019.5,
Non-Program Revenues,9224.4,
City Council,19761.7,
Court Services,54790.9,
Economic Development & Culture,56705.9,
Emergency Medical Services,179525.2,
Toronto Environment Office,4539.2,
Exhibition Place,43650.7,
Facilities Management & Real Estate,178535.6,
Fire Services,375364.1,
Fleet Services,46340.4,
Heritage Toronto,740.1,
Integrity Commissioner's Office,249.7,
Information & Technology,105191.3,
Legal Services,44811,
Toronto Public Library,180793.9,
Municipal Licensing & Standards,48413.6,
Lobbyist Registrar,1065.4,
Long Term Care Homes & Services,226566.5,
Mayor's Office,1940.3,
Office of the Ombudsman,1570.1,
Toronto Parking Authority,72216.7,http://www1.toronto.ca/City%20Of%20Toronto/Strategic%20Communications/City%20Budget/2013/Operating%20Budget%20Summaries/op13_an_tpa.pdf
"Parks, Forestry & Recreation",392026.7,
City Planning,39019.9,
Toronto Police Service,1018876.1,
Toronto Police Services Board,2751.6,
"Policy, Planning, Finance & Administration",20859.5,
Toronto Public Health,240462.8,
Toronto & Region Conservation Authority,38402,
"Shelter, Support & Housing Administration",668682.3,
"Social Development, Finance & Administration",33589.1,
Toronto Employment & Social Services,1243544.4,
Solid Waste Management Services,348747.9,http://www1.toronto.ca/City%20Of%20Toronto/Strategic%20Communications/City%20Budget/2013/Operating%20Budget%20Summaries/op13_an_swms.pdf https://drive.google.com/open?id=0BzB3t6aSc9bDb1lJY1NJbHBTOFk
Technical Services,70748,
Theatres,23589.5,
Transportation Services,329511,
Office of the Treasurer,72551.4,
Toronto Transit Commission - Conventional,1540948.4,
Toronto Transit Commission - Wheel-Trans,102369.3,
Toronto Water,940797.1,http://www1.toronto.ca/City%20Of%20Toronto/Strategic%20Communications/City%20Budget/2013/Operating%20Budget%20Summaries/op13_an_water.pdf https://drive.google.com/open?id=0BzB3t6aSc9bDWmhZSXNKSWN1aTQ
Yonge-Dundas Square,2069.2,
Toronto Zoo,53565.3,
