311 Toronto,8377.6,
Affordable Housing Office,1473.4,
Arena Boards of Management,7209.3,
Auditor General's Office,0,
Toronto Building,58121.9,
Office of the Chief Financial Officer,6699.5,
Children's Services,324958.4,
City Manager's Office,8845.5,
City Clerk's Office,15866.1,
Association of Community Centres,272.2,
Non-Program Expenditures,159781,
Capital & Corporate Financing,37721.7,
Non-Program Revenues,968229.5,
City Council,30,
Court Services,68695.5,
Community Partnership and Investment Program,0,
Economic Development & Culture,11872,
Emergency Medical Services,111157.1,
Toronto Environment Office,1940.1,
Exhibition Place,43750.7,
Facilities Management & Real Estate,119111.3,
Fire Services,14323.6,
Fleet Services,46340.5,
Heritage Toronto,428.3,
Integrity Commissioner's Office,0,
Information & Technology,38360.9,
Legal Services,25934.1,
Toronto Public Library,15434.3,
Municipal Licensing & Standards,28465.3,
Lobbyist Registrar,0,
Long Term Care Homes & Services,181070.3,
Mayor's Office,0,
Office of the Ombudsman,0,
Toronto Parking Authority,135398,"http://www1.toronto.ca/City%20Of%20Toronto/Strategic%20Communications/City%20Budget/2013/Operating%20Budget%20Summaries/op13_an_tpa.pdf
https://drive.google.com/open?id=0BzB3t6aSc9bDeDBWU3FOcTVIWFk"
"Parks, Forestry & Recreation",119973.2,
City Planning,24973.6,
Toronto Police Service,91135.6,
Toronto Police Services Board,500,
"Policy, Planning, Finance and Administration",11389.9,
Toronto Public Health,190466,
Toronto & Region Conservation Authority,35112.5,
"Shelter, Support & Housing Administration",450497.3,
"Social Development, Finance & Administration",5296.7,
Toronto Employment & Social Services,1055775.9,
Solid Waste Management Services,348747.9,http://www1.toronto.ca/City%20Of%20Toronto/Strategic%20Communications/City%20Budget/2013/Operating%20Budget%20Summaries/op13_an_swms.pdf https://drive.google.com/open?id=0BzB3t6aSc9bDeEtDd3daRDVmdDg
Technical Services,63360.1,
Theatres,19280,
Transportation Services,124485.8,
Office of the Treasurer,43425.7,
Toronto Transit Commission - Conventional,1129997.4,
Toronto Transit Commission - Wheel-Trans,5546.2,
Toronto Water,940797.1,http://www1.toronto.ca/City%20Of%20Toronto/Strategic%20Communications/City%20Budget/2013/Operating%20Budget%20Summaries/op13_an_water.pdf https://drive.google.com/open?id=0BzB3t6aSc9bDY0VmTm5adDlGbU0
Yonge-Dundas Square,1632.7,
Toronto Zoo,42454.6,
