_META_,,,,,
SOURCE,https://drive.google.com/open?id=0BzB3t6aSc9bDQmxQQW9BdDN5aTg,,,,
SOURCEQUALIFIERS,,,,,
DOCTITLE,2013 COUNCIL APPROVED OPERATING BUDGET – Revenue,,,,
YEAR,2013,,,,
TYPE,REVENUES,,,,
UNITS,"$1,000.00",,,,
NOTES,,,,,
_METAEND_,,,,,
_DATA_,,,,,
DIVISIONCODE,DivisionName,Amount,RollIntoCode,Note,AlternateSource
311SERVICE,311 Toronto,8377.6,,,
AFFHOUSING,Affordable Housing Office,1473.4,,,
ARENAS,Arena Boards of Management,7209.3,,,
AUDITGEN,Auditor General's Office,0,,,
BUILDING,Toronto Building,58121.9,,,
CFO,Office of the Chief Financial Officer,6699.5,,,
CHILDSERV,Children's Services,324958.4,,,
CITYMANAGER,City Manager's Office,8845.5,,,
CLERK,City Clerk's Office,15866.1,,,
COMMCENTRES,Association of Community Centres,272.2,,,
CORPEXPENDITURES,Non-Program Expenditures,159781,,,
CORPFINANCING,Capital & Corporate Financing,37721.7,,,
CORPREVENUES,Non-Program Revenues,968229.5,,,
COUNCIL,City Council,30,,,
COURTSERV,Court Services,68695.5,,,
CPIP,Community Partnership and Investment Program,0,,,
ECONDEV,Economic Development & Culture,11872,,,
EMERG,Emergency Medical Services,111157.1,,,
ENV,Toronto Environment Office,1940.1,,,
EXHIBPLACE,Exhibition Place,43750.7,,,
FACILITIES,Facilities Management & Real Estate,119111.3,,,
FIRE,Fire Services,14323.6,,,
FLEET,Fleet Services,46340.5,,,
HERITAGE,Heritage Toronto,428.3,,,
INTEGRITYCOMM,Integrity Commissioner's Office,0,,,
IT,Information & Technology,38360.9,,,
LEGAL,Legal Services,25934.1,,,
LIBRARY,Toronto Public Library,15434.3,,,
LICENCING,Municipal Licensing & Standards,28465.3,,,
LOBBYREG,Lobbyist Registrar,0,,,
LONGTERMHOME,Long Term Care Homes & Services,181070.3,,,
MAYOR,Mayor's Office,0,,,
OMBUDSMAN,Office of the Ombudsman,0,,,
PARKING,Toronto Parking Authority,135398,,http://www1.toronto.ca/City%20Of%20Toronto/Strategic%20Communications/City%20Budget/2013/Operating%20Budget%20Summaries/op13_an_tpa.pdf,https://drive.google.com/open?id=0BzB3t6aSc9bDeDBWU3FOcTVIWFk
PARKS,"Parks, Forestry & Recreation",119973.2,,,
PLANNING,City Planning,24973.6,,,
POLICE,Toronto Police Service,91135.6,,,
POLICEBOARD,Toronto Police Services Board,500,,,
POLICYADMIN,"Policy, Planning, Finance and Administration",11389.9,,,
PUBLICHEALTH,Toronto Public Health,190466,,,
REGIONCONSERV,Toronto & Region Conservation Authority,35112.5,,,
SHELTERADMIN,"Shelter, Support & Housing Administration",450497.3,,,
SOCIALDEV,"Social Development, Finance & Administration",5296.7,,,
SOCIALSERV,Toronto Employment & Social Services,1055775.9,,,
SOLIDWASTE,Solid Waste Management Services,348747.9,,http://www1.toronto.ca/City%20Of%20Toronto/Strategic%20Communications/City%20Budget/2013/Operating%20Budget%20Summaries/op13_an_swms.pdf,https://drive.google.com/open?id=0BzB3t6aSc9bDeEtDd3daRDVmdDg
TECH,Technical Services,63360.1,ENGINEERING,,
THEATRES,Theatres,19280,,,
TRANSPORTATION,Transportation Services,124485.8,,,
TREASURER,Office of the Treasurer,43425.7,,,
TTCCONV,Toronto Transit Commission - Conventional,1129997.4,,,
TTCWHEEL,Toronto Transit Commission - Wheel-Trans,5546.2,,,
WATER,Toronto Water,940797.1,,http://www1.toronto.ca/City%20Of%20Toronto/Strategic%20Communications/City%20Budget/2013/Operating%20Budget%20Summaries/op13_an_water.pdf,https://drive.google.com/open?id=0BzB3t6aSc9bDY0VmTm5adDlGbU0
YONGEDUNDAS,Yonge-Dundas Square,1632.7,,,
ZOO,Toronto Zoo,42454.6,,,
