,2016 CN 
,Approved 
(In $000's) ,Budget 
"Citizen Centred Services ""A""",
Affordable Housing Office ,1777
Children's Services ,394467
Court Services ,41428
Economic Development & Culture ,16255
Toronto Paramedic Services ,125447
Long Term Care Homes & Services ,206077
"Parks, Forestry & Recreation ",134204
"Shelter, Support & Housing Administration ",328775
"Social Development, Finance & Administration ",20962
Toronto Employment & Social Services ,963137
"Sub-Total Citizen Centred Services ""A"" ",2232529
"Citizen Centred Services ""B""",
City Planning ,27982
Fire Services ,15329
Municipal Licensing & Standards ,30513
"Policy, Planning, Finance & Administration ",12448
Engineering & Construction Services ,63287
Toronto Building ,64580
Transportation Services ,180869
"Sub-Total Citizen Centred Services ""B"" ",395009
Internal Services,
Office of the Chief Financial Officer ,6904
Office of the Treasurer ,48778
"Facilities, Real Estate, Environment & Energy ",127467
Fleet Services ,51612
311 Toronto ,8318
Information & Technology ,51584
Sub-Total Internal Services ,294664
City Manager,
City Manager's Office ,7889
Sub-Total City Manager ,7889
Other City Programs,
City Clerk's Office ,17591
Legal Services ,30432
Mayor's Office ,
City Council ,40
Sub-Total Other City Programs ,48064
Accountability Offices,
Auditor General's Office ,
Integrity Commissioner's Office ,
Office of the Lobbyist Registrar ,
Office of the Ombudsman ,
Sub-Total Council Appointed Programs ,
TOTAL - CITY OPERATIONS ,2978154
Agencies,
Toronto Public Health ,184585
Toronto Public Library ,17593
Association of Community Centres ,273
Exhibition Place ,36671
Heritage Toronto ,460
Theatres ,17627
Toronto Zoo ,39180
Arena Boards of Management ,8652
Yonge-Dundas Square ,1945
Toronto & Region Conservation Authority ,36976
Toronto Transit Commission - Conventional ,1243130
Toronto Transit Commission - Wheel Trans ,6954
Toronto Police Service ,127464
Toronto Police Services Board ,750
TOTAL - AGENCIES ,1722259
