3-1-1 Project,311SERVICE,,,
Homes for the Aged,AGEDHOMES,,,
Arena Boards of Management,ARENAS,,,
Assessment Growth - 2005,ASSESSGROWTH,,,
Auditor General's Office,AUDITGEN,,,
Customer & Business Support,BIZSUPPORT,,,
Children's Services,CHILDSERV,,,
Chief Administrator's Office,CITYMANAGER,,,
City Clerk's Office,CLERK,,,
Association of Community Centers,COMMCENTRES,,,
Corporate Communications,CORPCOMMS,,,
Non-Program Expenditures,CORPEXPENDITURES,,,
Capital & Corporate Financing,CORPFINANCING,,,
Non-Program Revenues,CORPREVENUES,,,
Council,COUNCIL,,,
Court Services,COURTSERV,,,
Community Partnership and Investment Program,CPIP,,,
Culture,CULTURE,,,
Economic Development,ECONDEV,,,
Economic Recovery,ECONRECOV,,,
Emergency Medical Services,EMERG,,,
Emergency Management Plan,EMERGPLAN,,,
Exhibition Place,EXHIBPLACE,,,
Facilities & Real Estate,FACILITIES,,,
Finance,FINANCE,,,
Fire Services,FIRE,,,
Fleet Services,FLEET,,,
Heritage Toronto,HERITAGE,,,
Human Resources,HUMANRESOURCES,,,
Service Improvement & Innovation,INNOVATION,,,
Information & Technology,IT,,,
Legal,LEGAL,,,
Toronto Public Library,LIBRARY,,,
Mayor's Office,MAYOR,,,
Parking Authority,PARKING,,,"* Parking Authority's net revenue is distributed according to City's Revenue Sharing Agreement: 75% to the City, and 25% retained by Parking Authority."
Parks & Recreation,PARKS,,,
Urban Development Services,PLANNING,,,
Toronto Police Service,POLICE,,,
Toronto Police Board,POLICEBOARD,,,
Toronto Public Health,PUBLICHEALTH,,,
Toronto & Region Conservation Authority,REGIONCONSERV,,,
"Shelter, Housing & Support",SHELTERADMIN,,,
Social Development & Administration,SOCIALDEV,,,
Social Services,SOCIALSERV,,,
Solid Waste Management Services,SOLIDWASTE,,,
WES - Support Services,SUPPORTSERV,,,
WES - Technical Services,TECH,,,
Theatres,THEATRES,,,
Tourism,TOURISM,,,
Transportation Services,TRANSPORTATION,,,
Toronto Transit Commission – Conventional,TTCCONV,,,
Toronto Transit Commission - Wheel Trans,TTCWHEEL,,,
Toronto Water,WATER,,,
Yonge/Dundas Square,YONGEDUNDAS,,,
Toronto Zoo,ZOO,,,
