3-1-1 Project Management Office,311SERVICE
Affordable Housing Office,AFFHOUSING
Homes for the Aged,AGEDHOMES
Arena Boards of Management,ARENAS
Assessment Growth 2006,ASSESSGROWTH
Auditor General’s Office,AUDITGEN
Clean and Beautiful City Secretariat,BEAUTY
Business Support Services,BIZSUPPORT
Building Services,BUILDINGS
Office of the DCM and Chief Financial Officer,CFO
Children’s Services,CHILDSERV
City Manager’s Office,CITYMANAGER
City Clerk’s Office,CLERK
Association of Community Centers,COMMCENTRES
Corporate Communications,CORPCOMMS
Non-Program Expenditures,CORPEXPENDITURES
Capital & Corporate Financing,CORPFINANCING
Non-Program Revenues,CORPREVENUES
Council,COUNCIL
Court Services,COURTSERV
Community Partnership and Investment Program,CPIP
Culture,CULTURE
Economic Development,ECONDEV
Emergency Medical Services,EMERG
Exhibition Place,EXHIBPLACE
Facilities & Real Estate,FACILITIES
Fire Services,FIRE
Fleet Services,FLEET
Heritage Toronto,HERITAGE
Human Resources,HUMANRESOURCES
Information & Technology,IT
Legal Services,LEGAL
Toronto Public Library,LIBRARY
Municipal Licensing & Standards,LICENCING
Office of the Mayor,MAYOR
Toronto Parking Authority,PARKING
"Parks, Forestry & Recreation",PARKS
City Planning,PLANNING
Toronto Police Service,POLICE
Toronto Police Services Board,POLICEBOARD
Toronto Public Health,PUBLICHEALTH
Toronto & Region Conservation Authority,REGIONCONSERV
Shelter Support & Housing Administration,SHELTERADMIN
Social Development Finance & Administration,SOCIALDEV
Social Services,SOCIALSERV
Solid Waste Management Services,SOLIDWASTE
WES - Support Services,SUPPORTSERV
Technical Services,TECH
Theatres,THEATRES
Tourism,TOURISM
Transportation Services,TRANSPORTATION
Office of the Treasurer,TREASURER
Toronto Transit Commission - Conventional,TTCCONV
Toronto Transit Commission - Wheel-Trans,TTCWHEEL
Toronto Water,WATER
Waterfront Secretariat,WATERFRONT
Yonge/Dundas Square,YONGEDUNDAS
Toronto Zoo,ZOO
