Children's Services ,752.0,169.6,921.6
Homes for the Aged ,2106.5,0.0,2106.5
"Shelter, Housing & Support ",511.0,191.6,702.6
Social Development & Administration ,140.0,20.0,160.0
Social Services ,1930.0,23.0,1953.0
Emergency Medical Services ,1154.0,10.0,1164.0
Emergency Management Plan ,0.0,0.0,0.0
Solid Waste Management Services ,1266.7,90.3,1357.0
Fire Services ,3143.0,0.0,3143.0
Transportation Services ,1184.0,6.0,1190.0
WES - Support Services ,477.4,0.5,477.9
WES - Technical Services ,578.5,8.8,587.3
Culture ,102.5,55.2,157.7
Customer & Business Support ,209.0,42.1,251.1
Economic Development ,71.0,12.0,83.0
Parks & Recreation ,1564.0,2154.6,3718.6
Tourism ,40.0,3.3,43.3
Urban Development Services ,1091.5,58.0,1149.5
City Clerk's Office ,377.0,5.0,382.0
Court Services ,221.0,0.0,221.0
Service Improvement & Innovation ,84.0,0.0,84.0
Corporate Communications ,84.0,0.0,84.0
Facilities & Real Estate ,730.0,27.0,757.0
Fleet Services ,202.0,0.0,202.0
Human Resources ,304.0,5.0,309.0
Information & Technology ,321.0,14.0,335.0
Legal ,227.0,12.0,239.0
Finance ,787.0,26.0,813.0
Auditor General's Office ,28.0,0.0,28.0
Chief Administrator's Office ,59.0,0.0,59.0
Council ,176.0,1.0,177.0
Mayor's Office ,19.0,0.0,19.0
Public Health ,1753.5,69.0,1822.5
Toronto Public Library ,1817.7,0.0,1817.7
Exhibition Place ,333.0,94.0,427.0
Heritage Toronto ,4.0,1.0,5.0
Theatres ,86.4,111.7,198.1
Toronto Zoo ,258.2,94.3,352.5
Arena Boards of Management ,37.0,26.5,63.5
Toronto & Region Conservation Authority ,258.2,113.0,371.2
Association of Community Centres ,82.6,3.0,85.6
Yonge Dundas Square ,3.0,0.0,3.0
Toronto Parking Authority ,315.1,0.0,315.1
Parking Enforcement Unit ,395.0,0.0,395.0
Toronto Atmospheric Fund ,4.0,0.0,4.0
Toronto Transit Commission** ,10557.0,92.0,10649.0
Toronto Police Services(excludes Board) ,7272.0,24.0,7296.0
Non Program ,1.0,0.0,1.0
