,2004 Approved Positions* ,Total 2005 Rec.d (Base and New),,,,,,,,,,,,,,
,Permanent Temporary Total ,Permanent Temporary Total,,,,,,,,,,,,,,
Department/Program ,(a) (b) (c = a + b) ,(n) (o) (p = n + o),,,,,,,,,,,,,,
Community and Neighbourhood Services,,,,,,,,,,,,,,,,
Children's Services ,751.0 168.8 919.8 ,752.0 169.6 921.6,,,,,,,,,,,,,,
Homes for the Aged ,"2,065.8 0.0 2,065.8 ","2,106.5 0.0 2,106.5",,,,,,,,,,,,,,
"Shelter, Housing & Support ",501.0 158.6 659.6 ,511.0 191.6 702.6,,,,,,,,,,,,,,
Social Development & Administration ,139.5 20.4 159.9 ,140.0 20.0 160.0,,,,,,,,,,,,,,
Social Services ,"1,930.0 23.0 1,953.0 ","1,930.0 23.0 1,953.0",,,,,,,,,,,,,,
Department Total ,"5,387.3 370.8 5,758.1 ","5,439.5 404.2 5,843.7",,,,,,,,,,,,,,
Works and Emergency Services,,,,,,,,,,,,,,,,
Emergency Medical Services ,"1,150.0 2.0 1,152.0 ","1,154.0 10.0 1,164.0",,,,,,,,,,,,,,
Emergency Management Plan ,0.0 0.0 0.0 ,0.0 0.0 0.0,,,,,,,,,,,,,,
Solid Waste Management Services ,"1,212.5 89.4 1,301.9 ","1,266.7 90.3 1,357.0",,,,,,,,,,,,,,
Fire Services ,"3,142.0 0.0 3,142.0 ","3,143.0 0.0 3,143.0",,,,,,,,,,,,,,
Transportation Services ,"1,177.0 7.0 1,184.0 ","1,184.0 6.0 1,190.0",,,,,,,,,,,,,,
WES - Support Services ,474.4 3.5 477.9 ,477.4 0.5 477.9,,,,,,,,,,,,,,
WES - Technical Services ,557.6 5.4 563.0 ,578.5 8.8 587.3,,,,,,,,,,,,,,
Department Total ,"7,713.5 107.3 7,820.8 ","7,803.6 115.6 7,919.2",,,,,,,,,,,,,,
"Economic Development, Culture and Tourism",,,,,,,,,,,,,,,,
Culture ,104.0 50.7 154.7 ,102.5 55.2 157.7,,,,,,,,,,,,,,
Customer & Business Support ,210.0 37.7 247.7 ,209.0 42.1 251.1,,,,,,,,,,,,,,
Economic Development ,73.0 11.0 84.0 ,71.0 12.0 83.0,,,,,,,,,,,,,,
Parks & Recreation ,"1,553.0 2,129.2 3,682.2 ","1,564.0 2,154.6 3,718.6",,,,,,,,,,,,,,
Tourism ,40.0 0.3 40.3 ,40.0 3.3 43.3,,,,,,,,,,,,,,
Department Total ,"1,980.0 2,228.9 4,208.9 ","1,986.5 2,267.2 4,253.7",,,,,,,,,,,,,,
Urban Development Services,,,,,,,,,,,,,,,,
Urban Development Services ,"1,032.0 66.5 1,098.5 ","1,091.5 58.0 1,149.5",,,,,,,,,,,,,,
Department Total ,"1,032.0 66.5 1,098.5 ","1,091.5 58.0 1,149.5",,,,,,,,,,,,,,
Corporate Services,,,,,,,,,,,,,,,,
City Clerk's Office ,377.0 5.0 382.0 ,377.0 5.0 382.0,,,,,,,,,,,,,,
Court Services ,221.0 0.0 221.0 ,221.0 0.0 221.0,,,,,,,,,,,,,,
Service Improvement & Innovation ,86.0 0.0 86.0 ,84.0 0.0 84.0,,,,,,,,,,,,,,
Corporate Communications ,84.0 0.0 84.0 ,84.0 0.0 84.0,,,,,,,,,,,,,,
Facilities & Real Estate ,726.0 23.0 749.0 ,730.0 27.0 757.0,,,,,,,,,,,,,,
Fleet Services ,200.0 0.0 200.0 ,202.0 0.0 202.0,,,,,,,,,,,,,,
Human Resources ,300.0 5.0 305.0 ,304.0 5.0 309.0,,,,,,,,,,,,,,
Information & Technology ,318.0 13.0 331.0 ,321.0 14.0 335.0,,,,,,,,,,,,,,
Legal ,226.0 12.0 238.0 ,227.0 12.0 239.0,,,,,,,,,,,,,,
Department Total ,"2,538.0 58.0 2,596.0 ","2,550.0 63.0 2,613.0",,,,,,,,,,,,,,
Finance,,,,,,,,,,,,,,,,
Finance ,787.0 28.0 815.0 ,787.0 26.0 813.0,,,,,,,,,,,,,,
Department Total ,787.0 28.0 815.0 ,787.0 26.0 813.0,,,,,,,,,,,,,,
Other City Departments,,,,,,,,,,,,,,,,
Auditor General's Office ,26.0 0.0 26.0 ,28.0 0.0 28.0,,,,,,,,,,,,,,
Chief Administrator's Office ,60.0 0.0 60.0 ,59.0 0.0 59.0,,,,,,,,,,,,,,
Council ,176.0 1.0 177.0 ,176.0 1.0 177.0,,,,,,,,,,,,,,
Mayor's Office ,18.0 0.0 18.0 ,19.0 0.0 19.0,,,,,,,,,,,,,,
Other City's Departments - Total ,280.0 1.0 281.0 ,282.0 1.0 283.0,,,,,,,,,,,,,,
TOTAL - CITY OPERATIONS ,"19,717.8 2,860.5 22,578.3 ","19,940.1 2,935.0 22,875.1",,,,,,,,,,,,,,
2005 STAFF RECOMMENDED CHANGES TO BASE BUDGET,,,2005 STAFF RECOMMENDED CHANGES TO NEW/ENHANCED,,,,,,,,,,,,,
MANAGEMENT,,,MANAGEMENT,,,,UNION STAFF,,,,,MANAGEMENT,,,,
