"",2004 Approved Positions* ,2005 Base Request ,"","",Base Change from 2004 ,"",2005 Rec'd. New/Enhanced ,Total 2005 Rec.d (Base and New)
"",Permanent Temporary Total ,Permanent Temporary ,Total ,Permanent ,Temporary Total ,% ,Permanent Temporary Total ,Permanent Temporary Total
Department/Program ,(a) (b) (c = a + b) ,(d) (e) ,(f  = d + e) ,(g) ,(h) (i  = g + h) ,(j=i/c) ,(k) (l) (m = k + l) ,(n) (o) (p = n + o)
Special Purpose Bodies ,"","","","","","","",""
Public Health ,"1,728.3 90.7 1,819.0 ","1,732.4 46.4 ","1,778.8 ",4.1 ,(44.3) (40.2) ,(2.2) ,21.1 22.6 43.7 ,"1,753.5 69.0 1,822.5"
Toronto Public Library ,"1,817.7 0.0 1,817.7 ","1,817.7 0.0 ","1,817.7 ",0.0 ,0.0 0.0 ,0.0 ,0.0 0.0 0.0 ,"1,817.7 0.0 1,817.7"
Exhibition Place ,332.0 94.0 426.0 ,333.0 94.0 ,427.0 ,1.0 ,0.0 1.0 ,0.2 ,0.0 0.0 0.0 ,333.0 94.0 427.0
Heritage Toronto ,4.0 1.0 5.0 ,4.0 1.0 ,5.0 ,0.0 ,0.0 0.0 ,0.0 ,0.0 0.0 0.0 ,4.0 1.0 5.0
Theatres ,88.1 98.6 186.7 ,86.4 111.7 ,198.1 ,(1.7) ,13.1 11.4 ,6.1 ,0.0 0.0 0.0 ,86.4 111.7 198.1
Toronto Zoo ,254.0 94.3 348.3 ,254.2 94.3 ,348.5 ,0.2 ,0.0 0.2 ,0.1 ,4.0 0.0 4.0 ,258.2 94.3 352.5
Arena Boards of Management ,37.0 26.5 63.5 ,37.0 26.5 ,63.5 ,0.0 ,0.0 0.0 ,0.0 ,0.0 0.0 0.0 ,37.0 26.5 63.5
Toronto & Region Conservation Authority ,274.6 82.0 356.6 ,258.2 113.0 ,371.2 ,(16.4) ,31.0 14.6 ,4.1 ,0.0 0.0 0.0 ,258.2 113.0 371.2
Association of Community Centres ,76.6 9.0 85.6 ,82.6 3.0 ,85.6 ,6.0 ,(6.0) 0.0 ,0.0 ,0.0 0.0 0.0 ,82.6 3.0 85.6
Yonge Dundas Square ,3.0 0.0 3.0 ,3.0 0.0 ,3.0 ,0.0 ,0.0 0.0 ,0.0 ,0.0 0.0 0.0 ,3.0 0.0 3.0
Toronto Parking Authority ,313.4 0.0 313.4 ,315.1 0.0 ,315.1 ,1.7 ,0.0 1.7 ,0.5 ,0.0 0.0 0.0 ,315.1 0.0 315.1
Parking Enforcement Unit ,395.0 0.0 395.0 ,395.0 0.0 ,395.0 ,0.0 ,0.0 0.0 ,0.0 ,0.0 0.0 0.0 ,395.0 0.0 395.0
Toronto Atmospheric Fund ,4.0 0.0 4.0 ,4.0 0.0 ,4.0 ,0.0 ,0.0 0.0 ,0.0 ,0.0 0.0 0.0 ,4.0 0.0 4.0
Toronto Transit Commission** ,"10,338.0 92.0 10,430.0 ","10,451.0 92.0 ","10,543.0 ",113.0 ,0.0 113.0 ,1.1 ,106.0 0.0 106.0 ,"10,557.0 92.0 10,649.0"
Toronto Police Services(excludes Board) ,"7,218.0 78.0 7,296.0 ","7,272.0 24.0 ","7,296.0 ",54.0 ,(54.0) 0.0 ,0.0 ,0.0 0.0 0.0 ,"7,272.0 24.0 7,296.0"
Special Purpose Bodies & Other ,"22,883.7 666.1 23,549.8 ","23,045.6 605.9 ","23,651.5 ",161.9 ,(60.2) 101.7 ,0.4 ,131.1 22.6 153.7 ,"23,176.7 628.5 23,805.2"
Non Program ,1.0 0.0 1.0 ,1.0 0.0 ,1.0 ,0.0 ,0.0 0.0 ,0.0 ,"",1.0 0.0 1.0
TOTAL ,"42,602.5 3,526.6 46,129.1 ","42,897.7 3,431.5 ","46,329.2 ",295.2 ,(95.1) 200.1 ,0.4 ,220.1 132.0 352.1 ,"43,117.8 3,563.5 46,681.3"
