"",2005 ,"","","","","","","",2006,""
"",2005 Approved Budget ,"",2006 Base Request ,"","",Base Change from 2005 ,"","",Admin. Changes to Budget Request ,Total 2006 Proposed Budget (Base and New)
"","","","","","","","","",Base Budget Changes New/Enhanced Changes,""
"",Permanent Temporary Total ,"",Permanent Temporary ,Total ,Permanent ,Temporary Total ,% ,"",Permanent Temporary Total Permanent Temporary Total ,Permanent Temporary Total
Division ,(a) (b) (c = a + b) ,"",(d) (e) ,(f  = d + e) ,(g) ,(h) (i  = g + h) ,(j=i/c) ,"",(k) (l) (m = k + l) (n) (o) (p = n + o) ,(q) (r) (s = q + r)
"Citizen Centred Services ""A""","","","","","","","","","",""
Affordable Housing Office ,16.0 8.0 ,24.0 ,16.0 8.0 ,24.0 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 0.0 0.0 0.0 ,16.0 8.0 24.0
Children's Services ,772.0 180.7 952.7 ,"",782.0 175.7 ,957.7 ,10.0 ,(5.0) 5.0 ,0.5 ,"",(5.0) 0.0 (5.0) 15.0 0.0 15.0 ,792.0 175.7 967.7
Court Services ,221.0 0.0 221.0 ,"",221.0 0.0 ,221.0 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 0.0 0.0 0.0 ,221.0 0.0 221.0
Culture ,89.0 53.7 142.7 ,"",91.0 54.0 ,145.0 ,2.0 ,0.3 2.3 ,1.6 ,"",(1.0) 0.0 (1.0) 0.0 0.0 0.0 ,90.0 54.0 144.0
Economic Development ,68.0 12.0 ,80.0 ,69.0 11.0 ,80.0 ,1.0 ,(1.0) 0.0 ,0.0 ,"",0.0 0.0 0.0 0.0 0.0 0.0 ,69.0 11.0 80.0
Emergency Medical Services ,"1,189.8 7.5 1,197.3 ","","1,216.8 7.5 ","1,224.3 ",27.0 ,0.0 27.0 ,2.3 ,"",(27.0) 0.0 (27.0) 0.0 0.0 0.0 ,"1,189.8 7.5 1,197.3"
Homes for the Aged ,"2,106.5 0.0 2,106.5 ","","2,127.9 0.0 ","2,127.9 ",21.4 ,0.0 21.4 ,1.0 ,"",(1.0) 0.0 (1.0) 0.0 0.0 0.0 ,"2,126.9 0.0 2,126.9"
"Parks, Forestry & Recreation ","1,679.0 2,185.1 3,864.1 ","","1,700.0 2,184.1 ","3,884.1 ",21.0 ,(1.0) 20.0 ,0.5 ,"",0.0 0.0 0.0 0.0 0.0 0.0 ,"1,700.0 2,184.1 3,884.1"
"Shelter, Housing & Support ",495.0 187.6 682.6 ,"",505.5 179.6 ,685.1 ,10.5 ,(8.0) 2.5 ,0.4 ,"",0.0 0.0 0.0 2.0 1.9 3.9 ,507.5 181.5 689.0
"Social Development, Finance & Administration ",251.0 39.3 290.3 ,"",246.0 39.3 ,285.3 ,(5.0) ,0.0 (5.0) ,(1.7) ,"",(1.0) 0.0 (1.0) 6.0 4.0 10.0 ,251.0 43.3 294.3
Social Services ,"1,881.0 23.0 1,904.0 ","","1,881.0 59.0 ","1,940.0 ",0.0 ,36.0 36.0 ,1.9 ,"",0.0 0.0 0.0 0.0 0.0 0.0 ,"1,881.0 59.0 1,940.0"
