Affordable Housing Office ,16.0 8.0 24.0
Children's Services ,769.0 187.7 956.7
Court Services ,224.0 0.0 224.0
"Economic Development, Culture & Tourism ",206.0 59.8 265.8
Emergency Medical Services ,"1,207.3 4.0 1,211.3"
Homes for the Aged ,"2,121.5 0.0 2,121.5"
"Parks, Forestry & Recreation ","1,803.0 2,292.8 4,095.8"
"Shelter, Housing & Support ",503.5 182.5 686.0
"Social Development, Finance & Administration ",180.5 43.3 223.8
Social Services ,"1,884.0 66.0 1,950.0"
3 - 1 - 1 Program ,0.0 4.0 4.0
Toronto Building ,402.5 5.0 407.5
"Policy, Planning, Finance & Admin. ",101.3 9.6 110.9
City Planning ,315.0 13.0 328.0
Clean & Beautiful Secretariat ,2.0 0.0 2.0
Fire Services ,"3,185.6 0.4 3,186.0"
Municipal Licensing and Standards ,373.0 7.0 380.0
Solid Waste Management Services ,"1,182.0 157.6 1,339.6"
Toronto Water ,"1,684.4 95.5 1,779.9"
Transportation Services ,"1,296.7 69.0 1,365.7"
Waterfront Secretariat ,6.0 1.0 7.0
WES - Technical Services ,208.7 (12.0) 196.7
Office of the Chief Financial Officer ,120.0 0.0 120.0
Office of the Treasurer ,710.0 28.0 738.0
Public Information & Creative Services ,60.0 0.0 60.0
Facilities & Real Estate ,684.6 14.0 698.6
Fleet Services ,202.0 0.0 202.0
Information & Technology ,333.0 8.0 341.0
City Manager's Office ,390.0 6.0 396.0
City Clerk's Office ,363.0 4.5 367.5
Legal Services ,242.0 13.0 255.0
Auditor General's Office ,29.0 0.0 29.0
Mayor's Office ,1.0 22.0 23.0
Office of the Lobbyist Registrar ,2.0 0.0 2.0
Council ,50.0 132.0 182.0
Toronto Public Health ,"1,854.3 79.2 1,933.5"
Toronto Public Library ,"1,814.2 0.0 1,814.2"
Association of Community Centres ,87.2 4.0 91.2
Exhibition Place ,140.5 372.0 512.5
Heritage Toronto ,6.0 0.0 6.0
Theatres ,94.6 82.6 177.2
Toronto Zoo ,259.0 95.0 354.0
Arena Boards of Management ,38.0 25.5 63.5
Yonge Dundas Square ,4.0 0.0 4.0
Parking Authority ,297.8 0.0 297.8
Parking Enforcement Unit ,395.0 0.0 395.0
Toronto Atmospheric Fund ,4.0 0.0 4.0
Toronto & Region Conservation Authority ,281.1 129.7 410.8
Toronto Transit Commission* ,"10,263.0 21.0 10,284.0"
Toronto Police Services(excludes Board) ,"7,704.0 1.0 7,705.0"
