"",2006 ,"","","","","","",2007,"",""
"",2006 Council Approved Positions ,2007 Base Request ,"","",Base Change from 2006 ,"","",Changes to Budget Request ,"",Total 2007 Council Approved Budget 
"","","","","","","","",Base Budget Changes ,New/Enhanced Changes,""
"",Permanent Temporary Total ,Permanent Temporary ,Total ,Permanent ,Temporary Total ,% ,"",Permanent Temporary Total ,Permanent Temporary Total ,Permanent Temporary Total
Division ,(a) (b) (c = a + b) ,(d) (e) ,(f  = d + e) ,(g) ,(h) (i  = g + h) ,(j=i/c) ,"",(k) (l) (m = k + l) ,(n) (o) (p = n + o) ,(q) (r) (s = q + r)
"Citizen Centred Services ""A""","","","","","","","","","",""
Affordable Housing Office ,16.0 8.0 24.0 ,16.0 8.0 ,24.0 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 ,0.0 0.0 0.0 ,16.0 8.0 24.0
Children's Services ,792.0 175.7 967.7 ,769.0 187.7 ,956.7 ,(23.0) ,12.0 (11.0) ,(1.1) ,"",0.0 0.0 0.0 ,0.0 0.0 0.0 ,769.0 187.7 956.7
Court Services ,221.0 0.0 221.0 ,221.0 0.0 ,221.0 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 ,3.0 0.0 3.0 ,224.0 0.0 224.0
"Economic Development, Culture & Tourism ",206.0 69.3 275.3 ,206.0 58.8 ,264.8 ,0.0 ,(10.5) (10.5) ,(4.0) ,"",0.0 (1.0) (1.0) ,0.0 2.0 2.0 ,206.0 59.8 265.8
Emergency Medical Services ,"1,193.3 4.0 1,197.3 ","1,193.3 4.0 ","1,197.3 ",0.0 ,0.0 0.0 ,0.0 ,"",(1.0) 0.0 (1.0) ,15.0 0.0 15.0 ,"1,207.3 4.0 1,211.3"
Homes for the Aged ,"2,126.9 0.0 2,126.9 ","2,126.9 0.0 ","2,126.9 ",0.0 ,0.0 0.0 ,0.0 ,"",(5.4) 0.0 (5.4) ,0.0 0.0 0.0 ,"2,121.5 0.0 2,121.5"
"Parks, Forestry & Recreation ","1,774.0 2,201.3 3,975.3 ","1,783.0 2,286.3 ","4,069.3 ",9.0 ,85.0 94.0 ,2.4 ,"",(3.0) (76.5) (79.5) ,23.0 83.0 106.0 ,"1,803.0 2,292.8 4,095.8"
"Shelter, Housing & Support ",507.5 187.5 695.0 ,503.5 176.8 ,680.3 ,(4.0) ,(10.7) (14.7) ,(2.1) ,"",0.0 (11.0) (11.0) ,0.0 16.7 16.7 ,503.5 182.5 686.0
"Social Development, Finance & Administration ",179.0 43.3 222.3 ,179.0 43.3 ,222.3 ,0.0 ,0.0 0.0 ,0.0 ,"",(1.0) 0.0 (1.0) ,2.5 0.0 2.5 ,180.5 43.3 223.8
Social Services ,"1,884.0 59.0 1,943.0 ","1,884.0 89.0 ","1,973.0 ",0.0 ,30.0 30.0 ,1.5 ,"",0.0 (30.0) (30.0) ,0.0 7.0 7.0 ,"1,884.0 66.0 1,950.0"
3 - 1 - 1 Program ,0.0 4.0 4.0 ,0.0 4.0 ,4.0 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 ,0.0 0.0 0.0 ,0.0 4.0 4.0
"Sub-Total Citizen Centred Services ""A"" ","8,899.7 2,752.1 11,651.8 ","8,881.7 2,857.9 ","11,739.6 ",(18.0) ,105.8 87.8 ,0.8 ,"",(10.4) (118.5) (128.9) ,43.5 108.7 152.2 ,"8,914.8 2,848.1 11,762.9"
"Citizen Centred Services ""B""","","","","","","","","","",""
Toronto Building ,396.5 5.0 401.5 ,396.5 5.0 ,401.5 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 ,6.0 0.0 6.0 ,402.5 5.0 407.5
"Policy, Planning, Finance & Admin. ",95.0 9.6 104.6 ,102.8 9.6 ,112.4 ,7.8 ,0.0 7.8 ,9.1 ,"",(1.5) 0.0 (1.5) ,0.0 0.0 0.0 ,101.3 9.6 110.9
City Planning ,316.0 11.5 327.5 ,315.0 13.5 ,328.5 ,(1.0) ,2.0 1.0 ,0.3 ,"",0.0 (1.5) (1.5) ,0.0 1.0 1.0 ,315.0 13.0 328.0
Clean & Beautiful Secretariat ,2.0 0.0 2.0 ,2.0 0.0 ,2.0 ,0.0 ,0.0 0.0 ,0.0 ,"",0.0 0.0 0.0 ,0.0 0.0 0.0 ,2.0 0.0 2.0
Fire Services ,"3,185.5 0.0 3,185.5 ","3,184.6 0.4 ","3,185.0 ",(0.9) ,0.4 (0.5) ,(0.0) ,"",0.0 0.0 0.0 ,1.0 0.0 1.0 ,"3,185.6 0.4 3,186.0"
Municipal Licensing and Standards ,373.0 8.0 381.0 ,373.0 7.0 ,380.0 ,0.0 ,(1.0) (1.0) ,(0.3) ,"",0.0 0.0 0.0 ,0.0 0.0 0.0 ,373.0 7.0 380.0
