"",Council Approved Positions ,"","","","",Recommended Changes,"",""
"","as at December 31, 2007 ","","",Base ,"",New / Enhanced ,"",EC Recommended Budget 
Division ,Permanent Temporary Total ,"",Permanent ,Temporary ,Total ,Permanent Temporary ,Total ,Permanent Temporary Total
"Citizen Centred Services ""A""","","","","","","","",""
Affordable Housing Office ,16.0 8.0 24.0 ,"",4.0 ,(4.0) ,0.0 ,0.0 0.0 ,0.0 ,20.0 4.0 24.0
Children's Services ,769.0 187.7 956.7 ,"",(2.0) ,1.8 ,(0.2) ,0.0 0.0 ,0.0 ,767.0 189.5 956.5
Court Services ,230.0 0.0 230.0 ,"",0.0 ,0.0 ,0.0 ,0.0 0.0 ,0.0 ,230.0 0.0 230.0
"Economic Development, Culture & Tourism ",208.0 57.8 265.8 ,"",0.0 ,0.0 ,0.0 ,0.0 4.0 ,4.0 ,208.0 61.8 269.8
Emergency Medical Services ,"1,198.5 13.5 1,212.0 ","",0.0 ,(11.0) ,(11.0) ,3.0 0.0 ,3.0 ,"1,201.5 2.5 1,204.0"
Homes for the Aged ,"2,121.4 0.0 2,121.4 ","",32.0 ,0.0 ,32.0 ,14.0 0.0 ,14.0 ,"2,167.4 0.0 2,167.4"
"Parks, Forestry & Recreation ","1,802.0 2,290.3 4,092.3 ","",13.0 ,35.8 ,48.8 ,7.0 0.5 ,7.5 ,"1,822.0 2,326.6 4,148.6"
"Shelter, Housing & Support ",503.5 195.5 699.0 ,"",10.1 ,(14.6) ,(4.5) ,1.0 0.0 ,1.0 ,514.6 180.9 695.5
"Social Development, Finance & Administration ",186.0 28.8 214.8 ,"",2.0 ,(2.0) ,0.0 ,0.0 0.0 ,0.0 ,188.0 26.8 214.8
Social Services ,"1,884.0 66.0 1,950.0 ","",0.0 ,26.0 ,26.0 ,0.0 6.0 ,6.0 ,"1,884.0 98.0 1,982.0"
3 - 1 - 1 Program ,0.0 4.0 4.0 ,"",0.0 ,0.0 ,0.0 ,0.0 2.0 ,2.0 ,0.0 6.0 6.0
"Sub-Total Citizen Centred Services ""A"" ","8,918.4 2,851.6 11,770.0 ","",59.1 ,32.0 ,91.1 ,25.0 12.5 ,37.5 ,"9,002.5 2,896.1 11,898.6"
"Citizen Centred Services ""B""","","","","","","","",""
City Planning ,321.0 26.5 347.5 ,"",0.0 ,0.0 ,0.0 ,12.0 0.0 ,12.0 ,333.0 26.5 359.5
Fire Services ,"3,144.0 0.0 3,144.0 ","",0.0 ,0.0 ,0.0 ,0.0 0.0 ,0.0 ,"3,144.0 0.0 3,144.0"
Municipal Licensing and Standards ,373.0 7.0 380.0 ,"",(5.0) ,(6.0) ,(11.0) ,0.0 0.0 ,0.0 ,368.0 1.0 369.0
"Policy, Planning, Finance & Admin. ",435.0 4.2 439.2 ,"",0.0 ,0.0 ,0.0 ,3.0 0.0 ,3.0 ,438.0 4.2 442.2
Solid Waste Management Services ,"1,103.0 166.5 1,269.5 ","",(8.0) ,(4.4) ,(12.4) ,25.0 9.5 ,34.5 ,"1,120.0 171.6 1,291.6"
Technical Services ,184.0 (11.5) 172.5 ,"",6.3 ,(14.1) ,(7.8) ,1.0 0.0 ,1.0 ,191.3 (25.6) 165.7
Toronto Building ,402.5 5.0 407.5 ,"",0.0 ,0.0 ,0.0 ,0.0 0.0 ,0.0 ,402.5 5.0 407.5
