"","",Council Approved Positions ,"","","",Recommended Changes,"","","",""
"","",as at December 2008 ,"","",Base ,New/Enhanced ,"","","",2009 Staff Recommended Positions
"",Division ,Permanent Temporary Total ,"",Permanent ,Temporary ,Total Permanent ,Temporary ,Total ,"",Permanent Temporary Total
"Citizen Centred Services ""A""","","","","","","","","","",""
Affordable Housing Office ,"",9.0 14.0 23.0 ,"",0.0 ,0.0 ,0.0 0.0 ,0.0 ,0.0 ,"",9.0 14.0 23.0
Children's Services ,"",767.0 189.5 956.5 ,"",(10.0) ,10.0 ,0.0 2.0 ,0.0 ,2.0 ,"",759.0 199.5 958.5
Court Services ,"",227.0 0.0 227.0 ,"",0.0 ,0.0 ,0.0 66.0 ,0.0 ,66.0 ,"",293.0 0.0 293.0
"Economic Development, Culture & Tourism ","",209.0 58.8 267.8 ,"",2.0 ,0.0 ,2.0 3.0 ,3.4 ,6.4 ,"",214.0 62.2 276.2
Emergency Medical Services ,"","1,209.0 3.5 1,212.5 ","",(3.5) ,0.0 ,(3.5) 4.0 ,0.0 ,4.0 ,"","1,209.5 3.5 1,213.0"
Long Term Care Homes & Services ,"","2,167.4 0.0 2,167.4 ","",49.9 ,0.0 ,49.9 1.0 ,0.0 ,1.0 ,"","2,218.3 0.0 2,218.3"
"Parks, Forestry & Recreation ","","1,834.0 2,308.6 4,142.6 ","",27.6 ,29.7 ,57.3 11.0 ,2.4 ,13.4 ,"","1,872.6 2,340.7 4,213.3"
"Shelter, Housing & Support Administration ","",514.5 216.1 730.6 ,"",28.1 ,(29.8) ,(1.7) 15.0 ,0.0 ,15.0 ,"",557.6 186.3 743.9
"Social Development, Finance & Administration ","",166.0 38.8 204.8 ,"",0.0 ,(5.0) ,(5.0) 0.0 ,3.0 ,3.0 ,"",166.0 36.8 202.8
Toronto Employment &Social Services ,"","1,884.0 98.0 1,982.0 ","",59.0 ,97.0 ,156.0 10.0 ,0.0 ,10.0 ,"","1,953.0 195.0 2,148.0"
311 Customer Service Strategy ,"",89.3 6.0 95.3 ,"",35.7 ,0.0 ,35.7 21.0 ,0.0 ,21.0 ,"",146.0 6.0 152.0
"Sub-Total Citizen Centred Services ""A"" ","","9,076.2 2,933.3 12,009.5 ","",188.8 ,101.9 ,290.7 133.0 ,8.8 ,141.8 ,"","9,398.0 3,044.0 12,442.0"
"Citizen Centred Services ""B""","","","","","","","","","",""
City Planning ,"",330.0 29.5 359.5 ,"",0.0 ,0.0 ,0.0 0.0 ,3.0 ,3.0 ,"",330.0 32.5 362.5
Fire Services ,"","3,144.0 0.0 3,144.0 ","",1.0 ,0.5 ,1.5 0.0 ,0.0 ,0.0 ,"","3,145.0 0.5 3,145.5"
Municipal Licensing and Standards ,"",476.5 4.4 480.9 ,"",1.0 ,0.7 ,1.7 15.0 ,0.0 ,15.0 ,"",492.5 5.1 497.6
"Policy, Planning, Finance & Administration ","",358.8 22.4 381.2 ,"",0.0 ,0.0 ,0.0 15.0 ,4.0 ,19.0 ,"",373.8 26.4 400.2
Technical Services ,"",157.4 1.0 158.4 ,"",0.0 ,0.0 ,0.0 3.0 ,0.0 ,3.0 ,"",160.4 1.0 161.4
Toronto Building ,"",407.5 0.0 407.5 ,"",0.0 ,0.0 ,0.0 10.0 ,0.0 ,10.0 ,"",417.5 0.0 417.5
Toronto Environment Office ,"",22.0 3.6 25.6 ,"",0.0 ,0.0 ,0.0 0.0 ,2.0 ,2.0 ,"",22.0 5.6 27.6
Transportation Services ,"","1,275.2 73.0 1,348.2 ","",0.0 ,(1.0) ,(1.0) 1.0 ,2.0 ,3.0 ,"","1,276.2 74.0 1,350.2"
Waterfront Secretariat ,"",6.0 0.0 6.0 ,"",0.0 ,0.0 ,0.0 0.0 ,0.0 ,0.0 ,"",6.0 0.0 6.0
"Sub-Total Citizen Centred Services ""B"" ","","6,177.4 133.9 6,311.3 ","",2.0 ,0.2 ,2.2 44.0 ,11.0 ,55.0 ,"","6,223.4 145.1 6,368.5"
Internal Services,"","","","","","","","","",""
Office of the Chief Financial Officer ,"",122.0 2.0 124.0 ,"",0.0 ,0.0 ,0.0 3.0 ,0.0 ,3.0 ,"",125.0 2.0 127.0
Office of the Treasurer ,"",730.0 39.0 769.0 ,"",0.0 ,(1.0) ,(1.0) 8.0 ,11.0 ,19.0 ,"",738.0 49.0 787.0
Facilities & Real Estate ,"",719.1 21.4 740.5 ,"",(1.0) ,0.0 ,(1.0) 72.5 ,1.0 ,73.5 ,"",790.6 22.4 813.0
Fleet Services ,"",204.0 0.0 204.0 ,"",1.0 ,0.0 ,1.0 3.0 ,0.0 ,3.0 ,"",208.0 0.0 208.0
Information & Technology ,"",347.0 9.0 356.0 ,"",5.0 ,(5.0) ,0.0 10.0 ,0.0 ,10.0 ,"",362.0 4.0 366.0
Sub-Total Internal Services ,"","2,122.1 71.4 2,193.5 ","",5.0 ,(6.0) ,(1.0) 96.5 ,12.0 ,108.5 ,"","2,223.6 77.4 2,301.0"
City Manager,"","","","","","","","","",""
City Manager's Office ,"",392.0 6.0 398.0 ,"",0.0 ,4.0 ,4.0 6.0 ,0.0 ,6.0 ,"",398.0 10.0 408.0
Sub-Total City Manager ,"",392.0 6.0 398.0 ,"",0.0 ,4.0 ,4.0 6.0 ,0.0 ,6.0 ,"",398.0 10.0 408.0
Other City Programs,"","","","","","","","","",""
City Clerk's Office ,"",426.0 3.7 429.7 ,"",0.0 ,0.0 ,0.0 11.2 ,0.0 ,11.2 ,"",437.2 3.7 440.9
Legal Services ,"",245.0 15.0 260.0 ,"",0.0 ,0.0 ,0.0 16.0 ,0.0 ,16.0 ,"",261.0 15.0 276.0
Mayor's Office ,"",1.0 22.0 23.0 ,"",0.0 ,0.0 ,0.0 0.0 ,0.0 ,0.0 ,"",1.0 22.0 23.0
City Council ,"",44.0 132.0 176.0 ,"",0.0 ,0.0 ,0.0 0.0 ,0.0 ,0.0 ,"",44.0 132.0 176.0
Auditor General's Office ,"",29.0 0.0 29.0 ,"",0.0 ,0.0 ,0.0 0.0 ,0.0 ,0.0 ,"",29.0 0.0 29.0
Office of the Lobbyist Registrar ,"",5.3 0.0 5.3 ,"",0.0 ,0.0 ,0.0 3.0 ,0.0 ,3.0 ,"",8.3 0.0 8.3
Office of the Integrity Commissioner ,"",0.5 0.0 0.5 ,"",0.0 ,0.0 ,0.0 0.0 ,0.0 ,0.0 ,"",0.5 0.0 0.5
Office of the Ombudsperson ,"",3.0 0.0 3.0 ,"",0.0 ,0.0 ,0.0 4.0 ,0.0 ,4.0 ,"",7.0 0.0 7.0
Sub-Total Other City Programs ,"",753.8 172.7 926.5 ,"",0.0 ,0.0 ,0.0 34.2 ,0.0 ,34.2 ,"",788.0 172.7 960.7
TOTAL - CITY OPERATIONS ,"","18,521.5 3,317.3 21,838.8 ","",195.8 ,100.1 ,295.9 313.7 ,31.8 ,345.5 ,"","19,031.0 3,449.2 22,480.2"
"Agencies, Boards and Commissions","","","","","","","","","",""
Toronto Public Health ,"","1,779.2 86.1 1,865.3 ","",(4.5) ,(0.5) ,(5.0) 2.0 ,1.0 ,3.0 ,"","1,776.7 86.6 1,863.3"
Toronto Public Library ,"","1,826.2 0.0 1,826.2 ","",6.4 ,0.0 ,6.4 0.0 ,0.0 ,0.0 ,"","1,832.6 0.0 1,832.6"
Association of Community Centres ,"",87.2 4.0 91.2 ,"",0.0 ,0.0 ,0.0 0.0 ,0.0 ,0.0 ,"",87.2 4.0 91.2
Exhibition Place ,"",147.5 372.0 519.5 ,"",0.0 ,0.0 ,0.0 10.0 ,0.0 ,10.0 ,"",157.5 372.0 529.5
Heritage Toronto ,"",6.0 0.0 6.0 ,"",0.0 ,0.0 ,0.0 0.0 ,0.0 ,0.0 ,"",6.0 0.0 6.0
Theatres ,"",81.7 95.3 177.0 ,"",(1.9) ,(26.5) ,(28.4) 0.0 ,0.0 ,0.0 ,"",79.8 68.8 148.6
Toronto Zoo ,"",261.0 97.3 358.3 ,"",0.0 ,0.0 ,0.0 5.0 ,10.5 ,15.5 ,"",266.0 107.8 373.8
Arena Boards of Management ,"",38.0 25.5 63.5 ,"",0.0 ,2.0 ,2.0 0.0 ,0.0 ,0.0 ,"",38.0 27.5 65.5
Yonge-Dundas Square ,"",4.0 0.0 4.0 ,"",0.0 ,0.0 ,0.0 1.0 ,0.0 ,1.0 ,"",5.0 0.0 5.0
Parking Tag Enforcement & Operations ,"",395.0 0.0 395.0 ,"",0.0 ,0.0 ,0.0 0.0 ,0.0 ,0.0 ,"",395.0 0.0 395.0
Toronto Atmospheric Fund ,"",6.0 0.0 6.0 ,"",0.0 ,0.0 ,0.0 0.0 ,0.0 ,0.0 ,"",6.0 0.0 6.0
Toronto Transit Commission (includes Wheel Trans) ,"","10,695.0 21.0 10,716.0 ","",232.0 ,6.0 ,238.0 87.0 ,8.0 ,95.0 ,"","11,014.0 35.0 11,049.0"
Toronto Police Service (excludes Board) ,"","7,723.0 7.0 7,730.0 ","",(2.0) ,(1.0) ,(3.0) 65.0 ,0.0 ,65.0 ,"","7,786.0 6.0 7,792.0"
"TOTAL - AGENCIES, BOARDS & COMMISSIONS ","","23,049.8 708.2 23,758.0 ","",230.0 ,(20.0) ,210.0 170.0 ,19.5 ,189.5 ,"","23,449.8 707.7 24,157.5"
TOTAL - LEVY OPERATIONS ,"","41,571.3 4,025.5 45,596.8 ","",425.8 ,80.1 ,505.9 483.7 ,51.3 ,535.0 ,"","42,480.8 4,156.9 46,637.7"
Non Levy Operations,"","","","","","","","","",""
Solid Waste Management Services ,"","1,126.0 171.6 1,297.6 ","",28.0 ,16.7 ,44.7 10.0 ,2.5 ,12.5 ,"","1,164.0 190.8 1,354.8"
Toronto Water ,"","1,588.0 90.5 1,678.5 ","",1.0 ,(4.0) ,(3.0) 48.0 ,0.0 ,48.0 ,"","1,637.0 86.5 1,723.5"
Toronto Parking Authority ,"",299.1 0.0 299.1 ,"",0.5 ,0.0 ,0.5 0.0 ,0.0 ,0.0 ,"",299.6 0.0 299.6
TOTAL - NON LEVY OPERATIONS ,"","3,013.1 262.1 3,275.2 ","",29.5 ,12.7 ,42.2 58.0 ,2.5 ,60.5 ,"","3,100.6 277.3 3,377.9"
TOTAL ,"","44,584.4 4,287.6 48,872.0 ","",455.3 ,92.8 ,548.1 541.7 ,53.8 ,595.5 ,"","45,581.4 4,434.2 50,015.6"
