Affordable Housing Office ,9.0,13.0,22.0
Children's Services ,750.0,199.5,949.5
Court Services ,293.0,0.0,293.0
Economic Development & Culture ,221.0,55.8,276.8
Emergency Medical Services ,1204.5,6.0,1210.5
Long Term Care Homes & Services ,2183.0,0.0,2183.0
"Parks, Forestry & Recreation ",1846.5,2383.6,4230.1
"Shelter, Housing & Support Administration ",557.6,191.2,748.8
"Social Development, Finance & Administration ",152.0,20.9,172.9
Toronto Employment &Social Services ,1953.0,401.0,2354.0
311 Customer Service Strategy ,140.0,6.7,146.7
City Planning ,327.0,23.0,350.0
Fire Services ,3181.5,0.8,3182.3
Municipal Licensing and Standards ,496.2,5.1,501.3
"Policy, Planning, Finance & Administration ",227.4,11.7,239.1
Technical Services ,174.4, -7.0, 167.4
Toronto Building ,423.5,5.0,428.5
Toronto Environment Office ,22.0,6.6,28.6
Transportation Services ,1213.6,65.6,1279.2
Waterfront Secretariat ,6.0,0.0,6.0
Office of the Chief Financial Officer ,108.0,1.0,109.0
Office of the Treasurer ,721.0,44.0,765.0
Facilities & Real Estate ,791.2,21.4,812.6
Fleet Services ,205.0,0.0,205.0
Information & Technology ,496.8,78.7,575.5
City Manager's Office ,392.0,6.0,398.0
City Clerk's Office ,435.0,54.6,489.6
Legal Services ,259.0,17.0,276.0
Mayor's Office ,1.0,22.0,23.0
City Council ,44.0,132.0,176.0
Auditor General's Office ,29.6,0.0,29.6
Office of the Lobbyist Registrar ,8.0,0.3,8.3
Office of the Integrity Commissioner ,1.0,0.5,1.5
Office of the Ombudsperson ,7.0,0.0,7.0
Toronto Public Health ,1806.4,59.3,1865.7
Toronto Public Library ,1830.6,0.0,1830.6
Association of Community Centres ,87.2,4.0,91.2
Exhibition Place ,155.5,374.0,529.5
Heritage Toronto ,6.0,0.0,6.0
Theatres ,79.3,97.3,176.6
Toronto Zoo ,272.0,111.5,383.5
Arena Boards of Management ,41.0,24.5,65.5
Yonge-Dundas Square ,5.0,0.0,5.0
Parking Tag Enforcement & Operations ,395.0,0.0,395.0
Toronto Atmospheric Fund ,6.0,1.0,7.0
Toronto Transit Commission ,10525.0,35.0,10560.0
Wheel Transit ,530.0,0.0,530.0
Toronto Police Service (excludes Board) ,7828.0,6.0,7834.0
Solid Waste Management Services ,1148.0,161.1,1309.1
Toronto Water ,1640.0,86.4,1726.4
Toronto Parking Authority ,298.0,0.0,298.0
