"","",Council Approved Positions ,"","","","","","","","","","","","","",2010 Staff Recommended Positions 
"","",as at December 2009 ,"",2010 Staff Recommended Positions after Deletions  ,"",Base Additions ,"","",New/Enhanced additions ,"","","",Total Additions ,"","",(includes Base & New positions)
"",Division ,Permanent Temporary Total ,"",Permanent Temporary Total ,Permanent ,Temporary ,Total ,"",Permanent Temporary ,Total ,"",Permanent ,Temporary ,Total ,"",Permanent Temporary Total
"Citizen Centred Services ""A""","","","","","","","","","","","","","","","",""
Affordable Housing Office ,"",9.0 14.0 23.0 ,"",9 13 22.0 ,0.0 ,0.0 ,0.0 ,"",0.0 0.0 ,0.0 ,"",0.0 ,0.0 ,0.0 ,"",9.0 13.0 22.0
Children's Services ,"",758.0 199.5 957.5 ,"",750.0 199.5 949.5 ,0.0 ,0.0 ,0.0 ,"",0.0 0.0 ,0.0 ,"",0.0 ,0.0 ,0.0 ,"",750.0 199.5 949.5
Court Services ,"",293.0 0.0 293.0 ,"",293.0 0.0 293.0 ,0.0 ,0.0 ,0.0 ,"",0.0 0.0 ,0.0 ,"",0.0 ,0.0 ,0.0 ,"",293.0 0.0 293.0
Economic Development & Culture ,"",221.0 56.2 277.2 ,"",221.0 55.8 276.8 ,0.0 ,0.0 ,0.0 ,"",0.0 0.0 ,0.0 ,"",0.0 ,0.0 ,0.0 ,"",221.0 55.8 276.8
Emergency Medical Services ,"","1,210.5 6.5 1,217.0 ","","1,204.5 6.0 1,210.5 ",0.0 ,0.0 ,0.0 ,"",0.0 0.0 ,0.0 ,"",0.0 ,0.0 ,0.0 ,"","1,204.5 6.0 1,210.5"
Long Term Care Homes & Services ,"","2,193.7 0.0 2,193.7 ","","2,173.7 0.0 2,173.7 ",0.0 ,0.0 ,0.0 ,"",9.3 0.0 ,9.3 ,"",9.3 ,0.0 ,9.3 ,"","2,183.0 0.0 2,183.0"
"Parks, Forestry & Recreation ","","1,859.6 2,343.8 4,203.4 ","","1,823.6 2,335.7 4,159.3 ",19.5 ,35.3 ,54.8 ,"",3.4 12.6 ,16.0 ,"",22.9 ,47.9 ,70.8 ,"","1,846.5 2,383.6 4,230.1"
"Shelter, Housing & Support Administration ","",557.6 186.2 743.8 ,"",557.6 186.2 743.8 ,0.0 ,0.0 ,0.0 ,"",0.0 5.0 ,5.0 ,"",0.0 ,5.0 ,5.0 ,"",557.6 191.2 748.8
"Social Development, Finance & Administration ","",156.0 21.9 177.9 ,"",152.0 20.9 172.9 ,0.0 ,0.0 ,0.0 ,"",0.0 0.0 ,0.0 ,"",0.0 ,0.0 ,0.0 ,"",152.0 20.9 172.9
Toronto Employment &Social Services ,"","1,953.0 195.0 2,148.0 ","","1,953.0 185.0 2,138.0 ",0.0 ,195.0 ,195.0 ,"",0.0 21.0 ,21.0 ,"",0.0 ,216.0 ,216.0 ,"","1,953.0 401.0 2,354.0"
311 Customer Service Strategy ,"",146.0 6.0 152.0 ,"",138.0 6.0 144.0 ,2.0 ,0.7 ,2.7 ,"",0.0 0.0 ,0.0 ,"",2.0 ,0.7 ,2.7 ,"",140.0 6.7 146.7
"Sub-Total Citizen Centred Services ""A"" ","","9,357.4 3,029.1 12,386.5 ","","9,275.4 3,008.1 12,283.5 ",21.5 ,231.0 ,252.5 ,"",12.7 38.6 ,51.3 ,"",34.2 ,269.6 ,303.8 ,"","9,309.6 3,277.7 12,587.3"
"Citizen Centred Services ""B""","","","","","","","","","","","","","","","",""
City Planning ,"",331.0 27.5 358.5 ,"",327.0 23.0 350.0 ,0.0 ,0.0 ,0.0 ,"",0.0 0.0 ,0.0 ,"",0.0 ,0.0 ,0.0 ,"",327.0 23.0 350.0
Fire Services ,"","3,179.5 0.8 3,180.3 ","","3,179.5 0.8 3,180.3 ",0.0 ,0.0 ,0.0 ,"",2.0 0.0 ,2.0 ,"",2.0 ,0.0 ,2.0 ,"","3,181.5 0.8 3,182.3"
Municipal Licensing and Standards ,"",512.2 10.4 522.6 ,"",496.2 5.1 501.3 ,0.0 ,0.0 ,0.0 ,"",0.0 0.0 ,0.0 ,"",0.0 ,0.0 ,0.0 ,"",496.2 5.1 501.3
"Policy, Planning, Finance & Administration ","",232.4 11.7 244.1 ,"",227.4 11.7 239.1 ,0.0 ,0.0 ,0.0 ,"",0.0 0.0 ,0.0 ,"",0.0 ,0.0 ,0.0 ,"",227.4 11.7 239.1
Technical Services ,"",172.4 (7.0) 165.4 ,"",172.4 (7.0) 165.4 ,0.0 ,0.0 ,0.0 ,"",2.0 0.0 ,2.0 ,"",2.0 ,0.0 ,2.0 ,"",174.4 (7.0) 167.4
Toronto Building ,"",412.5 5.0 417.5 ,"",410.5 5.0 415.5 ,0.0 ,0.0 ,0.0 ,"",13.0 0.0 ,13.0 ,"",13.0 ,0.0 ,13.0 ,"",423.5 5.0 428.5
Toronto Environment Office ,"",22.0 6.6 28.6 ,"",22.0 6.6 28.6 ,0.0 ,0.0 ,0.0 ,"",0.0 0.0 ,0.0 ,"",0.0 ,0.0 ,0.0 ,"",22.0 6.6 28.6
Transportation Services ,"","1,228.6 65.6 1,294.2 ","","1,203.6 65.6 1,269.2 ",0.0 ,0.0 ,0.0 ,"",10.0 0.0 ,10.0 ,"",10.0 ,0.0 ,10.0 ,"","1,213.6 65.6 1,279.2"
Waterfront Secretariat ,"",6.0 0.0 6.0 ,"",6.0 0.0 6.0 ,0.0 ,0.0 ,0.0 ,"",0.0 0.0 ,0.0 ,"",0.0 ,0.0 ,0.0 ,"",6.0 0.0 6.0
"Sub-Total Citizen Centred Services ""B"" ","","6,096.6 120.6 6,217.2 ","","6,044.6 110.8 6,155.4 ",0.0 ,0.0 ,0.0 ,"",27.0 0.0 ,27.0 ,"",27.0 ,0.0 ,27.0 ,"","6,071.6 110.8 6,182.4"
Internal Services,"","","","","","","","","","","","","","","",""
Office of the Chief Financial Officer ,"",111.0 1.0 112.0 ,"",107.0 1.0 108.0 ,1.0 ,0.0 ,1.0 ,"",0.0 0.0 ,0.0 ,"",1.0 ,0.0 ,1.0 ,"",108.0 1.0 109.0
Office of the Treasurer ,"",736.0 52.0 788.0 ,"",719.0 41.0 760.0 ,2.0 ,3.0 ,5.0 ,"",0.0 0.0 ,0.0 ,"",2.0 ,3.0 ,5.0 ,"",721.0 44.0 765.0
Facilities & Real Estate ,"",790.6 20.4 811.0 ,"",781.1 20.4 801.5 ,0.0 ,0.0 ,0.0 ,"",10.1 1.0 ,11.1 ,"",10.1 ,1.0 ,11.1 ,"",791.2 21.4 812.6
