Division ,2010 ,"",2011
"Citizen Centred Services ""A""","","",""
Affordable Housing Office ,22.0 ,"",22.0
Children's Services ,949.5 ,"",948.5
Court Services ,290.0 ,"",290.0
Economic Development & Culture ,276.8 ,"",275.8
Emergency Medical Services ,"1,217.5 ","","1,218.0"
Long Term Care Homes & Services ,"2,182.9 ","","2,188.3"
"Parks, Forestry & Recreation ","4,257.0 ","","4,280.6"
"Shelter, Housing & Support Administration ",748.9 ,"",748.7
"Social Development, Finance & Administration ",177.7 ,"",172.9
Toronto Employment & Social Services ,"2,354.0 ","","2,286.0"
311 Toronto ,147.0 ,"",159.0
"Sub-Total Citizen Centred Services ""A"" ","12,623.3 ","","12,589.8"
"Citizen Centred Services ""B""","","",""
City Planning ,339.5 ,"",335.0
Fire Services ,"3,182.3 ","","3,185.3"
Municipal Licensing and Standards ,501.3 ,"",487.6
"Policy, Planning, Finance & Administration ",241.1 ,"",234.1
Technical Services ,164.7 ,"",164.7
Toronto Building ,428.5 ,"",427.0
Toronto Environment Office ,28.6 ,"",26.6
Transportation Services ,"1,315.6 ","","1,266.0"
Waterfront Secretariat ,7.0 ,"",7.0
"Sub-Total Citizen Centred Services ""B"" ","6,208.6 ","","6,133.3"
Internal Services,"","",""
Office of the Chief Financial Officer ,108.0 ,"",107.0
Office of the Treasurer ,767.0 ,"",753.0
Facilities Management & Real Estate ,815.6 ,"",819.5
Fleet Services ,205.0 ,"",192.0
Information & Technology ,519.0 ,"",525.0
Sub-Total Internal Services ,"2,414.6 ","","2,396.5"
City Manager,"","",""
City Manager's Office ,397.0 ,"",381.0
Sub-Total City Manager ,397.0 ,"",381.0
Other City Programs,"","",""
City Clerk's Office ,486.6 ,"",427.5
Legal Services ,275.0 ,"",280.0
Mayor's Office ,23.0 ,"",17.0
City Council ,176.0 ,"",176.0
Auditor General's Office ,29.0 ,"",29.0
Office of the Lobbyist Registrar ,8.3 ,"",8.3
Office of the Integrity Commissioner ,1.5 ,"",1.5
Office of the Ombudsperson ,10.0 ,"",10.0
Sub-Total Other City Programs ,"1,009.4 ","",949.3
TOTAL - CITY OPERATIONS ,"22,652.9 ","","22,449.9"
Agencies,"","",""
Toronto Public Health ,"1,896.9 ","","1,886.6"
Toronto Public Library ,"1,830.6 ","","1,824.9"
Association of Community Centres ,91.2 ,"",91.2
Exhibition Place ,529.5 ,"",529.5
Heritage Toronto ,6.0 ,"",6.0
Theatres ,176.6 ,"",211.0
Toronto Zoo ,383.5 ,"",388.0
Arena Boards of Management ,65.5 ,"",65.5
Yonge-Dundas Square ,5.0 ,"",5.0
Parking Tag Enforcement & Operations ,395.0 ,"",395.0
Toronto Atmospheric Fund ,7.0 ,"",7.0
Toronto Transit Commission ,"10,560.0 ","","10,706.0"
Wheel Trans ,530.0 ,"",532.0
Toronto Police Service (excludes Board) ,"7,885.0 ","","7,888.0"
TOTAL - AGENCIES ,"24,361.8 ","","24,535.7"
TOTAL - LEVY OPERATIONS ,"47,014.7 ","","46,985.6"
Non Levy Operations,"","",""
Solid Waste Management Services ,"1,310.1 ","","1,327.7"
Toronto Water ,"1,726.4 ","","1,702.3"
Toronto Parking Authority ,298.1 ,"",298.7
TOTAL - NON LEVY OPERATIONS ,"3,334.6 ","","3,328.7"
TOTAL ,"50,349.3 ","","50,314.3"
