"",2012 Approved Staff Complement
Division ,Permanent Temporary Total
"Citizen Centred Services ""A""",""
Affordable Housing Office ,15.0 4.0 19.0
Children's Services ,742.0 185.8 927.8
Court Services ,284.0 0.0 284.0
Economic Development & Culture ,215.0 51.8 266.8
Emergency Medical Services ,"1,206.5 6.5 1,213.0"
Long Term Care Homes & Services ,"2,169.9 0.0 2,169.9"
"Parks, Forestry & Recreation ","1,781.0 2,421.2 4,202.2"
"Shelter, Support & Housing Administration ",548.7 186.5 735.2
"Social Development, Finance & Administration ",115.5 4.9 120.4
Toronto Employment & Social Services ,"1,966.0 221.5 2,187.5"
311 Toronto ,158.0 0.0 158.0
"Sub-Total Citizen Centred Services ""A"" ","9,201.6 3,082.2 12,283.8"
"Citizen Centred Services ""B""",""
City Planning ,324.0 16.0 340.0
Fire Services ,"3,175.5 0.8 3,176.3"
Municipal Licensing and Standards ,451.6 1.0 452.6
"Policy, Planning, Finance and Administration ",188.3 6.8 195.1
Technical Services ,147.8 0.0 147.8
Toronto Building ,413.0 7.0 420.0
Toronto Environment Office ,16.0 6.6 22.6
Transportation Services ,"1,017.5 29.7 1,047.2"
"Sub-Total Citizen Centred Services ""B"" ","5,733.7 67.9 5,801.6"
Internal Services,""
Office of the Chief Financial Officer ,94.0 1.0 95.0
Office of the Treasurer ,681.0 49.0 730.0
Facilities Management and Real Estate ,682.9 40.7 723.6
Fleet Services ,172.0 0.0 172.0
Information & Technology ,504.0 2.0 506.0
Sub-Total Internal Services ,"2,133.9 92.7 2,226.6"
City Manager,""
City Manager's Office ,379.0 13.0 392.0
Sub-Total City Manager ,379.0 13.0 392.0
Other City Programs,""
City Clerk's Office ,396.3 3.5 399.8
Legal Services ,255.0 18.0 273.0
Mayor's Office ,1.0 17.0 18.0
City Council ,44.0 132.0 176.0
Auditor General's Office ,29.0 0.0 29.0
Lobbyist Registrar ,8.0 0.3 8.3
Integrity Commissioner's Office ,1.0 0.5 1.5
Office of the Ombudsman ,10.0 0.0 10.0
Sub-Total Other City Programs ,744.3 171.3 915.6
TOTAL - CITY OPERATIONS ,"18,192.5 3,427.1 21,619.6"
Agencies,""
Toronto Public Health ,"1,795.2 47.0 1,842.2"
Toronto Public Library ,"1,717.9 0.0 1,717.9"
Association of Community Centres ,77.8 1.2 79.0
Exhibition Place ,155.5 374.0 529.5
Heritage Toronto ,6.5 0.0 6.5
Theatres ,77.5 103.6 181.1
Toronto Zoo ,278.0 110.0 388.0
Arena Boards of Management ,41.0 24.5 65.5
Yonge-Dundas Square ,5.0 0.0 5.0
Parking Tag Enforcement & Operations ,394.0 0.0 394.0
Toronto Atmospheric Fund ,7.0 0.0 7.0
Toronto Transit Commission - Conventional ,"10,614.0 0.0 10,614.0"
Toronto Transit Commission - Wheel-Trans ,529.0 0.0 529.0
Toronto Police Service ,"7,862.0 7.0 7,869.0"
Toronto Police Services Board ,8.0 0.0 8.0
TOTAL - AGENCIES ,"23,568.4 667.3 24,235.7"
TOTAL - TAX SUPPORTED OPERATIONS ,"41,760.9 4,094.4 45,855.3"
Rate Supported Operations,""
Solid Waste Management Services ,"943.5 152.5 1,096.0"
Toronto Water ,"1,590.0 69.3 1,659.3"
Toronto Parking Authority ,244.0 54.7 298.7
TOTAL - RATE SUPPORTED OPERATIONS ,"2,777.5 276.5 3,054.0"
TOTAL ,"44,538.4 4,370.9 48,909.3"
