"","",Operating Positions ,"","",Capital Positions ,"","",Total Positions,"","",""
"","","","","","","","","","",Budgeted ,After 
Program/Agency ,Approved ,Strength Over / ,% ,Approved ,Strength Over / ,% ,Approved ,Strength Over / ,% ,Gapping ,Gapping 
"",Complement ,(Under) ,"",Complement ,(Under) ,"",Complement ,(Under),"","",""
"Citizen Centred Services ""A""","","","","","","","","","","",""
Affordable Housing Office ,19.0 ,19.0 0.0 ,0.0% ,0.0 ,0.0 0.0 ,0.0% ,19.0 ,19.0 0.0 ,0.0% ,1.9% ,0.0%
Children's Services ,967.6 ,920.6 (47.0) ,4.9% ,15.0 ,15.0 0.0 ,0.0% ,982.6 ,935.6 (47.0) ,4.8% ,0.1% ,4.7%
Court Services ,282.0 ,218.0 (64.0) ,22.7% ,0.0 ,0.0 0.0 ,0.0% ,282.0 ,218.0 (64.0) ,22.7% ,12.3% ,10.4%
Economic Development & Culture ,300.6 ,293.6 (7.0) ,2.3% ,9.0 ,9.0 0.0 ,0.0% ,309.6 ,302.6 (7.0) ,2.3% ,2.9% ,0.0%
Toronto Paramedic Services ,"1,394.3 ","1,326.3 (68.0) ",4.9% ,0.0 ,0.0 0.0 ,0.0% ,"1,394.3 ","1,326.3 (68.0) ",4.9% ,1.9% ,3.0%
Long Term Care Homes & Services ,"2,225.9 ","2,225.9 0.0 ",0.0% ,0.0 ,0.0 0.0 ,0.0% ,"2,225.9 ","2,225.9 0.0 ",0.0% ,0.0% ,0.0%
"Parks, Forestry & Recreation ","4,440.1 ","4,282.8 (157.3) ",3.5% ,57.0 ,50.5 (6.5) ,11.4% ,"4,497.1 ","4,333.3 (163.8) ",3.6% ,2.3% ,1.4%
"Shelter, Support & Housing Administration ",756.2 ,726.2 (30.0) ,4.0% ,1.0 ,1.0 0.0 ,0.0% ,757.2 ,727.2 (30.0) ,4.0% ,3.2% ,0.8%
"Social Development, Finance & Administration ",130.5 ,127.5 (3.0) ,2.3% ,0.0 ,0.0 0.0 ,0.0% ,130.5 ,127.5 (3.0) ,2.3% ,3.4% ,0.0%
Toronto Employment & Social Services ,"2,091.0 ","2,042.0 (49.0) ",2.3% ,0.0 ,0.0 0.0 ,0.0% ,"2,091.0 ","2,042.0 (49.0) ",2.3% ,1.6% ,0.8%
"Sub-Total Citizen Centred Services ""A"" ","12,607.2 ","12,181.9 (425.3) ",3.4% ,82.0 ,75.5 (6.5) ,7.9% ,"12,689.2 ","12,257.4 (431.8) ",3.4% ,1.9% ,1.5%
"Citizen Centred Services ""B""","","","","","","","","","","",""
City Planning ,366.0 ,354.0 (12.0) ,3.3% ,7.0 ,5.0 (2.0) ,28.6% ,373.0 ,359.0 (14.0) ,3.8% ,3.8% ,0.0%
Fire Services ,"3,153.3 ","3,117.3 (36.0) ",1.1% ,2.0 ,2.0 0.0 ,0.0% ,"3,155.3 ","3,119.3 (36.0) ",1.1% ,2.0% ,0.0%
Municipal Licensing & Standards ,460.0 ,421.0 (39.0) ,8.5% ,0.0 ,0.0 0.0 ,0.0% ,460.0 ,421.0 (39.0) ,8.5% ,2.2% ,6.2%
"Policy, Planning, Finance and Administration ",196.4 ,187.4 (9.0) ,4.6% ,0.0 ,0.0 0.0 ,0.0% ,196.4 ,187.4 (9.0) ,4.6% ,3.9% ,0.7%
Engineering and Construction Services ,133.0 ,125.6 (7.4) ,5.6% ,407.1 ,372.6 (34.5) ,8.5% ,540.1 ,498.2 (41.9) ,7.8% ,4.2% ,3.6%
Toronto Buildings ,442.0 ,413.0 (29.0) ,6.6% ,6.0 ,6.0 0.0 ,0.0% ,448.0 ,419.0 (29.0) ,6.5% ,2.8% ,3.6%
Transportation Services ,"1,025.1 ",925.8 (99.3) ,9.7% ,88.2 ,85.2 (3.0) ,3.4% ,"1,113.3 ","1,011.0 (102.3) ",9.2% ,5.0% ,4.2%
"Sub-Total Citizen Centred Services ""B"" ","5,775.8 ","5,544.1 (231.7) ",4.0% ,510.3 ,470.8 (39.5) ,7.7% ,"6,286.1 ","6,014.9 (271.2) ",4.3% ,3.0% ,1.4%
Internal Services,"","","","","","","","","","",""
Office of the Chief Financial Officer ,103.0 ,97.0 (6.0) ,5.8% ,12.0 ,9.0 (3.0) ,25.0% ,115.0 ,106.0 (9.0) ,7.8% ,2.3% ,5.5%
Office of the Treasurer ,691.0 ,626.5 (64.5) ,9.3% ,44.0 ,27.0 (17.0) ,38.6% ,735.0 ,653.5 (81.5) ,11.1% ,3.0% ,8.1%
"Facilities, Real Estate, Environment & Energy ",928.5 ,849.0 (79.5) ,8.6% ,87.8 ,73.0 (14.8) ,16.9% ,"1,016.3 ",922.0 (94.3) ,9.3% ,3.6% ,5.7%
Fleet Services ,176.0 ,165.0 (11.0) ,6.3% ,0.0 ,0.0 0.0 ,0.0% ,176.0 ,165.0 (11.0) ,6.3% ,3.5% ,2.7%
Information & Technology ,602.0 ,552.0 (50.0) ,8.3% ,236.0 ,127.0 (109.0) ,46.2% ,838.0 ,679.0 (159.0) ,19.0% ,5.4% ,13.6%
311 Toronto ,146.0 ,140.0 (6.0) ,4.1% ,21.3 ,14.0 (7.3) ,34.3% ,167.3 ,154.0 (13.3) ,7.9% ,2.4% ,5.5%
Sub-Total Internal Services ,"2,646.5 ","2,429.5 (217.0) ",8.2% ,401.1 ,250.0 (151.1) ,37.7% ,"3,047.6 ","2,679.5 (368.1) ",12.1% ,3.8% ,8.2%
City Manager,"","","","","","","","","","",""
City Manager's Office ,426.5 ,399.0 (27.5) ,6.4% ,19.0 ,11.0 (8.0) ,-42.1% ,445.5 ,410.0 (35.5) ,8.0% ,5.0% ,3.0%
Sub-Total City Manager ,426.5 ,399.0 (27.5) ,-6.4% ,19.0 ,11.0 (8.0) ,-42.1% ,445.5 ,410.0 (35.5) ,8.0% ,5.0% ,3.0%
Other City Programs,"","","","","","","","","","",""
City Clerk's Office ,403.9 ,373.6 (30.3) ,7.5% ,11.5 ,9.2 (2.4) ,20.4% ,415.4 ,382.8 (32.7) ,7.9% ,3.4% ,4.5%
Legal Services ,301.4 ,281.4 (20.0) ,6.6% ,0.0 ,0.0 0.0 ,0.0% ,301.4 ,281.4 (20.0) ,6.6% ,2.1% ,4.5%
Mayor's Office ,20.0 ,21.0 1.0 ,-5.0% ,0.0 ,0.0 0.0 ,0.0% ,20.0 ,21.0 1.0 ,-5.0% ,0.0% ,0.0%
City Council ,176.0 ,176.0 0.0 ,0.0% ,0.0 ,0.0 0.0 ,0.0% ,176.0 ,176.0 0.0 ,0.0% ,0.0% ,0.0%
