"","",Operating Positions ,"","",Capital Positions ,"","",Total Positions ,"",Operating Vacancy
Program/Agency ,Approved ,Strength Over / ,% ,Approved ,Strength Over / ,% ,Approved ,Strength Over / ,% ,Budgeted After 
"",Complement ,(Under) ,"",Complement ,(Under) ,"",Complement ,(Under) ,"",Gapping Gapping 
"Citizen Centred Services ""A""","","","","","","","","","",""
Affordable Housing Office ,19.0 ,18.0 (1.0) ,5.3% ,0.0 ,0.0 0.0 ,0.0% ,19.0 ,18.0 (1.0) ,5.3% ,1.8% 3.4%
Children's Services ,977.9 ,940.9 (37.0) ,3.8% ,13.0 ,13.0 0.0 ,0.0% ,990.9 ,953.9 (37.0) ,3.7% ,0.5% 3.3%
Court Services ,282.0 ,222.0 (60.0) ,21.3% ,0.0 ,0.0 0.0 ,0.0% ,282.0 ,222.0 (60.0) ,21.3% ,15.6% 5.7%
Economic Development & Culture ,297.5 ,283.5 (14.0) ,4.7% ,10.0 ,9.0 (1.0) ,10.0% ,307.5 ,292.5 (15.0) ,4.9% ,3.0% 1.7%
Toronto Paramedic Services ,"1,444.8 ","1,370.5 (74.3) ",5.1% ,0.5 ,0.5 0.0 ,0.0% ,"1,445.3 ","1,371.0 (74.3) ",5.1% ,1.9% 3.3%
Long Term Care Homes & Services ,"2,372.0 ","2,256.4 (115.6) ",4.9% ,0.0 ,0.0 0.0 ,0.0% ,"2,372.0 ","2,256.4 (115.6) ",4.9% ,0.0% 4.9%
"Parks, Forestry & Recreation ","4,521.9 ","4,313.8 (208.1) ",4.6% ,91.3 ,70.2 (21.1) ,23.2% ,"4,613.2 ","4,384.0 (229.2) ",5.0% ,2.2% 2.4%
"Shelter, Support & Housing Administration ",756.2 ,709.9 (46.3) ,6.1% ,1.0 ,1.0 0.0 ,0.0% ,757.2 ,710.9 (46.3) ,6.1% ,3.7% 2.4%
"Social Development, Finance & Administration ",139.5 ,122.5 (17.0) ,12.2% ,0.0 ,0.0 0.0 ,0.0% ,139.5 ,122.5 (17.0) ,12.2% ,3.2% 9.0%
Toronto Employment & Social Services ,"2,120.0 ","2,049.0 (71.0) ",3.3% ,0.0 ,0.0 0.0 ,0.0% ,"2,120.0 ","2,049.0 (71.0) ",3.3% ,1.6% 1.8%
"Sub-Total Citizen Centred Services ""A"" ","12,930.7 ","12,286.5 (644.3) ",5.0% ,115.8 ,93.7 (22.1) ,19.1% ,"13,046.5 ","12,380.1 (666.4) ",5.1% ,1.9% 3.1%
"Citizen Centred Services ""B""","","","","","","","","","",""
City Planning Division ,367.0 ,353.0 (14.0) ,3.8% ,5.0 ,5.0 0.0 ,0.0% ,372.0 ,358.0 (14.0) ,3.8% ,3.9% 0.0%
Fire Services ,"3,167.3 ","3,116.3 (51.0) ",1.6% ,1.0 ,1.0 0.0 ,0.0% ,"3,168.3 ","3,117.3 (51.0) ",1.6% ,2.0% 0.0%
Municipal Licensing & Standards ,470.0 ,442.0 (28.0) ,6.0% ,3.0 ,3.0 0.0 ,0.0% ,473.0 ,445.0 (28.0) ,5.9% ,2.3% 3.7%
"Policy, Planning, Finance and Administration ",196.4 ,185.4 (11.0) ,5.6% ,0.0 ,0.0 0.0 ,0.0% ,196.4 ,185.4 (11.0) ,5.6% ,4.0% 1.6%
Engineering and Construction Services ,131.9 ,121.2 (10.7) ,8.1% ,434.2 ,386.9 (47.3) ,10.9% ,566.1 ,508.1 (58.0) ,10.2% ,4.2% 3.9%
Toronto Building ,450.0 ,423.0 (27.0) ,6.0% ,6.0 ,6.0 0.0 ,0.0% ,456.0 ,429.0 (27.0) ,5.9% ,2.9% 3.1%
Transportation Services ,"1,026.8 ",926.6 (100.2) ,9.8% ,96.2 ,84.4 (11.8) ,12.3% ,"1,123.0 ","1,011.0 (112.0) ",10.0% ,6.3% 3.4%
"Sub-Total Citizen Centred Services ""B"" ","5,809.4 ","5,567.5 (241.8) ",4.2% ,545.4 ,486.3 (59.1) ,10.8% ,"6,354.8 ","6,053.8 (301.0) ",4.7% ,3.1% 1.1%
Internal Services,"","","","","","","","","",""
